Date,mediantransactionvalue14emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,1.178
2010/07/31,1.2
2010/08/01,1.447
2010/08/02,1.662
2010/08/03,1.558
2010/08/04,1.748
2010/08/05,1.912
2010/08/06,1.691
2010/08/07,1.657
2010/08/08,1.456
2010/08/09,1.738
2010/08/10,1.967
2010/08/11,2.128
2010/08/12,2.304
2010/08/13,2.433
2010/08/14,2.551
2010/08/15,2.652
2010/08/16,2.912
2010/08/17,2.975
2010/08/18,3.038
2010/08/19,3.082
2010/08/20,3.112
2010/08/21,3.136
2010/08/22,3.155
2010/08/23,3.171
2010/08/24,3.181
2010/08/25,3.194
2010/08/26,2.811
2010/08/27,2.866
2010/08/28,2.57
2010/08/29,2.274
2010/08/30,2.004
2010/08/31,2.15
2010/09/01,1.955
2010/09/02,2.11
2010/09/03,2.651
2010/09/04,3.119
2010/09/05,3.117
2010/09/06,3.116
2010/09/07,3.109
2010/09/08,2.709
2010/09/09,2.755
2010/09/10,2.429
2010/09/11,2.138
2010/09/12,1.863
2010/09/13,1.714
2010/09/14,1.899
2010/09/15,1.931
2010/09/16,2.087
2010/09/17,2.208
2010/09/18,2.314
2010/09/19,2.674
2010/09/20,2.417
2010/09/21,2.115
2010/09/22,1.838
2010/09/23,1.734
2010/09/24,1.663
2010/09/25,1.448
2010/09/26,1.287
2010/09/27,1.134
2010/09/28,1.308
2010/09/29,1.993
2010/09/30,1.888
2010/10/01,1.738
2010/10/02,1.523
2010/10/03,2.014
2010/10/04,4.067
2010/10/05,5.503
2010/10/06,5.183
2010/10/07,6.188
2010/10/08,7.04
2010/10/09,7.723
2010/10/10,7.976
2010/10/11,7.751
2010/10/12,7.266
2010/10/13,6.954
2010/10/14,18.417
2010/10/15,24.266
2010/10/16,36.835
2010/10/17,35.324
2010/10/18,32.668
2010/10/19,28.838
2010/10/20,25.656
2010/10/21,22.916
2010/10/22,20.01
2010/10/23,17.631
