Date,mining_profitability3mom
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,277533
2010/07/21,58949
2010/07/22,-146832
2010/07/23,-112139
2010/07/24,-131181
2010/07/25,-13803
2010/07/26,-30065
2010/07/27,-131213
2010/07/28,-78468
2010/07/29,-11244
2010/07/30,76997
2010/07/31,55266
2010/08/01,-5301
2010/08/02,-26917
2010/08/03,-63205
2010/08/04,-8753
2010/08/05,-41877
2010/08/06,-91638
2010/08/07,-86280
2010/08/08,-15902
2010/08/09,38820
2010/08/10,20223
2010/08/11,6139
2010/08/12,11234
2010/08/13,-18577
2010/08/14,24888
2010/08/15,-74669
2010/08/16,-52660
2010/08/17,-98509
2010/08/18,19795
2010/08/19,4430
2010/08/20,31472
2010/08/21,-15369
2010/08/22,8201
2010/08/23,-25839
2010/08/24,6059
2010/08/25,-14078
2010/08/26,-4827
2010/08/27,-34228
2010/08/28,-26497
2010/08/29,-20589
2010/08/30,8113
2010/08/31,8532
2010/09/01,-11791
2010/09/02,-2727
2010/09/03,-6731
2010/09/04,12602
2010/09/05,-4196
2010/09/06,-4533
2010/09/07,-1675
2010/09/08,-3332
2010/09/09,-20379
2010/09/10,-6435
2010/09/11,-8093
2010/09/12,13076
2010/09/13,-10967
2010/09/14,11631
2010/09/15,-8546
2010/09/16,13348
2010/09/17,-15573
2010/09/18,9219
2010/09/19,-33518
2010/09/20,-13802
2010/09/21,-27125
2010/09/22,4225
2010/09/23,13300
2010/09/24,3472
2010/09/25,-5548
2010/09/26,-10783
2010/09/27,4295
2010/09/28,-2830
2010/09/29,-28597
2010/09/30,-23518
2010/10/01,-14784
2010/10/02,-3011
2010/10/03,4642
2010/10/04,5260
2010/10/05,5859
2010/10/06,3522
2010/10/07,-4158
2010/10/08,12948
2010/10/09,13238
2010/10/10,29792
2010/10/11,10461
2010/10/12,-1016
2010/10/13,-840.538
2010/10/14,15861
2010/10/15,1320
2010/10/16,11654
2010/10/17,-10709
2010/10/18,2988
2010/10/19,-10515
2010/10/20,3560
2010/10/21,-31240
2010/10/22,-30593
2010/10/23,-24004
2010/10/24,19142
2010/10/25,3561
