Date,mining_profitability3ema
2010/07/17,0
2010/07/18,0
2010/07/19,345868
2010/07/20,388850
2010/07/21,424816
2010/07/22,379729
2010/07/23,349710
2010/07/24,339656
2010/07/25,330247
2010/07/26,309937
2010/07/27,254163
2010/07/28,248267
2010/07/29,263324
2010/07/30,269355
2010/07/31,283496
2010/08/01,278288
2010/08/02,263378
2010/08/03,248905
2010/08/04,256616
2010/08/05,231604
2010/08/06,187198
2010/08/07,182623
2010/08/08,186657
2010/08/09,184135
2010/08/10,191203
2010/08/11,194016
2010/08/12,193432
2010/08/13,186563
2010/08/14,204140
2010/08/15,161160
2010/08/16,144097
2010/08/17,133653
2010/08/18,135814
2010/08/19,133639
2010/08/20,144160
2010/08/21,133383
2010/08/22,136524
2010/08/23,132683
2010/08/24,130674
2010/08/25,128131
2010/08/26,126073
2010/08/27,110255
2010/08/28,104672
2010/08/29,104049
2010/08/30,103299
2010/08/31,105461
2010/09/01,98548
2010/09/02,99185
2010/09/03,100038
2010/09/04,102137
2010/09/05,98882
2010/09/06,97620
2010/09/07,100091
2010/09/08,96193
2010/09/09,86086
2010/09/10,91106
2010/09/11,87654
2010/09/12,88355
2010/09/13,86757
2010/09/14,91295
2010/09/15,85902
2010/09/16,92205
2010/09/17,86233
2010/09/18,87981
2010/09/19,76485
2010/09/20,71472
2010/09/21,67038
2010/09/22,68126
2010/09/23,73942
2010/09/24,70010
2010/09/25,66838
2010/09/26,67907
2010/09/27,69139
2010/09/28,64987
2010/09/29,52683
2010/09/30,49768
2010/10/01,47910
2010/10/02,42639
2010/10/03,47067
2010/10/04,49189
2010/10/05,46208
2010/10/06,50613
2010/10/07,48883
2010/10/08,52529
2010/10/09,60392
2010/10/10,68669
2010/10/11,67652
2010/10/12,67446
2010/10/13,71776
2010/10/14,77136
2010/10/15,72848
2010/10/16,80304
2010/10/17,76045
2010/10/18,73797
2010/10/19,75521
2010/10/20,75434
2010/10/21,57871
2010/10/22,52261
2010/10/23,51802
2010/10/24,55626
2010/10/25,52920
2010/10/26,61660
2010/10/27,67378
2010/10/28,76937
2010/10/29,80539
2010/10/30,87680
2010/10/31,69906
