Date,top100cap14ema
2010/07/17,25.789
2010/07/18,25.788
2010/07/19,25.774
2010/07/20,25.751
2010/07/21,25.736
2010/07/22,25.718
2010/07/23,25.69
2010/07/24,25.669
2010/07/25,25.647
2010/07/26,25.735
2010/07/27,25.819
2010/07/28,25.89
2010/07/29,25.954
2010/07/30,26.009
2010/07/31,26.048
2010/08/01,26.081
2010/08/02,26.102
2010/08/03,26.125
2010/08/04,26.132
2010/08/05,26.145
2010/08/06,26.152
2010/08/07,26.154
2010/08/08,26.154
2010/08/09,26.177
2010/08/10,26.188
2010/08/11,26.222
2010/08/12,26.234
2010/08/13,26.257
2010/08/14,26.268
2010/08/15,26.272
2010/08/16,26.294
2010/08/17,26.331
2010/08/18,26.358
2010/08/19,26.379
2010/08/20,26.403
2010/08/21,26.42
2010/08/22,26.436
2010/08/23,26.448
2010/08/24,26.463
2010/08/25,26.466
2010/08/26,26.468
2010/08/27,26.478
2010/08/28,26.475
2010/08/29,26.461
2010/08/30,26.441
2010/08/31,26.436
2010/09/01,26.426
2010/09/02,26.417
2010/09/03,26.407
2010/09/04,26.401
2010/09/05,26.405
2010/09/06,26.405
2010/09/07,26.4
2010/09/08,26.386
2010/09/09,26.37
2010/09/10,26.354
2010/09/11,26.334
2010/09/12,26.326
2010/09/13,26.298
2010/09/14,26.262
2010/09/15,26.225
2010/09/16,26.206
2010/09/17,26.268
2010/09/18,26.327
2010/09/19,26.397
2010/09/20,26.465
2010/09/21,26.519
2010/09/22,26.556
2010/09/23,26.617
2010/09/24,26.676
2010/09/25,26.744
2010/09/26,26.814
2010/09/27,26.922
2010/09/28,27.168
2010/09/29,27.379
2010/09/30,27.552
2010/10/01,27.697
2010/10/02,27.896
2010/10/03,28.068
2010/10/04,28.18
2010/10/05,28.286
2010/10/06,28.369
2010/10/07,28.512
2010/10/08,28.661
2010/10/09,28.823
2010/10/10,28.991
2010/10/11,29.123
2010/10/12,29.236
2010/10/13,29.352
2010/10/14,29.476
2010/10/15,29.572
2010/10/16,29.679
2010/10/17,29.775
2010/10/18,29.882
2010/10/19,29.948
2010/10/20,30.013
2010/10/21,30.066
2010/10/22,30.116
2010/10/23,30.161
2010/10/24,30.196
2010/10/25,30.228
2010/10/26,30.276
2010/10/27,30.33
2010/10/28,30.367
2010/10/29,30.384
2010/10/30,30.393
2010/10/31,30.412
2010/11/01,30.427
2010/11/02,30.444
2010/11/03,30.45
2010/11/04,30.455
2010/11/05,30.465
2010/11/06,30.484
2010/11/07,30.489
2010/11/08,30.584
2010/11/09,30.66
2010/11/10,30.703
2010/11/11,30.731
2010/11/12,30.752
2010/11/13,30.754
2010/11/14,30.767
2010/11/15,30.772
2010/11/16,30.77
2010/11/17,30.779
2010/11/18,30.778
2010/11/19,30.772
2010/11/20,30.783
2010/11/21,30.791
2010/11/22,30.795
2010/11/23,30.81
2010/11/24,30.837
2010/11/25,30.869
2010/11/26,30.898
2010/11/27,30.919
2010/11/28,30.936
2010/11/29,30.945
2010/11/30,30.971
2010/12/01,31.019
2010/12/02,31.093
2010/12/03,31.189
2010/12/04,31.279
2010/12/05,31.362
2010/12/06,31.402
2010/12/07,31.428
2010/12/08,31.452
2010/12/09,31.462
2010/12/10,31.476
2010/12/11,31.491
2010/12/12,31.496
2010/12/13,31.54
2010/12/14,31.57
2010/12/15,31.588
2010/12/16,31.596
2010/12/17,31.601
2010/12/18,31.6
2010/12/19,31.577
2010/12/20,31.564
2010/12/21,31.517
2010/12/22,31.484
2010/12/23,31.45
2010/12/24,31.416
2010/12/25,31.389
2010/12/26,31.36
2010/12/27,31.352
2010/12/28,31.337
2010/12/29,31.295
2010/12/30,31.248
2010/12/31,31.191
2011/01/01,31.136
2011/01/02,31.081
2011/01/03,31.033
2011/01/04,30.987
2011/01/05,30.954
2011/01/06,30.917
2011/01/07,30.878
2011/01/08,30.845
2011/01/09,30.818
2011/01/10,30.776
2011/01/11,30.753
2011/01/12,30.727
2011/01/13,30.715
2011/01/14,30.708
2011/01/15,30.695
2011/01/16,30.697
2011/01/17,30.703
2011/01/18,30.696
2011/01/19,30.676
2011/01/20,30.659
2011/01/21,30.645
2011/01/22,30.63
2011/01/23,30.645
2011/01/24,30.651
2011/01/25,30.651
2011/01/26,30.631
2011/01/27,30.995
2011/01/28,31.305
2011/01/29,31.571
2011/01/30,31.794
2011/01/31,31.979
2011/02/01,32.153
2011/02/02,32.283
2011/02/03,32.403
2011/02/04,32.499
2011/02/05,32.586
2011/02/06,32.643
2011/02/07,32.715
2011/02/08,32.762
2011/02/09,32.815
2011/02/10,32.854
2011/02/11,32.875
2011/02/12,32.886
2011/02/13,32.89
2011/02/14,32.885
2011/02/15,32.882
2011/02/16,32.872
2011/02/17,32.855
2011/02/18,32.828
2011/02/19,32.801
2011/02/20,32.789
2011/02/21,32.771
2011/02/22,32.735
2011/02/23,32.7
2011/02/24,32.659
2011/02/25,32.619
2011/02/26,32.58
2011/02/27,32.613
2011/02/28,32.611
2011/03/01,32.637
2011/03/02,32.323
2011/03/03,32.037
2011/03/04,31.772
2011/03/05,31.547
2011/03/06,31.355
2011/03/07,31.184
2011/03/08,31.029
2011/03/09,30.889
2011/03/10,30.748
2011/03/11,30.603
2011/03/12,30.46
2011/03/13,30.328
2011/03/14,30.226
2011/03/15,30.13
2011/03/16,30.053
2011/03/17,29.996
2011/03/18,29.953
2011/03/19,29.913
2011/03/20,29.872
2011/03/21,29.845
2011/03/22,29.805
2011/03/23,29.778
2011/03/24,29.744
2011/03/25,29.708
2011/03/26,29.677
2011/03/27,29.636
2011/03/28,29.594
2011/03/29,29.556
2011/03/30,29.508
2011/03/31,29.457
2011/04/01,29.408
2011/04/02,29.34
2011/04/03,29.274
2011/04/04,29.207
2011/04/05,29.144
2011/04/06,29.091
2011/04/07,29.044
2011/04/08,28.999
2011/04/09,28.941
2011/04/10,28.886
2011/04/11,28.84
2011/04/12,28.784
2011/04/13,28.731
2011/04/14,28.747
2011/04/15,28.754
2011/04/16,28.754
2011/04/17,28.714
2011/04/18,28.666
2011/04/19,28.792
2011/04/20,28.892
2011/04/21,28.939
2011/04/22,28.972
2011/04/23,28.955
2011/04/24,28.923
2011/04/25,28.894
2011/04/26,28.863
2011/04/27,28.837
2011/04/28,28.792
2011/04/29,28.705
2011/04/30,28.785
2011/05/01,28.853
2011/05/02,28.904
2011/05/03,28.962
2011/05/04,29.035
2011/05/05,29.092
2011/05/06,29.105
2011/05/07,29.118
2011/05/08,29.111
2011/05/09,29.099
2011/05/10,29.087
2011/05/11,29.12
2011/05/12,29.169
2011/05/13,29.255
2011/05/14,29.332
2011/05/15,29.45
2011/05/16,29.563
2011/05/17,29.654
2011/05/18,29.751
2011/05/19,29.818
2011/05/20,29.859
2011/05/21,30.005
2011/05/22,30.123
2011/05/23,30.181
2011/05/24,30.219
2011/05/25,30.244
2011/05/26,30.256
2011/05/27,30.284
2011/05/28,30.305
2011/05/29,30.329
2011/05/30,30.353
2011/05/31,30.368
2011/06/01,30.384
2011/06/02,30.409
2011/06/03,30.444
2011/06/04,30.463
2011/06/05,30.488
2011/06/06,30.471
2011/06/07,30.436
2011/06/08,30.309
2011/06/09,30.186
2011/06/10,30.048
2011/06/11,29.947
2011/06/12,30.125
2011/06/13,30.3
2011/06/14,30.353
2011/06/15,30.381
2011/06/16,30.372
2011/06/17,30.334
2011/06/18,30.289
