Date,mining_profitability30std
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,182698
2010/08/16,185077
2010/08/17,183749
2010/08/18,166991
2010/08/19,155357
2010/08/20,131756
2010/08/21,129037
2010/08/22,125236
2010/08/23,119545
2010/08/24,113363
2010/08/25,110056
2010/08/26,112334
2010/08/27,114875
2010/08/28,112530
2010/08/29,108869
2010/08/30,100293
2010/08/31,93284
2010/09/01,89668
2010/09/02,86042
2010/09/03,75751
2010/09/04,72916
2010/09/05,74476
2010/09/06,74203
2010/09/07,71932
2010/09/08,70696
2010/09/09,68087
2010/09/10,63140
2010/09/11,58444
2010/09/12,54400
2010/09/13,37945
2010/09/14,38106
2010/09/15,38774
2010/09/16,38421
2010/09/17,37660
2010/09/18,36626
2010/09/19,33796
2010/09/20,34788
2010/09/21,33499
2010/09/22,32426
2010/09/23,30036
2010/09/24,28720
2010/09/25,27319
2010/09/26,28033
2010/09/27,28291
2010/09/28,28948
2010/09/29,32261
2010/09/30,33349
2010/10/01,35302
2010/10/02,37471
2010/10/03,37474
2010/10/04,36852
2010/10/05,37476
2010/10/06,36808
2010/10/07,35732
2010/10/08,34888
2010/10/09,34746
2010/10/10,33266
2010/10/11,32615
2010/10/12,31476
2010/10/13,30874
2010/10/14,29431
2010/10/15,28871
2010/10/16,27383
2010/10/17,26865
2010/10/18,25237
2010/10/19,25754
2010/10/20,26097
2010/10/21,27400
2010/10/22,27889
2010/10/23,27344
2010/10/24,27287
2010/10/25,27531
2010/10/26,27594
2010/10/27,27742
2010/10/28,29262
2010/10/29,29282
2010/10/30,30804
2010/10/31,30393
2010/11/01,28660
2010/11/02,28209
2010/11/03,27704
