Date,sentinusd3rsiUSD
2011/05/03,46.619
2011/05/04,61.425
2011/05/05,40.374
2011/05/06,60.296
2011/05/07,50.192
2011/05/08,82.234
2011/05/09,38.705
2011/05/10,72.306
2011/05/11,43.426
2011/05/12,47.586
2011/05/13,73.652
2011/05/14,94.47
2011/05/15,40.873
2011/05/16,40.602
2011/05/17,38.644
2011/05/18,36.593
2011/05/19,36.216
2011/05/20,51.054
2011/05/21,70.705
2011/05/22,81.647
2011/05/23,45.503
2011/05/24,39.272
2011/05/25,47.528
2011/05/26,56.987
2011/05/27,73.224
2011/05/28,30.395
2011/05/29,37.027
2011/05/30,39.669
2011/05/31,44.414
2011/06/01,45.785
2011/06/02,77.274
2011/06/03,94.627
2011/06/04,94.984
2011/06/05,97.173
2011/06/06,98.916
2011/06/07,59.016
2011/06/08,85.013
2011/06/09,86.967
2011/06/10,89.202
2011/06/11,93.383
2011/06/12,94.831
2011/06/13,47.103
2011/06/14,68.95
2011/06/15,95.332
2011/06/16,98.397
2011/06/17,36.48
2011/06/18,35.253
2011/06/19,59.233
2011/06/20,38.553
2011/06/21,53.31
2011/06/22,39.139
2011/06/23,42.601
2011/06/24,69.693
2011/06/25,87.02
2011/06/26,44.314
2011/06/27,35.619
2011/06/28,61.253
2011/06/29,41.248
2011/06/30,35.596
2011/07/01,33.376
2011/07/02,31.686
2011/07/03,29.234
2011/07/04,44.833
2011/07/05,31.344
2011/07/06,36.188
2011/07/07,34.648
2011/07/08,30.06
2011/07/09,77.23
2011/07/10,81.454
2011/07/11,40.379
2011/07/12,41.277
2011/07/13,53.457
2011/07/14,67.775
2011/07/15,30.379
2011/07/16,50.09
2011/07/17,34.309
2011/07/18,76.448
2011/07/19,65.062
2011/07/20,32.412
2011/07/21,46.792
2011/07/22,51.093
2011/07/23,33.41
2011/07/24,32.396
2011/07/25,61.085
2011/07/26,51.635
2011/07/27,55.022
2011/07/28,87.419
2011/07/29,36.531
2011/07/30,32.745
2011/07/31,39.621
2011/08/01,38.256
2011/08/02,33.773
2011/08/03,32.064
