Date,mining_profitability3std
2010/07/17,0
2010/07/18,0
2010/07/19,278615
2010/07/20,65681
2010/07/21,40719
2010/07/22,107901
2010/07/23,126564
2010/07/24,12420
2010/07/25,8852
2010/07/26,34312
2010/07/27,103907
2010/07/28,74511
2010/07/29,65422
2010/07/30,32631
2010/07/31,19718
2010/08/01,22145
2010/08/02,40146
2010/08/03,31949
2010/08/04,24426
2010/08/05,47151
2010/08/06,99274
2010/08/07,52187
2010/08/08,40535
2010/08/09,10644
2010/08/10,13619
2010/08/11,15072
2010/08/12,4587
2010/08/13,14644
2010/08/14,35103
2010/08/15,85037
2010/08/16,93722
2010/08/17,7252
2010/08/18,12514
2010/08/19,12084
2010/08/20,19556
2010/08/21,27050
2010/08/22,26207
2010/08/23,14096
2010/08/24,10289
2010/08/25,2988
2010/08/26,3863
2010/08/27,28657
2010/08/28,25972
2010/08/29,7341
2010/08/30,3743
2010/08/31,4428
2010/09/01,13342
2010/09/02,13056
2010/09/03,8270
2010/09/04,3760
2010/09/05,7088
2010/09/06,7795
2010/09/07,6222
2010/09/08,8443
2010/09/09,21891
2010/09/10,17471
2010/09/11,16542
2010/09/12,9791
2010/09/13,4198
2010/09/14,8821
2010/09/15,12831
2010/09/16,15859
2010/09/17,17087
2010/09/18,14902
2010/09/19,20384
2010/09/20,22664
2010/09/21,3177
2010/09/22,5422
2010/09/23,14129
2010/09/24,11705
2010/09/25,14174
2010/09/26,4342
2010/09/27,5778
2010/09/28,8411
2010/09/29,25024
2010/09/30,17073
2010/10/01,5763
2010/10/02,8589
2010/10/03,11635
2010/10/04,13233
2010/10/05,7710
2010/10/06,9845
2010/10/07,9804
2010/10/08,8015
2010/10/09,17290
2010/10/10,17035
2010/10/11,9054
2010/10/12,9449
2010/10/13,8658
2010/10/14,12512
2010/10/15,11392
2010/10/16,16201
2010/10/17,16789
2010/10/18,15173
2010/10/19,5262
2010/10/20,4737
2010/10/21,33965
2010/10/22,30488
2010/10/23,9044
2010/10/24,10573
2010/10/25,8228
2010/10/26,16502
2010/10/27,20423
2010/10/28,14077
2010/10/29,11682
2010/10/30,9163
2010/10/31,36277
