Date,confirmationtime7var
2010/07/17,6.925
2010/07/18,7.313
2010/07/19,8.545
2010/07/20,7.943
2010/07/21,6.167
2010/07/22,3.466
2010/07/23,0.248
2010/07/24,0.229
2010/07/25,0.456
2010/07/26,0.625
2010/07/27,0.847
2010/07/28,1.188
2010/07/29,1.161
2010/07/30,1.171
2010/07/31,1.207
2010/08/01,1.291
2010/08/02,1.28
2010/08/03,1.183
2010/08/04,0.72
2010/08/05,0.46
2010/08/06,1.627
2010/08/07,2.39
2010/08/08,2.186
2010/08/09,1.879
2010/08/10,1.646
2010/08/11,1.524
2010/08/12,1.514
2010/08/13,0.88
2010/08/14,0.646
2010/08/15,0.613
2010/08/16,1.789
2010/08/17,3.965
2010/08/18,4.847
2010/08/19,5.068
2010/08/20,4.692
2010/08/21,2.534
2010/08/22,2.648
2010/08/23,3.338
2010/08/24,2.836
2010/08/25,1.855
2010/08/26,0.32
2010/08/27,0.538
2010/08/28,0.587
2010/08/29,0.858
2010/08/30,1.246
2010/08/31,0.998
2010/09/01,0.73
2010/09/02,0.326
2010/09/03,0.301
2010/09/04,0.391
2010/09/05,0.39
2010/09/06,0.286
2010/09/07,0.166
2010/09/08,0.15
2010/09/09,0.583
2010/09/10,0.673
2010/09/11,0.524
2010/09/12,0.622
2010/09/13,0.652
2010/09/14,1.026
2010/09/15,1.023
2010/09/16,0.619
2010/09/17,0.746
2010/09/18,0.799
2010/09/19,0.725
2010/09/20,0.483
2010/09/21,0.708
2010/09/22,0.623
2010/09/23,0.717
2010/09/24,0.795
2010/09/25,0.651
2010/09/26,0.643
2010/09/27,0.74
2010/09/28,0.452
2010/09/29,0.691
2010/09/30,1.583
2010/10/01,1.744
2010/10/02,6.596
2010/10/03,6.792
2010/10/04,5.022
2010/10/05,3.329
2010/10/06,3.544
2010/10/07,3.833
2010/10/08,3.833
2010/10/09,1.433
2010/10/10,0.985
2010/10/11,0.985
2010/10/12,0.189
2010/10/13,0.229
2010/10/14,0.633
2010/10/15,0.548
2010/10/16,1.369
2010/10/17,2.157
2010/10/18,2.027
2010/10/19,1.323
2010/10/20,0.941
2010/10/21,1.187
2010/10/22,2.027
2010/10/23,2.258
2010/10/24,1.906
2010/10/25,1.649
2010/10/26,1.505
2010/10/27,1.038
2010/10/28,1.108
2010/10/29,0.427
2010/10/30,0.228
2010/10/31,0.504
2010/11/01,0.766
2010/11/02,0.836
2010/11/03,0.833
2010/11/04,0.764
2010/11/05,0.736
2010/11/06,0.419
2010/11/07,0.603
2010/11/08,0.836
2010/11/09,0.5
2010/11/10,0.385
2010/11/11,0.311
2010/11/12,0.88
2010/11/13,0.885
2010/11/14,0.966
2010/11/15,0.678
2010/11/16,0.688
2010/11/17,0.838
2010/11/18,1.013
2010/11/19,1.733
2010/11/20,5.488
2010/11/21,5.446
2010/11/22,5.249
2010/11/23,5.276
2010/11/24,3.853
2010/11/25,2.04
2010/11/26,2.648
2010/11/27,1.149
2010/11/28,0.732
2010/11/29,0.97
2010/11/30,0.265
2010/12/01,0.234
2010/12/02,0.217
2010/12/03,0.212
2010/12/04,0.385
2010/12/05,0.39
2010/12/06,0.531
2010/12/07,0.611
2010/12/08,0.51
2010/12/09,0.295
2010/12/10,1.666
2010/12/11,1.921
2010/12/12,2
2010/12/13,2.62
2010/12/14,2.05
2010/12/15,1.45
2010/12/16,0.834
2010/12/17,0.63
2010/12/18,0.633
2010/12/19,0.71
2010/12/20,0.32
2010/12/21,0.437
2010/12/22,0.377
2010/12/23,0.624
2010/12/24,0.751
2010/12/25,0.759
2010/12/26,0.715
2010/12/27,0.737
2010/12/28,0.356
2010/12/29,0.384
2010/12/30,0.315
2010/12/31,0.216
2011/01/01,0.308
2011/01/02,0.086
2011/01/03,0.152
2011/01/04,0.473
2011/01/05,0.503
2011/01/06,0.664
2011/01/07,0.674
2011/01/08,0.532
2011/01/09,0.407
2011/01/10,0.428
2011/01/11,0.336
2011/01/12,0.326
2011/01/13,0.154
2011/01/14,0.176
2011/01/15,0.25
2011/01/16,0.235
2011/01/17,0.217
2011/01/18,0.676
2011/01/19,0.675
2011/01/20,0.655
2011/01/21,0.614
2011/01/22,0.564
2011/01/23,0.555
2011/01/24,0.617
2011/01/25,0.258
2011/01/26,0.27
2011/01/27,0.263
2011/01/28,0.3
2011/01/29,0.314
2011/01/30,0.349
2011/01/31,0.18
2011/02/01,0.156
2011/02/02,0.056
2011/02/03,0.056
2011/02/04,0.328
2011/02/05,0.366
2011/02/06,0.31
2011/02/07,0.523
2011/02/08,0.496
2011/02/09,0.392
2011/02/10,0.214
2011/02/11,0.194
2011/02/12,0.211
2011/02/13,0.203
2011/02/14,0.173
2011/02/15,0.177
2011/02/16,0.321
2011/02/17,0.345
2011/02/18,0.236
2011/02/19,0.798
2011/02/20,0.798
2011/02/21,0.806
2011/02/22,0.75
2011/02/23,0.832
2011/02/24,0.725
2011/02/25,0.786
2011/02/26,0.53
2011/02/27,0.486
2011/02/28,1.716
2011/03/01,4.095
2011/03/02,3.916
2011/03/03,3.83
2011/03/04,3.786
2011/03/05,3.8
2011/03/06,4.201
2011/03/07,3.645
2011/03/08,1.409
2011/03/09,1.645
2011/03/10,6.448
2011/03/11,7.511
2011/03/12,6.162
2011/03/13,4.64
2011/03/14,3.552
2011/03/15,2.091
2011/03/16,1.202
2011/03/17,1.209
2011/03/18,1.214
2011/03/19,0.995
2011/03/20,1.184
2011/03/21,1.303
2011/03/22,1.015
2011/03/23,1.466
2011/03/24,1.676
2011/03/25,2.057
2011/03/26,1.243
2011/03/27,1.198
2011/03/28,1.419
2011/03/29,0.517
2011/03/30,0.516
2011/03/31,1.039
2011/04/01,1.067
2011/04/02,0.744
2011/04/03,0.375
2011/04/04,0.368
2011/04/05,0.375
2011/04/06,0.575
2011/04/07,0.706
2011/04/08,0.692
2011/04/09,0.68
2011/04/10,0.667
2011/04/11,0.594
2011/04/12,0.259
2011/04/13,0.469
2011/04/14,0.305
2011/04/15,0.785
2011/04/16,0.797
2011/04/17,0.85
2011/04/18,0.979
2011/04/19,1.011
2011/04/20,0.724
2011/04/21,0.737
2011/04/22,0.628
2011/04/23,0.618
2011/04/24,0.445
2011/04/25,0.709
2011/04/26,0.912
2011/04/27,0.609
2011/04/28,0.297
2011/04/29,0.403
2011/04/30,0.393
2011/05/01,0.239
2011/05/02,0.259
2011/05/03,0.263
2011/05/04,0.28
2011/05/05,0.169
2011/05/06,0.236
2011/05/07,0.242
2011/05/08,0.123
2011/05/09,0.182
2011/05/10,0.306
2011/05/11,0.346
2011/05/12,0.659
2011/05/13,0.622
2011/05/14,0.795
2011/05/15,0.799
2011/05/16,0.862
2011/05/17,0.947
2011/05/18,1.133
2011/05/19,1.072
2011/05/20,1.019
2011/05/21,1.008
2011/05/22,1.047
2011/05/23,1.217
2011/05/24,1.41
2011/05/25,1.511
2011/05/26,0.566
2011/05/27,1.739
2011/05/28,3.281
2011/05/29,3.638
2011/05/30,4.144
2011/05/31,3.837
2011/06/01,2.301
2011/06/02,0.618
2011/06/03,0.876
2011/06/04,1.128
2011/06/05,1.259
2011/06/06,1.094
2011/06/07,0.527
2011/06/08,0.545
2011/06/09,0.577
2011/06/10,0.618
2011/06/11,0.79
2011/06/12,0.844
2011/06/13,0.82
2011/06/14,0.396
2011/06/15,0.201
2011/06/16,0.681
2011/06/17,0.963
2011/06/18,0.95
2011/06/19,0.922
2011/06/20,0.946
2011/06/21,0.981
2011/06/22,0.839
2011/06/23,0.585
2011/06/24,0.318
2011/06/25,2.079
2011/06/26,3.159
2011/06/27,3.197
2011/06/28,2.874
2011/06/29,1.927
2011/06/30,1.194
2011/07/01,0.639
2011/07/02,0.364
2011/07/03,0.177
2011/07/04,0.176
2011/07/05,0.627
2011/07/06,0.649
2011/07/07,0.934
2011/07/08,0.85
2011/07/09,0.762
2011/07/10,0.786
2011/07/11,0.6
2011/07/12,0.579
2011/07/13,1.188
2011/07/14,0.899
2011/07/15,0.871
2011/07/16,0.867
2011/07/17,0.704
2011/07/18,0.743
2011/07/19,0.718
2011/07/20,0.411
2011/07/21,0.334
2011/07/22,0.331
2011/07/23,0.369
2011/07/24,0.321
2011/07/25,0.261
2011/07/26,0.338
2011/07/27,0.374
2011/07/28,0.352
2011/07/29,0.292
2011/07/30,0.195
2011/07/31,0.232
2011/08/01,0.232
2011/08/02,0.224
2011/08/03,0.168
2011/08/04,0.751
2011/08/05,0.818
2011/08/06,1.474
2011/08/07,1.274
2011/08/08,0.875
2011/08/09,0.733
2011/08/10,0.62
2011/08/11,0.578
2011/08/12,0.583
2011/08/13,0.411
2011/08/14,0.316
2011/08/15,0.372
2011/08/16,0.387
2011/08/17,0.193
2011/08/18,0.255
2011/08/19,0.255
2011/08/20,0.373
2011/08/21,0.551
2011/08/22,0.637
2011/08/23,0.664
2011/08/24,0.707
2011/08/25,0.816
2011/08/26,0.588
2011/08/27,1.14
2011/08/28,1.617
2011/08/29,1.003
2011/08/30,0.807
2011/08/31,1.096
2011/09/01,1.134
2011/09/02,1.316
2011/09/03,1.102
2011/09/04,0.451
2011/09/05,0.511
2011/09/06,0.53
2011/09/07,0.519
2011/09/08,0.519
2011/09/09,0.492
2011/09/10,0.553
2011/09/11,0.746
2011/09/12,0.562
2011/09/13,0.433
2011/09/14,0.506
2011/09/15,0.613
