Date,price14rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,34.165
2010/08/01,-15.938
2010/08/02,-28.655
2010/08/03,-23.347
2010/08/04,-22.26
2010/08/05,-8.18
2010/08/06,9.883
2010/08/07,3.142
2010/08/08,13.167
2010/08/09,24.443
2010/08/10,18.966
2010/08/11,6.812
2010/08/12,6.481
2010/08/13,-1.132
2010/08/14,-0.263
2010/08/15,8.346
2010/08/16,5.053
2010/08/17,12.917
2010/08/18,15.666
2010/08/19,13.014
2010/08/20,6.356
2010/08/21,10.1
2010/08/22,9.258
2010/08/23,-0.758
2010/08/24,-5.862
2010/08/25,3.307
2010/08/26,-6.667
2010/08/27,-1.527
2010/08/28,-2.566
2010/08/29,-2.714
2010/08/30,0.684
2010/08/31,-8.406
2010/09/01,-9.486
2010/09/02,-7.578
2010/09/03,-7.829
2010/09/04,-6.27
2010/09/05,-5.305
2010/09/06,-5.049
2010/09/07,-5.627
2010/09/08,-6.25
2010/09/09,-5.116
2010/09/10,-4.806
2010/09/11,-2.742
2010/09/12,-3.963
2010/09/13,-4.168
2010/09/14,-0.097
2010/09/15,-1.601
2010/09/16,-0.482
2010/09/17,-1.609
2010/09/18,-2.936
2010/09/19,-0.355
2010/09/20,-0.08
2010/09/21,2.569
2010/09/22,1.22
2010/09/23,1.8
2010/09/24,1.213
2010/09/25,-1.059
2010/09/26,0.356
2010/09/27,0.072
2010/09/28,-0.105
2010/09/29,0.822
2010/09/30,-0.129
2010/10/01,3.311
2010/10/02,2.733
2010/10/03,-0.89
2010/10/04,-1.377
2010/10/05,-2.346
2010/10/06,-0.153
2010/10/07,4.654
2010/10/08,23.775
2010/10/09,42.317
2010/10/10,52.773
2010/10/11,49.686
2010/10/12,52.511
2010/10/13,58.986
2010/10/14,67.017
2010/10/15,65.509
2010/10/16,63.043
2010/10/17,66.517
2010/10/18,67.687
2010/10/19,60.423
2010/10/20,60.084
