Date,transactions30roc
2011/04/25,-24.93
2011/04/26,40.517
2011/04/27,59.139
2011/04/28,12.368
2011/04/29,108.375
2011/04/30,126.188
2011/05/01,168.71
2011/05/02,82.035
2011/05/03,68.037
2011/05/04,22.149
2011/05/05,68.571
2011/05/06,79.021
2011/05/07,140.065
2011/05/08,67.333
2011/05/09,107.8
2011/05/10,88.924
2011/05/11,62.865
2011/05/12,66.771
2011/05/13,77.17
2011/05/14,53.326
2011/05/15,88.629
2011/05/16,107.067
2011/05/17,102.552
2011/05/18,83.339
2011/05/19,30.43
2011/05/20,61.947
2011/05/21,168.326
2011/05/22,161.843
2011/05/23,155.332
2011/05/24,163.667
2011/05/25,147.958
2011/05/26,104.632
2011/05/27,6.573
2011/05/28,69.209
2011/05/29,37.163
2011/05/30,20.985
2011/05/31,56.844
2011/06/01,119.186
2011/06/02,153.596
2011/06/03,216.519
2011/06/04,164.622
2011/06/05,172.917
2011/06/06,157.827
2011/06/07,229.675
2011/06/08,254.898
2011/06/09,302.763
2011/06/10,281.028
2011/06/11,233.49
2011/06/12,216.489
2011/06/13,164.118
2011/06/14,291.859
2011/06/15,200.488
2011/06/16,198.693
2011/06/17,109.9
2011/06/18,153.028
2011/06/19,145.88
2011/06/20,131.682
2011/06/21,87.893
2011/06/22,106.247
2011/06/23,82.86
2011/06/24,79.903
2011/06/25,43.157
2011/06/26,109.902
2011/06/27,138.411
2011/06/28,130.899
2011/06/29,89.658
2011/06/30,59.733
2011/07/01,64.2
2011/07/02,13
2011/07/03,-0.485
2011/07/04,9.864
2011/07/05,5.272
2011/07/06,9.419
2011/07/07,2.457
2011/07/08,-28.091
2011/07/09,-35.57
2011/07/10,-25.267
2011/07/11,-2.621
2011/07/12,-34.415
2011/07/13,-18.305
2011/07/14,-38.38
2011/07/15,-36.427
2011/07/16,-30.614
2011/07/17,-26.112
2011/07/18,-22.523
2011/07/19,-19.611
2011/07/20,-20.717
2011/07/21,-15.236
2011/07/22,-21.485
2011/07/23,-28.581
