Date,mining_profitability14ema
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,322796
2010/07/31,319441
2010/08/01,313260
2010/08/02,304621
2010/08/03,295263
2010/08/04,291138
2010/08/05,279865
2010/08/06,261589
2010/08/07,250450
2010/08/08,242482
2010/08/09,234366
2010/08/10,229554
2010/08/11,225190
2010/08/12,220878
2010/08/13,215387
2010/08/14,216231
2010/08/15,203157
2010/08/16,193008
2010/08/17,183701
2010/08/18,177604
2010/08/19,171452
2010/08/20,169216
2010/08/21,163001
2010/08/22,159890
2010/08/23,155750
2010/08/24,152139
2010/08/25,148599
2010/08/26,145321
2010/08/27,138536
2010/08/28,133277
2010/08/29,129297
2010/08/30,125730
2010/08/31,123316
2010/09/01,119092
2010/09/02,116523
2010/09/03,114438
2010/09/04,113078
2010/09/05,110751
2010/09/06,108832
2010/09/07,107996
2010/09/08,105903
2010/09/09,101913
2010/09/10,101141
2010/09/11,98883
2010/09/12,97573
2010/09/13,95917
2010/09/14,95906
2010/09/15,93853
2010/09/16,94474
2010/09/17,92579
2010/09/18,92199
2010/09/19,88571
2010/09/20,85622
2010/09/21,82553
2010/09/22,80775
2010/09/23,80639
2010/09/24,78698
2010/09/25,76693
2010/09/26,75664
2010/09/27,74959
2010/09/28,73076
2010/09/29,68716
2010/09/30,65801
2010/10/01,63168
2010/10/02,59728
2010/10/03,58630
2010/10/04,57654
2010/10/05,55731
2010/10/06,55636
2010/10/07,54505
2010/10/08,54727
2010/10/09,56531
2010/10/10,59253
2010/10/11,60237
2010/10/12,61171
2010/10/13,63162
2010/10/14,65740
2010/10/15,66116
2010/10/16,69002
2010/10/17,69373
2010/10/18,69663
2010/10/19,70674
2010/10/20,71297
2010/10/21,67165
2010/10/22,64430
2010/10/23,62685
2010/10/24,62254
2010/10/25,60648
2010/10/26,61949
2010/10/27,63435
2010/10/28,66510
2010/10/29,68861
2010/10/30,72322
2010/10/31,69630
2010/11/01,68800
