Date,sentinusd30emaUSD
2011/04/24,627005
2011/04/25,596630
2011/04/26,577531
2011/04/27,569666
2011/04/28,552546
2011/04/29,644437
2011/04/30,686622
2011/05/01,676538
2011/05/02,657177
2011/05/03,654853
2011/05/04,674720
2011/05/05,665683
2011/05/06,684191
2011/05/07,690675
2011/05/08,774442
2011/05/09,762248
2011/05/10,889223
2011/05/11,896087
2011/05/12,917332
2011/05/13,1070193
2011/05/14,1884224
2011/05/15,1903284
2011/05/16,1915285
2011/05/17,1896843
2011/05/18,1856605
2011/05/19,1815962
2011/05/20,1836902
2011/05/21,1969833
2011/05/22,2206403
2011/05/23,2268620
2011/05/24,2288812
2011/05/25,2336817
2011/05/26,2413124
2011/05/27,2554928
2011/05/28,2512344
2011/05/29,2493545
2011/05/30,2482402
2011/05/31,2480720
2011/06/01,2481021
2011/06/02,2551488
2011/06/03,2877590
2011/06/04,3198827
2011/06/05,3624901
2011/06/06,4331873
2011/06/07,4767764
2011/06/08,5821905
2011/06/09,6909913
2011/06/10,8035531
2011/06/11,9353348
2011/06/12,10713785
2011/06/13,11592244
2011/06/14,12781445
2011/06/15,17245462
2011/06/16,26448825
2011/06/17,26394457
2011/06/18,26024128
2011/06/19,29402376
2011/06/20,28966362
2011/06/21,30728949
2011/06/22,30196343
2011/06/23,30028074
2011/06/24,33327684
2011/06/25,42932680
2011/06/26,44593075
2011/06/27,43717291
2011/06/28,48358116
2011/06/29,48265599
2011/06/30,46741930
2011/07/01,44851612
2011/07/02,42818006
2011/07/03,40622884
2011/07/04,39282607
2011/07/05,37100435
2011/07/06,35215219
2011/07/07,33386018
2011/07/08,31518038
2011/07/09,31405952
2011/07/10,31669309
2011/07/11,30569713
2011/07/12,29568266
2011/07/13,28946618
2011/07/14,28815171
2011/07/15,27491448
2011/07/16,26826098
2011/07/17,25583071
2011/07/18,26769735
2011/07/19,27452557
2011/07/20,26164498
2011/07/21,25651370
2011/07/22,25361975
2011/07/23,24259079
2011/07/24,23177171
2011/07/25,22977547
2011/07/26,22557203
2011/07/27,22239779
2011/07/28,23801119
2011/07/29,22865827
2011/07/30,21673599
2011/07/31,20790686
2011/08/01,19910698
2011/08/02,18948596
2011/08/03,18006437
2011/08/04,17050622
2011/08/05,16277329
2011/08/06,15426506
2011/08/07,14600903
2011/08/08,14183687
2011/08/09,14691960
2011/08/10,14477846
2011/08/11,13848690
2011/08/12,13161844
2011/08/13,12504913
2011/08/14,12000865
2011/08/15,11461079
2011/08/16,10976453
2011/08/17,10495801
2011/08/18,10099821
2011/08/19,9850999
2011/08/20,9382188
2011/08/21,8954529
2011/08/22,8572526
2011/08/23,8329312
2011/08/24,8185251
2011/08/25,7904305
2011/08/26,7554063
2011/08/27,8530245
2011/08/28,8084356
2011/08/29,7700789
2011/08/30,7339471
2011/08/31,7010595
2011/09/01,6732303
2011/09/02,6435878
2011/09/03,6144245
2011/09/04,6681102
2011/09/05,7399189
2011/09/06,8391605
2011/09/07,8135309
2011/09/08,7782426
2011/09/09,7429616
2011/09/10,7033991
2011/09/11,6928007
2011/09/12,6721602
2011/09/13,6422013
2011/09/14,6116369
2011/09/15,5819896
2011/09/16,5652555
2011/09/17,5395072
2011/09/18,5140199
2011/09/19,4921044
2011/09/20,4732770
2011/09/21,4574454
2011/09/22,4387551
2011/09/23,4224073
2011/09/24,4031501
2011/09/25,3871519
2011/09/26,3713184
2011/09/27,3607055
2011/09/28,3483688
2011/09/29,3359770
2011/09/30,3234242
2011/10/01,3161003
2011/10/02,3059520
2011/10/03,2992151
