Date,confirmationtime14mom
2010/07/17,1.531
2010/07/18,-0.303
2010/07/19,0.231
2010/07/20,-0.565
2010/07/21,-2.274
2010/07/22,-1.355
2010/07/23,0.186
2010/07/24,0.346
2010/07/25,-1.811
2010/07/26,3.741
2010/07/27,6.594
2010/07/28,6.565
2010/07/29,5.692
2010/07/30,5.061
2010/07/31,-1.23
2010/08/01,-2.347
2010/08/02,-2.325
2010/08/03,-1.612
2010/08/04,-1.031
2010/08/05,-1.576
2010/08/06,2.373
2010/08/07,1.671
2010/08/08,1.002
2010/08/09,1.653
2010/08/10,-1.135
2010/08/11,-2.876
2010/08/12,-1.364
2010/08/13,-1.214
2010/08/14,-1.969
2010/08/15,0.931
2010/08/16,3.846
2010/08/17,4.819
2010/08/18,4.901
2010/08/19,4.061
2010/08/20,-2.335
2010/08/21,-0.967
2010/08/22,-0.444
2010/08/23,-0.818
2010/08/24,-0.842
2010/08/25,0.486
2010/08/26,0.221
2010/08/27,1.723
2010/08/28,3.346
2010/08/29,1.932
2010/08/30,-0.131
2010/08/31,-3.337
2010/09/01,-1.655
2010/09/02,-1.436
2010/09/03,1.319
2010/09/04,-0.368
2010/09/05,1.935
2010/09/06,2.353
2010/09/07,2.302
2010/09/08,2.061
2010/09/09,3.81
2010/09/10,-0.285
2010/09/11,0.529
2010/09/12,-0.753
2010/09/13,-1.243
2010/09/14,-0.732
2010/09/15,-0.651
2010/09/16,-2.655
2010/09/17,-1.857
2010/09/18,-1.88
2010/09/19,-1.837
2010/09/20,-2.02
2010/09/21,-0.628
2010/09/22,-0.451
2010/09/23,-4.513
2010/09/24,-1.82
2010/09/25,-2.043
2010/09/26,-1.111
2010/09/27,-2.133
2010/09/28,-0.301
2010/09/29,0.26
2010/09/30,3.288
2010/10/01,2.428
2010/10/02,8.324
2010/10/03,4.913
2010/10/04,2.318
2010/10/05,3.056
2010/10/06,0.145
2010/10/07,2.846
2010/10/08,3.035
2010/10/09,2.157
2010/10/10,1.065
2010/10/11,2.768
2010/10/12,2.498
2010/10/13,-0.599
2010/10/14,-2.839
2010/10/15,-1.215
2010/10/16,-8.819
2010/10/17,-6.47
2010/10/18,-3.629
2010/10/19,-5.804
2010/10/20,-2.967
2010/10/21,-1.258
2010/10/22,0
2010/10/23,-0.885
2010/10/24,-1.065
2010/10/25,-1.963
2010/10/26,-3.315
2010/10/27,-1.421
2010/10/28,-0.449
2010/10/29,-1.678
2010/10/30,0.133
2010/10/31,2.711
2010/11/01,2.352
2010/11/02,2.557
2010/11/03,2.124
2010/11/04,-0.578
2010/11/05,-2.775
2010/11/06,-1.623
2010/11/07,-1.049
2010/11/08,-1.857
2010/11/09,0.661
