Date,size30rsi
2011/03/27,52.628
2011/03/28,52.213
2011/03/29,51.146
2011/03/30,48.941
2011/03/31,48.677
2011/04/01,48.067
2011/04/02,48.118
2011/04/03,48.106
2011/04/04,49.902
2011/04/05,48.769
2011/04/06,49.737
2011/04/07,49.072
2011/04/08,49.148
2011/04/09,48.932
2011/04/10,48.662
2011/04/11,50.314
2011/04/12,51.864
2011/04/13,50.387
2011/04/14,52.998
2011/04/15,54.334
2011/04/16,52.505
2011/04/17,49.643
2011/04/18,54.301
2011/04/19,55.543
2011/04/20,56.821
2011/04/21,49.286
2011/04/22,48.921
2011/04/23,50.601
2011/04/24,51.077
2011/04/25,51.393
2011/04/26,52.22
2011/04/27,58.112
2011/04/28,53.016
2011/04/29,51.83
2011/04/30,55.552
2011/05/01,55.234
2011/05/02,50.039
2011/05/03,50.467
2011/05/04,50.26
2011/05/05,51.219
2011/05/06,50.474
2011/05/07,50.831
2011/05/08,49.303
2011/05/09,50.502
2011/05/10,53.128
2011/05/11,51.782
2011/05/12,53.618
2011/05/13,54.962
2011/05/14,52.221
2011/05/15,52.323
2011/05/16,52.709
2011/05/17,51.712
2011/05/18,52.886
2011/05/19,57.538
2011/05/20,54.099
2011/05/21,53.38
2011/05/22,52.064
2011/05/23,52.084
2011/05/24,51.269
2011/05/25,52.604
2011/05/26,54.191
2011/05/27,56.534
2011/05/28,58.436
2011/05/29,54.905
2011/05/30,59.392
2011/05/31,62.371
2011/06/01,58.304
2011/06/02,59.919
2011/06/03,63.644
2011/06/04,58.9
2011/06/05,57.582
2011/06/06,59.972
2011/06/07,62.401
2011/06/08,69.04
2011/06/09,60.77
2011/06/10,58.335
2011/06/11,54.894
2011/06/12,58.521
2011/06/13,57.607
2011/06/14,58.213
2011/06/15,55.289
2011/06/16,61.96
2011/06/17,58.804
2011/06/18,57.074
2011/06/19,55.376
2011/06/20,52.666
2011/06/21,50.783
2011/06/22,51.407
2011/06/23,51.471
2011/06/24,53.562
2011/06/25,58.465
2011/06/26,58.919
2011/06/27,60.848
2011/06/28,57.411
2011/06/29,54.58
2011/06/30,52.556
2011/07/01,55.629
2011/07/02,52.607
2011/07/03,51.84
2011/07/04,53.659
2011/07/05,56.408
2011/07/06,57.071
2011/07/07,56.365
2011/07/08,51.665
2011/07/09,52.159
2011/07/10,55.36
2011/07/11,54.435
2011/07/12,52.843
2011/07/13,49.881
2011/07/14,53.465
2011/07/15,50.075
2011/07/16,51.784
2011/07/17,50.643
2011/07/18,53.465
2011/07/19,54.594
2011/07/20,52.648
2011/07/21,51.732
2011/07/22,52.277
2011/07/23,50.628
2011/07/24,50.179
2011/07/25,52.716
2011/07/26,50.003
2011/07/27,49.651
2011/07/28,51.409
2011/07/29,48.452
2011/07/30,47.589
2011/07/31,49.097
2011/08/01,50.708
2011/08/02,52.108
2011/08/03,50.393
2011/08/04,53.066
2011/08/05,50.327
2011/08/06,52.324
2011/08/07,50.309
2011/08/08,52.78
2011/08/09,53.27
2011/08/10,50.421
2011/08/11,50.194
2011/08/12,50.018
2011/08/13,51.036
2011/08/14,52.085
2011/08/15,54.097
2011/08/16,52.802
2011/08/17,51.562
2011/08/18,49.44
2011/08/19,52.288
2011/08/20,48.631
2011/08/21,48.516
2011/08/22,48.843
2011/08/23,48.725
2011/08/24,50.506
2011/08/25,50.436
2011/08/26,50.101
2011/08/27,51.337
2011/08/28,48.981
2011/08/29,51.234
2011/08/30,49.323
2011/08/31,47.702
2011/09/01,50.64
2011/09/02,47.467
2011/09/03,46.769
