Date,activeaddresses90roc
2011/04/30,155.066
2011/05/01,236.025
2011/05/02,212.474
2011/05/03,306.04
2011/05/04,403.318
2011/05/05,370.245
2011/05/06,349.311
2011/05/07,422.469
2011/05/08,357.797
2011/05/09,430.133
2011/05/10,243.151
2011/05/11,99.634
2011/05/12,67.726
2011/05/13,186.394
2011/05/14,174.801
2011/05/15,102.016
2011/05/16,245.191
2011/05/17,252.012
2011/05/18,270.533
2011/05/19,232.539
2011/05/20,301.107
2011/05/21,239.062
2011/05/22,229.201
2011/05/23,219.81
2011/05/24,247.156
2011/05/25,296.137
2011/05/26,323.77
2011/05/27,201.955
2011/05/28,220.396
2011/05/29,269.749
2011/05/30,145.476
2011/05/31,276.77
2011/06/01,185.676
2011/06/02,372.996
2011/06/03,393.49
2011/06/04,485.585
2011/06/05,423.937
2011/06/06,442.074
2011/06/07,460.402
2011/06/08,837.706
2011/06/09,762.139
2011/06/10,647.03
2011/06/11,721.638
2011/06/12,831.517
2011/06/13,682.328
2011/06/14,840.556
2011/06/15,753.984
2011/06/16,832.999
2011/06/17,720.34
2011/06/18,486.986
2011/06/19,496.862
2011/06/20,572.216
2011/06/21,264.161
2011/06/22,509.936
2011/06/23,484.388
2011/06/24,422.204
2011/06/25,374.183
2011/06/26,341.136
2011/06/27,547.69
2011/06/28,614.91
2011/06/29,485.069
2011/06/30,615.432
2011/07/01,814.467
2011/07/02,788.858
2011/07/03,381.411
2011/07/04,447.097
2011/07/05,502.483
2011/07/06,686.415
2011/07/07,528.693
2011/07/08,581.217
2011/07/09,547.936
2011/07/10,607.094
2011/07/11,496.998
2011/07/12,393.236
2011/07/13,355.498
2011/07/14,595.515
2011/07/15,355.075
2011/07/16,453.07
2011/07/17,345.379
2011/07/18,339.225
2011/07/19,362.224
2011/07/20,539.634
2011/07/21,498.752
2011/07/22,395.421
2011/07/23,370.41
2011/07/24,357.765
2011/07/25,338.588
2011/07/26,218.066
2011/07/27,277.415
2011/07/28,283.889
2011/07/29,172.416
2011/07/30,163.818
2011/07/31,303.157
2011/08/01,292.678
2011/08/02,240.599
2011/08/03,159.442
2011/08/04,176.795
2011/08/05,195.548
2011/08/06,216.109
2011/08/07,165.169
2011/08/08,243.726
2011/08/09,234.058
2011/08/10,172.652
2011/08/11,93.524
2011/08/12,90.819
2011/08/13,130.66
2011/08/14,82.703
2011/08/15,83.1
2011/08/16,62.238
2011/08/17,69.72
2011/08/18,78.233
2011/08/19,106.396
2011/08/20,94.877
2011/08/21,88.422
2011/08/22,91.141
2011/08/23,55.844
2011/08/24,52.867
2011/08/25,113.752
2011/08/26,85.017
2011/08/27,86.29
2011/08/28,44.91
2011/08/29,34.494
2011/08/30,25.413
2011/08/31,9.73
2011/09/01,-4.665
2011/09/02,-17.092
2011/09/03,-19.019
2011/09/04,-16.339
2011/09/05,-3.802
2011/09/06,-31.239
2011/09/07,-35.977
2011/09/08,-34.551
2011/09/09,-21.729
2011/09/10,-41.001
2011/09/11,-40.25
2011/09/12,-44.13
2011/09/13,-46.008
2011/09/14,-48.755
2011/09/15,-40.673
2011/09/16,-44.243
2011/09/17,-52.734
2011/09/18,-44.69
2011/09/19,-35.742
2011/09/20,-18.125
2011/09/21,-26.411
2011/09/22,-30.43
2011/09/23,-11.64
2011/09/24,-17.443
2011/09/25,-36.168
2011/09/26,-32.15
2011/09/27,-23.183
2011/09/28,-41.387
2011/09/29,-57.645
2011/09/30,-58.213
2011/10/01,-41.567
2011/10/02,-49.745
2011/10/03,-40.561
2011/10/04,-48.739
2011/10/05,-40.482
2011/10/06,-41.355
2011/10/07,-39.61
2011/10/08,-56.469
2011/10/09,-52.511
2011/10/10,-42.072
2011/10/11,-49.531
2011/10/12,-52.904
2011/10/13,-52.282
2011/10/14,-39.492
2011/10/15,-46.673
2011/10/16,-57.022
2011/10/17,-43.197
2011/10/18,-52.422
2011/10/19,-50.639
2011/10/20,-54.535
2011/10/21,-44.99
2011/10/22,-47.867
2011/10/23,-50.972
2011/10/24,-41.423
2011/10/25,-44.176
2011/10/26,-51.944
2011/10/27,-48.436
2011/10/28,-35.693
2011/10/29,-46.667
2011/10/30,-52.01
2011/10/31,-44.607
2011/11/01,-30.646
2011/11/02,-30.839
2011/11/03,-39.033
2011/11/04,-21.828
2011/11/05,-32.727
2011/11/06,-53.139
2011/11/07,-46.59
2011/11/08,-30.299
2011/11/09,-21.591
2011/11/10,-16.139
2011/11/11,-36.583
2011/11/12,-43.253
2011/11/13,-34.766
2011/11/14,-34.651
2011/11/15,-30.423
2011/11/16,-36.368
2011/11/17,-45.145
2011/11/18,-41.169
2011/11/19,-55.706
2011/11/20,-54.69
2011/11/21,-55.239
2011/11/22,-48.077
2011/11/23,-50.249
2011/11/24,-49.173
2011/11/25,-43.99
2011/11/26,-44.317
2011/11/27,-43.084
2011/11/28,-28.02
2011/11/29,-15.579
2011/11/30,-9.12
2011/12/01,-12.864
2011/12/02,-7.854
2011/12/03,-26.681
2011/12/04,-34.918
2011/12/05,-30.347
2011/12/06,-9.391
2011/12/07,-18.301
2011/12/08,-24.434
2011/12/09,-26.089
2011/12/10,-22.528
2011/12/11,-27.054
2011/12/12,-23.611
2011/12/13,-18.995
2011/12/14,-22.54
2011/12/15,-31.152
2011/12/16,-18.98
2011/12/17,-28.867
2011/12/18,-38.526
2011/12/19,-41.952
2011/12/20,-23.655
2011/12/21,-32.252
2011/12/22,-39.812
2011/12/23,-37.704
