Date,size14var
2010/07/17,397898
2010/07/18,396015
2010/07/19,387500
2010/07/20,377738
2010/07/21,369607
2010/07/22,357884
2010/07/23,344919
2010/07/24,352999
2010/07/25,679249
2010/07/26,677137
2010/07/27,660093
2010/07/28,822570
2010/07/29,916840
2010/07/30,916111
2010/07/31,941766
2010/08/01,978947
2010/08/02,1013270
2010/08/03,1022565
2010/08/04,1034969
2010/08/05,1011661
2010/08/06,992422
2010/08/07,1008062
2010/08/08,700676
2010/08/09,723142
2010/08/10,739206
2010/08/11,294955
2010/08/12,86521
2010/08/13,88662
2010/08/14,88089
2010/08/15,89091
2010/08/16,93891
2010/08/17,92933
2010/08/18,199763
2010/08/19,200704
2010/08/20,203108
2010/08/21,205737
2010/08/22,207881
2010/08/23,161639
2010/08/24,159385
2010/08/25,162333
2010/08/26,159408
2010/08/27,161740
2010/08/28,159393
2010/08/29,158992
2010/08/30,149424
2010/08/31,155677
2010/09/01,29029
2010/09/02,29020
2010/09/03,29736
2010/09/04,32073
2010/09/05,31139
2010/09/06,30873
2010/09/07,27559
2010/09/08,25631
2010/09/09,26653
2010/09/10,25642
2010/09/11,26267
2010/09/12,24255
2010/09/13,25819
2010/09/14,16239
2010/09/15,11911
2010/09/16,11960
2010/09/17,12749
2010/09/18,11700
2010/09/19,12082
2010/09/20,11882
2010/09/21,67739
2010/09/22,85975
2010/09/23,86487
2010/09/24,85277
2010/09/25,80613
2010/09/26,82651
2010/09/27,85172
2010/09/28,95132
2010/09/29,220383
2010/09/30,212388
2010/10/01,210493
2010/10/02,234194
2010/10/03,212567
2010/10/04,203197
2010/10/05,188159
2010/10/06,193667
2010/10/07,200120
2010/10/08,189752
2010/10/09,186102
2010/10/10,183282
2010/10/11,193222
2010/10/12,196843
2010/10/13,84271
2010/10/14,90259
2010/10/15,93783
2010/10/16,23100
2010/10/17,24566
2010/10/18,21761
2010/10/19,30402
2010/10/20,31878
2010/10/21,35324
2010/10/22,52253
2010/10/23,52211
2010/10/24,50498
2010/10/25,50490
2010/10/26,51583
2010/10/27,52158
2010/10/28,48819
2010/10/29,43808
2010/10/30,47659
2010/10/31,45392
2010/11/01,48650
2010/11/02,45453
2010/11/03,47569
2010/11/04,45352
2010/11/05,20581
2010/11/06,16514
2010/11/07,14977
2010/11/08,18636
2010/11/09,18975
2010/11/10,12412
2010/11/11,11222
2010/11/12,9914
2010/11/13,10312
2010/11/14,10307
2010/11/15,4508144
2010/11/16,10790325
2010/11/17,10793560
2010/11/18,10673511
2010/11/19,20975618
2010/11/20,37346325
2010/11/21,45637315
2010/11/22,45781517
2010/11/23,45641289
2010/11/24,43835907
2010/11/25,42469928
2010/11/26,41383826
2010/11/27,41130643
2010/11/28,41000847
2010/11/29,42740705
2010/11/30,42427098
2010/12/01,42190484
2010/12/02,42596241
2010/12/03,36772865
2010/12/04,20223296
2010/12/05,6220179
2010/12/06,6241138
2010/12/07,6241198
2010/12/08,5195929
2010/12/09,112479
2010/12/10,9205
2010/12/11,14745
2010/12/12,23889
2010/12/13,96239
2010/12/14,98601
2010/12/15,99172
2010/12/16,98343
2010/12/17,98202
2010/12/18,92580
2010/12/19,82556
2010/12/20,106925
2010/12/21,102868
2010/12/22,93964
2010/12/23,81780
2010/12/24,71536
2010/12/25,70931
2010/12/26,70792
2010/12/27,39430
2010/12/28,39473
2010/12/29,38364
2010/12/30,35619
2010/12/31,36217
2011/01/01,32646
2011/01/02,32752
2011/01/03,140874
2011/01/04,160827
2011/01/05,262393
2011/01/06,262796
2011/01/07,260480
2011/01/08,298001
2011/01/09,316673
2011/01/10,334400
2011/01/11,340042
2011/01/12,299420
2011/01/13,260076
2011/01/14,198152
2011/01/15,146354
2011/01/16,83678
2011/01/17,98301
2011/01/18,96858
2011/01/19,81478
2011/01/20,88712
2011/01/21,89744
2011/01/22,182918
2011/01/23,184765
2011/01/24,185779
2011/01/25,185842
2011/01/26,190712
2011/01/27,190546
2011/01/28,191513
2011/01/29,268430
2011/01/30,1539282
2011/01/31,1484509
2011/02/01,1454683
2011/02/02,1433678
2011/02/03,1418169
2011/02/04,1481113
2011/02/05,1500318
2011/02/06,1525506
2011/02/07,1596360
2011/02/08,1605030
2011/02/09,1587889
2011/02/10,1695171
2011/02/11,1816104
2011/02/12,1819318
2011/02/13,679176
2011/02/14,793167
2011/02/15,815954
2011/02/16,801000
2011/02/17,751965
2011/02/18,710147
2011/02/19,629047
2011/02/20,552605
2011/02/21,376984
2011/02/22,232128
2011/02/23,141089
2011/02/24,118658
2011/02/25,79015
2011/02/26,119523
2011/02/27,115981
2011/02/28,113966
2011/03/01,1071658
2011/03/02,1057341
2011/03/03,1232554
2011/03/04,1238891
2011/03/05,1241968
2011/03/06,1304143
2011/03/07,1294683
2011/03/08,1357367
2011/03/09,1331691
2011/03/10,1429209
2011/03/11,1430664
2011/03/12,1519251
2011/03/13,1836168
2011/03/14,2445179
2011/03/15,3022860
2011/03/16,3236269
2011/03/17,3419106
2011/03/18,3160051
2011/03/19,3165876
2011/03/20,3476473
