Date,confirmationtime
2011/05/05,6.575
2011/05/06,6.606
2011/05/07,6.729
2011/05/08,6.575
2011/05/09,6.025
2011/05/10,7.869
2011/05/11,7.539
2011/05/12,8.521
2011/05/13,6.957
2011/05/14,5.95
2011/05/15,6.545
2011/05/16,5.83
2011/05/17,5.603
2011/05/18,5
2011/05/19,8.421
2011/05/20,6.545
2011/05/21,6.545
2011/05/22,5.714
2011/05/23,5.035
2011/05/24,4.816
2011/05/25,4.691
2011/05/26,4.865
2011/05/27,8.623
2011/05/28,9.29
2011/05/29,8
2011/05/30,9.351
2011/05/31,9.6
2011/06/01,7.66
2011/06/02,7.579
2011/06/03,7.129
2011/06/04,6.429
2011/06/05,6.923
2011/06/06,6.18
2011/06/07,8.471
2011/06/08,7.784
2011/06/09,6.486
2011/06/10,6.457
2011/06/11,5.714
2011/06/12,6.18
2011/06/13,6.344
2011/06/14,5.83
2011/06/15,5.161
2011/06/16,8
2011/06/17,7.742
2011/06/18,7.31
2011/06/19,6.457
2011/06/20,6.154
2011/06/21,5.692
2011/06/22,5.538
2011/06/23,6
2011/06/24,6.667
2011/06/25,10.07
2011/06/26,9.664
2011/06/27,8.521
2011/06/28,9
2011/06/29,8.372
2011/06/30,7.539
2011/07/01,8.324
2011/07/02,8.521
2011/07/03,8.727
2011/07/04,8.471
2011/07/05,10.36
2011/07/06,9.172
2011/07/07,10.992
2011/07/08,8.727
2011/07/09,9.664
2011/07/10,10.511
2011/07/11,9.172
2011/07/12,10.213
2011/07/13,7.539
2011/07/14,10
2011/07/15,8.889
2011/07/16,9.172
2011/07/17,8.471
2011/07/18,8.471
2011/07/19,10.141
2011/07/20,9.664
2011/07/21,9.474
2011/07/22,9.536
2011/07/23,9.863
2011/07/24,8.675
2011/07/25,8.727
2011/07/26,8.182
2011/07/27,8.276
2011/07/28,9.29
2011/07/29,8.78
2011/07/30,9.474
2011/07/31,8.229
2011/08/01,8.727
2011/08/02,9.351
2011/08/03,9.172
2011/08/04,11.163
2011/08/05,10.286
2011/08/06,11.803
2011/08/07,11.429
2011/08/08,10.588
2011/08/09,9.863
2011/08/10,9.474
2011/08/11,10.511
2011/08/12,10.992
2011/08/13,11.077
2011/08/14,10.909
2011/08/15,11.163
2011/08/16,9.796
2011/08/17,10.588
2011/08/18,10
2011/08/19,10.992
2011/08/20,9.474
2011/08/21,9
2011/08/22,8.521
2011/08/23,9.29
2011/08/24,10.746
2011/08/25,10.667
2011/08/26,9.796
2011/08/27,11.803
2011/08/28,12.414
2011/08/29,10.435
2011/08/30,9.863
2011/08/31,9.29
2011/09/01,11.163
2011/09/02,9.231
2011/09/03,9.931
2011/09/04,10.746
2011/09/05,9.231
2011/09/06,9.536
2011/09/07,10.588
2011/09/08,11.163
2011/09/09,9.351
2011/09/10,10.827
2011/09/11,11.52
2011/09/12,10.827
2011/09/13,10.141
2011/09/14,9.863
2011/09/15,9.231
2011/09/16,12.101
2011/09/17,10.746
2011/09/18,9.114
2011/09/19,11.339
2011/09/20,10.286
2011/09/21,9.863
2011/09/22,9.73
2011/09/23,10.827
2011/09/24,11.163
2011/09/25,10.511
2011/09/26,10.746
2011/09/27,10.827
2011/09/28,9.796
2011/09/29,11.52
2011/09/30,11.803
2011/10/01,10.07
2011/10/02,11.901
2011/10/03,9.931
2011/10/04,12.857
2011/10/05,9.931
2011/10/06,11.25
2011/10/07,10.435
2011/10/08,12.101
2011/10/09,11.339
2011/10/10,11.707
2011/10/11,15.484
2011/10/12,12
2011/10/13,14.845
2011/10/14,10.36
2011/10/15,10.746
2011/10/16,12.101
2011/10/17,12.203
2011/10/18,12
2011/10/19,10.827
2011/10/20,12.522
2011/10/21,11.901
2011/10/22,14.694
2011/10/23,13.333
2011/10/24,11.339
2011/10/25,11.163
2011/10/26,12.308
2011/10/27,14.4
2011/10/28,13.714
2011/10/29,12.743
2011/10/30,12.973
2011/10/31,10.992
2011/11/01,9.6
2011/11/02,9.351
2011/11/03,11.52
2011/11/04,9.796
2011/11/05,9.863
2011/11/06,10
2011/11/07,10.909
2011/11/08,9.664
2011/11/09,8.944
2011/11/10,10.213
2011/11/11,12.101
2011/11/12,10.07
2011/11/13,10
2011/11/14,10.07
2011/11/15,8.727
2011/11/16,10.667
2011/11/17,10.36
2011/11/18,10.827
2011/11/19,11.707
2011/11/20,10.07
2011/11/21,12.203
2011/11/22,10.286
2011/11/23,10.746
2011/11/24,12.743
2011/11/25,10.667
2011/11/26,12
2011/11/27,12.632
2011/11/28,11.339
2011/11/29,10.435
2011/11/30,8.889
2011/12/01,7.912
2011/12/02,9.863
2011/12/03,9.474
2011/12/04,10.588
2011/12/05,9.114
2011/12/06,8.421
2011/12/07,10.435
2011/12/08,8.78
2011/12/09,9.796
2011/12/10,10
2011/12/11,9.474
2011/12/12,11.339
2011/12/13,10.909
2011/12/14,9.412
2011/12/15,12.857
2011/12/16,12.203
2011/12/17,9.6
2011/12/18,10
2011/12/19,9.057
2011/12/20,10.746
2011/12/21,9.664
2011/12/22,9.73
2011/12/23,10.141
2011/12/24,9.931
2011/12/25,8.276
2011/12/26,8.136
2011/12/27,9.931
2011/12/28,9.29
2011/12/29,10.435
2011/12/30,10.141
2011/12/31,9.536
2012/01/01,9.412
2012/01/02,9.536
2012/01/03,9.057
2012/01/04,9.664
2012/01/05,9.796
2012/01/06,8.421
2012/01/07,7.826
2012/01/08,8.834
2012/01/09,8.78
2012/01/10,10.213
2012/01/11,9.412
2012/01/12,9.29
2012/01/13,10.286
2012/01/14,9.6
2012/01/15,10.36
2012/01/16,8.229
2012/01/17,9.172
2012/01/18,11.25
2012/01/19,9.6
2012/01/20,9.931
2012/01/21,8.78
2012/01/22,10.588
2012/01/23,8.471
2012/01/24,10.36
2012/01/25,9.73
2012/01/26,10.435
2012/01/27,10.213
2012/01/28,9.931
2012/01/29,8.623
2012/01/30,8.372
2012/01/31,9.6
2012/02/01,10.213
2012/02/02,9.057
2012/02/03,9.114
2012/02/04,9.172
2012/02/05,10.141
2012/02/06,9.863
2012/02/07,10.511
2012/02/08,9.931
2012/02/09,9.931
2012/02/10,10.435
2012/02/11,9.6
2012/02/12,9.114
2012/02/13,10.511
2012/02/14,10.435
2012/02/15,10.746
2012/02/16,10.435
2012/02/17,9.474
2012/02/18,8.421
2012/02/19,9.114
2012/02/20,10.286
2012/02/21,11.163
2012/02/22,9.057
2012/02/23,8.675
2012/02/24,9.664
2012/02/25,8.727
2012/02/26,9.6
2012/02/27,9.351
2012/02/28,9
2012/02/29,8.045
2012/03/01,9.536
2012/03/02,10.746
2012/03/03,12.743
2012/03/04,10.511
2012/03/05,9.931
2012/03/06,10.511
2012/03/07,9.351
2012/03/08,9.231
2012/03/09,8.571
2012/03/10,8.727
2012/03/11,10.746
2012/03/12,8.675
2012/03/13,9
2012/03/14,10.511
2012/03/15,11.901
2012/03/16,9.412
2012/03/17,8.471
2012/03/18,9
2012/03/19,10.07
2012/03/20,9
2012/03/21,9.114
2012/03/22,9.114
2012/03/23,11.429
2012/03/24,7.826
2012/03/25,9.172
2012/03/26,9.536
2012/03/27,9.231
2012/03/28,9.6
2012/03/29,10.213
2012/03/30,9.351
2012/03/31,8.471
2012/04/01,10.141
2012/04/02,12.414
2012/04/03,10.827
2012/04/04,10.511
2012/04/05,12.308
2012/04/06,10.588
2012/04/07,11.163
2012/04/08,9.6
2012/04/09,9.863
2012/04/10,9.796
2012/04/11,10.213
2012/04/12,11.339
2012/04/13,11.707
2012/04/14,10.36
2012/04/15,13.458
2012/04/16,9.6
2012/04/17,10.667
2012/04/18,11.077
2012/04/19,9.172
2012/04/20,9.351
2012/04/21,9.351
2012/04/22,10.286
2012/04/23,10.667
2012/04/24,10.435
2012/04/25,11.339
2012/04/26,9.29
2012/04/27,10.667
2012/04/28,9.474
