Date,fee_to_reward3rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,48.416
2010/07/21,48.416
2010/07/22,48.416
2010/07/23,49.467
2010/07/24,48
2010/07/25,93.112
2010/07/26,82.505
2010/07/27,46.799
2010/07/28,49.765
2010/07/29,39.842
2010/07/30,30.131
2010/07/31,42.765
2010/08/01,34.671
2010/08/02,23.724
2010/08/03,14.198
2010/08/04,14.198
2010/08/05,14.198
2010/08/06,14.198
2010/08/07,97.371
2010/08/08,39.678
2010/08/09,70.743
2010/08/10,39.912
2010/08/11,39.912
2010/08/12,39.912
2010/08/13,39.912
2010/08/14,39.912
2010/08/15,39.912
2010/08/16,66.868
2010/08/17,39.971
2010/08/18,77.09
2010/08/19,39.994
2010/08/20,39.994
2010/08/21,39.994
2010/08/22,39.994
2010/08/23,39.994
2010/08/24,78.053
2010/08/25,39.999
2010/08/26,39.999
2010/08/27,39.999
2010/08/28,39.999
2010/08/29,71.171
2010/08/30,74.585
2010/08/31,43.929
2010/09/01,35.4
2010/09/02,28.236
2010/09/03,28.236
2010/09/04,28.236
2010/09/05,34.852
2010/09/06,30.618
2010/09/07,30.618
2010/09/08,30.618
2010/09/09,87.236
2010/09/10,39.224
2010/09/11,39.224
2010/09/12,74.778
2010/09/13,39.828
2010/09/14,42.144
2010/09/15,39.844
2010/09/16,39.844
2010/09/17,39.844
2010/09/18,87.456
2010/09/19,39.985
2010/09/20,39.985
2010/09/21,39.985
2010/09/22,39.985
2010/09/23,39.985
2010/09/24,39.985
2010/09/25,39.985
2010/09/26,39.985
2010/09/27,70.685
2010/09/28,99.551
2010/09/29,39.906
2010/09/30,39.906
2010/10/01,61.405
2010/10/02,40.237
2010/10/03,40.224
2010/10/04,39.627
2010/10/05,39.627
2010/10/06,39.627
2010/10/07,39.627
2010/10/08,39.627
2010/10/09,39.627
2010/10/10,39.627
2010/10/11,39.629
2010/10/12,39.627
2010/10/13,97.521
2010/10/14,39.994
2010/10/15,39.994
2010/10/16,39.994
2010/10/17,39.994
2010/10/18,45.907
2010/10/19,39.995
2010/10/20,39.995
2010/10/21,46.873
