Date,hashrate90roc
2010/07/17,2800
2010/07/18,1693
2010/07/19,1732
2010/07/20,1787
2010/07/21,1470
2010/07/22,1926
2010/07/23,1866
2010/07/24,1631
2010/07/25,1902
2010/07/26,2218
2010/07/27,2239
2010/07/28,1997
2010/07/29,2368
2010/07/30,2287
2010/07/31,2191
2010/08/01,2734
2010/08/02,3469
2010/08/03,3128
2010/08/04,2938
2010/08/05,3329
2010/08/06,3478
2010/08/07,2631
2010/08/08,3335
2010/08/09,4448
2010/08/10,4224
2010/08/11,4650
2010/08/12,4695
2010/08/13,5525
2010/08/14,6643
2010/08/15,6686
2010/08/16,3586
2010/08/17,3389
2010/08/18,3011
2010/08/19,3005
2010/08/20,3680
2010/08/21,3663
2010/08/22,4191
2010/08/23,4374
2010/08/24,4121
2010/08/25,4668
2010/08/26,4281
2010/08/27,4088
2010/08/28,4187
2010/08/29,3954
2010/08/30,4106
2010/08/31,4513
2010/09/01,4167
2010/09/02,4165
2010/09/03,4150
2010/09/04,4299
2010/09/05,4234
2010/09/06,3683
2010/09/07,3508
2010/09/08,3833
2010/09/09,4003
2010/09/10,4192
2010/09/11,4376
2010/09/12,4351
2010/09/13,3833
2010/09/14,4483
2010/09/15,5230
2010/09/16,5268
2010/09/17,5684
2010/09/18,5564
2010/09/19,6444
2010/09/20,7019
2010/09/21,5824
2010/09/22,4609
2010/09/23,5774
2010/09/24,6973
2010/09/25,6433
2010/09/26,5638
2010/09/27,6323
2010/09/28,6316
2010/09/29,6345
2010/09/30,5118
2010/10/01,5559
2010/10/02,4369
2010/10/03,4302
2010/10/04,4281
2010/10/05,4767
2010/10/06,5286
2010/10/07,5153
2010/10/08,4579
2010/10/09,4554
2010/10/10,2192
2010/10/11,720.28
2010/10/12,710.926
2010/10/13,728.687
2010/10/14,585.481
2010/10/15,376.701
2010/10/16,850.343
2010/10/17,1137
2010/10/18,989.392
2010/10/19,847.04
2010/10/20,922.073
2010/10/21,1273
2010/10/22,943.354
2010/10/23,853.718
2010/10/24,764.567
2010/10/25,824.957
2010/10/26,1143
2010/10/27,1078
2010/10/28,933.921
2010/10/29,981.917
2010/10/30,861.191
2010/10/31,1012
2010/11/01,832.219
2010/11/02,891.014
2010/11/03,823.133
2010/11/04,834.383
2010/11/05,1141
2010/11/06,931.911
2010/11/07,967.694
2010/11/08,1074
2010/11/09,1152
2010/11/10,1022
2010/11/11,1198
2010/11/12,920.535
2010/11/13,657.494
2010/11/14,1369
2010/11/15,1313
2010/11/16,1203
2010/11/17,1407
2010/11/18,1443
2010/11/19,1379
2010/11/20,750.998
2010/11/21,748.404
2010/11/22,864.154
2010/11/23,810.861
2010/11/24,933.687
2010/11/25,832.362
2010/11/26,1118
2010/11/27,1207
2010/11/28,1123
2010/11/29,1144
2010/11/30,1338
2010/12/01,1400
2010/12/02,1483
2010/12/03,1326
2010/12/04,1502
2010/12/05,1729
2010/12/06,1926
2010/12/07,1583
2010/12/08,1677
2010/12/09,1701
2010/12/10,1646
2010/12/11,1513
2010/12/12,1625
2010/12/13,1393
2010/12/14,1366
2010/12/15,1495
2010/12/16,1361
2010/12/17,1249
2010/12/18,888.173
2010/12/19,988.887
2010/12/20,1156
2010/12/21,1332
2010/12/22,1310
2010/12/23,872.704
2010/12/24,959.852
2010/12/25,1128
2010/12/26,973.835
2010/12/27,938.404
2010/12/28,897.356
2010/12/29,1163
2010/12/30,1032
2010/12/31,1354
2011/01/01,1622
2011/01/02,1313
2011/01/03,1422
2011/01/04,1122
2011/01/05,981.688
2011/01/06,1102
2011/01/07,1059
2011/01/08,1206
2011/01/09,1043
2011/01/10,1175
2011/01/11,1058
2011/01/12,963.612
2011/01/13,987.321
2011/01/14,882.473
2011/01/15,687.379
2011/01/16,773.052
2011/01/17,876.631
2011/01/18,746.94
2011/01/19,522.799
2011/01/20,809.688
2011/01/21,854.663
2011/01/22,661.427
2011/01/23,611.25
2011/01/24,560.191
2011/01/25,512.142
2011/01/26,639.538
2011/01/27,617.013
2011/01/28,576.665
2011/01/29,404.208
2011/01/30,559.496
2011/01/31,514.556
2011/02/01,571.582
2011/02/02,489.969
2011/02/03,428.4
2011/02/04,502.642
2011/02/05,468.135
2011/02/06,399.861
2011/02/07,338.723
2011/02/08,441.814
2011/02/09,354.192
2011/02/10,465.224
2011/02/11,451.586
2011/02/12,359.776
2011/02/13,407.013
2011/02/14,489.583
2011/02/15,415.905
2011/02/16,352.282
2011/02/17,362.394
2011/02/18,773.792
2011/02/19,623.314
2011/02/20,538.769
2011/02/21,581.078
2011/02/22,566.227
2011/02/23,645.1
2011/02/24,504.632
2011/02/25,510.02
2011/02/26,682.393
2011/02/27,852.099
2011/02/28,541.321
2011/03/01,438.669
2011/03/02,448.053
2011/03/03,515.161
2011/03/04,549.716
2011/03/05,628.528
2011/03/06,699.401
2011/03/07,657.454
2011/03/08,464.962
2011/03/09,417.173
2011/03/10,386.033
2011/03/11,374.542
2011/03/12,360.166
2011/03/13,406.513
2011/03/14,350.152
2011/03/15,272.497
2011/03/16,346.568
2011/03/17,360.097
2011/03/18,439.811
2011/03/19,319.392
2011/03/20,337.789
2011/03/21,391.662
2011/03/22,300.134
2011/03/23,402.642
2011/03/24,471.531
2011/03/25,365.62
2011/03/26,385.397
2011/03/27,355.434
2011/03/28,318.572
2011/03/29,366.884
2011/03/30,354.278
2011/03/31,433.754
2011/04/01,407.979
2011/04/02,380.276
2011/04/03,336.31
2011/04/04,429.724
2011/04/05,451.053
2011/04/06,434.396
2011/04/07,421.536
2011/04/08,341.802
2011/04/09,427.166
2011/04/10,385.569
2011/04/11,401.557
2011/04/12,398.536
2011/04/13,441.709
2011/04/14,386.448
2011/04/15,297.735
2011/04/16,316.728
2011/04/17,341.336
2011/04/18,385.571
2011/04/19,348.889
2011/04/20,339.327
2011/04/21,310.552
2011/04/22,410.708
2011/04/23,392.231
2011/04/24,385.239
2011/04/25,428.553
2011/04/26,448.048
2011/04/27,400.694
2011/04/28,330.9
2011/04/29,428.62
2011/04/30,474.609
2011/05/01,500.968
2011/05/02,438.376
2011/05/03,510.264
2011/05/04,521.076
2011/05/05,489.956
2011/05/06,455.321
2011/05/07,513.236
2011/05/08,452.855
2011/05/09,478.253
2011/05/10,621.263
2011/05/11,503.644
2011/05/12,471.464
2011/05/13,487.862
2011/05/14,616.806
2011/05/15,610.436
2011/05/16,572.216
2011/05/17,590.171
2011/05/18,597.946
2011/05/19,596.584
2011/05/20,662.208
2011/05/21,674.211
2011/05/22,760.231
2011/05/23,741.62
2011/05/24,770.143
2011/05/25,802.847
2011/05/26,973.74
2011/05/27,995.745
2011/05/28,467.6
2011/05/29,619.874
2011/05/30,801.484
2011/05/31,675.501
2011/06/01,670.252
2011/06/02,650.828
2011/06/03,535.531
2011/06/04,487.392
2011/06/05,554.978
2011/06/06,951.309
2011/06/07,885.352
2011/06/08,907.051
2011/06/09,1149
2011/06/10,1169
2011/06/11,1196
2011/06/12,1516
2011/06/13,1497
2011/06/14,1212
2011/06/15,1816
2011/06/16,1760
2011/06/17,1767
2011/06/18,1646
2011/06/19,1590
2011/06/20,1849
2011/06/21,1888
2011/06/22,1772
2011/06/23,1916
2011/06/24,2408
2011/06/25,2082
2011/06/26,1882
2011/06/27,1795
2011/06/28,1921
2011/06/29,1726
2011/06/30,1841
2011/07/01,1966
2011/07/02,1914
2011/07/03,1734
2011/07/04,1603
2011/07/05,1492
2011/07/06,1624
2011/07/07,1675
2011/07/08,1549
2011/07/09,1753
2011/07/10,1603
2011/07/11,1626
2011/07/12,1351
2011/07/13,1759
2011/07/14,2028
2011/07/15,1779
2011/07/16,1742
2011/07/17,1617
2011/07/18,1838
2011/07/19,1789
2011/07/20,1548
2011/07/21,1622
2011/07/22,1501
2011/07/23,1517
2011/07/24,1586
2011/07/25,1409
2011/07/26,1486
2011/07/27,1956
2011/07/28,1498
2011/07/29,1202
2011/07/30,1182
2011/07/31,1242
2011/08/01,1372
2011/08/02,1271
2011/08/03,1168
2011/08/04,1060
2011/08/05,943.496
2011/08/06,986.725
2011/08/07,763.61
2011/08/08,633.27
2011/08/09,787.336
2011/08/10,983.338
2011/08/11,781.66
2011/08/12,583.832
2011/08/13,608.357
2011/08/14,541.678
2011/08/15,555.94
2011/08/16,434.727
2011/08/17,388.109
2011/08/18,425.57
2011/08/19,378.684
2011/08/20,319.78
2011/08/21,324.44
2011/08/22,343.648
2011/08/23,308.31
2011/08/24,198.095
2011/08/25,141.816
2011/08/26,269.657
2011/08/27,229.098
2011/08/28,199.805
2011/08/29,240.922
2011/08/30,257.157
