Date,transactionfees7trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,-3.166
2010/08/06,-5.532
2010/08/07,13.1
2010/08/08,15.281
2010/08/09,27.393
2010/08/10,21.262
2010/08/11,13.148
2010/08/12,6.607
2010/08/13,1.683
2010/08/14,-2.039
2010/08/15,-4.91
2010/08/16,-6.098
2010/08/17,-7.461
2010/08/18,-4.929
2010/08/19,-4.546
2010/08/20,-5.299
2010/08/21,-6.522
2010/08/22,-7.868
2010/08/23,-9.176
2010/08/24,-6.239
2010/08/25,-5.438
2010/08/26,-5.872
2010/08/27,-6.881
2010/08/28,-8.088
2010/08/29,-6.543
2010/08/30,-3.912
2010/08/31,-2.657
2010/09/01,-2.784
2010/09/02,-4.002
2010/09/03,-5.58
2010/09/04,-7.18
2010/09/05,-8.557
2010/09/06,-9.838
2010/09/07,-10.993
2010/09/08,-12.022
2010/09/09,-11.525
2010/09/10,-11.532
2010/09/11,-11.849
2010/09/12,-9.698
2010/09/13,-8.875
2010/09/14,-8.729
2010/09/15,-9.164
2010/09/16,-9.89
2010/09/17,-10.73
2010/09/18,-4.604
2010/09/19,-2.356
2010/09/20,-2.531
2010/09/21,-3.804
2010/09/22,-5.429
2010/09/23,-7.064
2010/09/24,-8.576
2010/09/25,-9.928
2010/09/26,-11.118
2010/09/27,-11.544
2010/09/28,55.259
2010/09/29,47.029
2010/09/30,28.708
2010/10/01,21.968
2010/10/02,13.589
2010/10/03,6.985
2010/10/04,1.984
2010/10/05,-1.802
2010/10/06,-4.72
2010/10/07,-7.02
2010/10/08,-8.87
2010/10/09,-10.387
2010/10/10,-11.649
2010/10/11,-12.716
2010/10/12,-13.627
2010/10/13,3.976
2010/10/14,9.679
2010/10/15,8.136
2010/10/16,4.517
2010/10/17,0.87
2010/10/18,-1.798
2010/10/19,-4.251
