Date,sentinusd14emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,2437
2010/07/31,2249
2010/08/01,4148
2010/08/02,4114
2010/08/03,3889
2010/08/04,3638
2010/08/05,3477
2010/08/06,3167
2010/08/07,2947
2010/08/08,2636
2010/08/09,2959
2010/08/10,2876
2010/08/11,2957
2010/08/12,2707
2010/08/13,2652
2010/08/14,2440
2010/08/15,2264
2010/08/16,2542
2010/08/17,2655
2010/08/18,2645
2010/08/19,2475
2010/08/20,2406
2010/08/21,2425
2010/08/22,2280
2010/08/23,2131
2010/08/24,2030
2010/08/25,1898
2010/08/26,1768
2010/08/27,1779
2010/08/28,1685
2010/08/29,1534
2010/08/30,1449
2010/08/31,1588
2010/09/01,1615
2010/09/02,1688
2010/09/03,1705
2010/09/04,1726
2010/09/05,2630
2010/09/06,2906
2010/09/07,2668
2010/09/08,2457
2010/09/09,2407
2010/09/10,2202
2010/09/11,1994
2010/09/12,1881
2010/09/13,2601
2010/09/14,2504
2010/09/15,2497
2010/09/16,2450
2010/09/17,2725
2010/09/18,2711
2010/09/19,2771
2010/09/20,2745
2010/09/21,2612
2010/09/22,2634
2010/09/23,3333
2010/09/24,3049
2010/09/25,2890
2010/09/26,2691
2010/09/27,2609
2010/09/28,2935
2010/09/29,3318
2010/09/30,3219
2010/10/01,3271
2010/10/02,5826
2010/10/03,5668
2010/10/04,9452
2010/10/05,9778
2010/10/06,9481
2010/10/07,9322
2010/10/08,9650
2010/10/09,10552
2010/10/10,10639
2010/10/11,9901
2010/10/12,9564
2010/10/13,9789
2010/10/14,10933
2010/10/15,11477
2010/10/16,12603
2010/10/17,12398
2010/10/18,13724
2010/10/19,15382
2010/10/20,15980
2010/10/21,16386
2010/10/22,16017
2010/10/23,14496
2010/10/24,14121
2010/10/25,14459
2010/10/26,15956
2010/10/27,18385
2010/10/28,20407
2010/10/29,19809
2010/10/30,18675
2010/10/31,17857
2010/11/01,16569
