Date,mining_profitability7std
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,208132
2010/07/24,123741
2010/07/25,133508
2010/07/26,119138
2010/07/27,143054
2010/07/28,95771
2010/07/29,88879
2010/07/30,83594
2010/07/31,74456
2010/08/01,63123
2010/08/02,60457
2010/08/03,42314
2010/08/04,38439
2010/08/05,55676
2010/08/06,94577
2010/08/07,88458
2010/08/08,79092
2010/08/09,73857
2010/08/10,68290
2010/08/11,38957
2010/08/12,35646
2010/08/13,15537
2010/08/14,25779
2010/08/15,59645
2010/08/16,71942
2010/08/17,77823
2010/08/18,75202
2010/08/19,70730
2010/08/20,66456
2010/08/21,22934
2010/08/22,21065
2010/08/23,20769
2010/08/24,19449
2010/08/25,20226
2010/08/26,21212
2010/08/27,25819
2010/08/28,30966
2010/08/29,28097
2010/08/30,26609
2010/08/31,22422
2010/09/01,19723
2010/09/02,10081
2010/09/03,9082
2010/09/04,9267
2010/09/05,9905
2010/09/06,10062
2010/09/07,8158
2010/09/08,7836
2010/09/09,17684
2010/09/10,17149
2010/09/11,16530
2010/09/12,16317
2010/09/13,16072
2010/09/14,13373
2010/09/15,13932
2010/09/16,12915
2010/09/17,13320
2010/09/18,13063
2010/09/19,20912
2010/09/20,24600
2010/09/21,25160
2010/09/22,25646
2010/09/23,18625
2010/09/24,18232
2010/09/25,10725
2010/09/26,10545
2010/09/27,10551
2010/09/28,11185
2010/09/29,22494
2010/09/30,21326
2010/10/01,22424
2010/10/02,25163
2010/10/03,21523
2010/10/04,14417
2010/10/05,9824
2010/10/06,10960
2010/10/07,10955
2010/10/08,12446
2010/10/09,14761
2010/10/10,22013
2010/10/11,22411
2010/10/12,18714
2010/10/13,19697
2010/10/14,16083
2010/10/15,11416
2010/10/16,15035
2010/10/17,15108
2010/10/18,14023
2010/10/19,12495
2010/10/20,12520
2010/10/21,27096
2010/10/22,31851
2010/10/23,28457
2010/10/24,27328
2010/10/25,26359
2010/10/26,23688
2010/10/27,22682
2010/10/28,27112
2010/10/29,27268
2010/10/30,29118
2010/10/31,31567
