Date,size7sma
2010/07/17,918.765
2010/07/18,967.701
2010/07/19,956.929
2010/07/20,1035
2010/07/21,717.183
2010/07/22,674.413
2010/07/23,662.462
2010/07/24,776.161
2010/07/25,1116
2010/07/26,1139
2010/07/27,1096
2010/07/28,1496
2010/07/29,1764
2010/07/30,1777
2010/07/31,1626
2010/08/01,1227
2010/08/02,1147
2010/08/03,1156
2010/08/04,736.806
2010/08/05,519.178
2010/08/06,538.872
2010/08/07,563.196
2010/08/08,577.076
2010/08/09,738.044
2010/08/10,688.175
2010/08/11,689.291
2010/08/12,622.419
2010/08/13,633.879
2010/08/14,612.627
2010/08/15,594.735
2010/08/16,521.266
2010/08/17,549.796
2010/08/18,765.317
2010/08/19,788.724
2010/08/20,754.222
2010/08/21,760.967
2010/08/22,770.768
2010/08/23,690.515
2010/08/24,713.457
2010/08/25,486.308
2010/08/26,477.579
2010/08/27,460.316
2010/08/28,470.036
2010/08/29,461.627
2010/08/30,487.824
2010/08/31,507.929
2010/09/01,576.377
2010/09/02,582.866
2010/09/03,587.463
2010/09/04,559.17
2010/09/05,578.091
2010/09/06,554.434
2010/09/07,481.707
2010/09/08,434.024
2010/09/09,449.274
2010/09/10,456.993
2010/09/11,470.748
2010/09/12,492.789
2010/09/13,531.497
2010/09/14,550.145
2010/09/15,579.697
2010/09/16,556.39
2010/09/17,580.009
2010/09/18,572.424
2010/09/19,545.176
2010/09/20,533.112
2010/09/21,669.848
2010/09/22,737.864
2010/09/23,778.158
2010/09/24,761.966
2010/09/25,808.345
2010/09/26,819.197
2010/09/27,857.094
2010/09/28,809.456
2010/09/29,946.074
2010/09/30,934.549
2010/10/01,1005
2010/10/02,1153
2010/10/03,1204
2010/10/04,1197
2010/10/05,1166
2010/10/06,952.96
2010/10/07,940.896
2010/10/08,906.511
2010/10/09,776.236
2010/10/10,732.255
2010/10/11,695.681
2010/10/12,652.492
2010/10/13,675.21
2010/10/14,660.968
2010/10/15,613.444
2010/10/16,565.453
2010/10/17,545.01
2010/10/18,556.167
2010/10/19,622.709
2010/10/20,622.56
2010/10/21,680.144
2010/10/22,784.537
2010/10/23,832.188
2010/10/24,875.141
2010/10/25,864.042
2010/10/26,788.512
2010/10/27,794.323
2010/10/28,759.504
2010/10/29,683.409
2010/10/30,622.444
2010/10/31,587.152
2010/11/01,576.335
2010/11/02,549.694
2010/11/03,494.282
2010/11/04,463.645
2010/11/05,460.189
2010/11/06,467.741
2010/11/07,465.893
2010/11/08,503.505
2010/11/09,517.388
2010/11/10,521.328
2010/11/11,520.848
2010/11/12,486.876
2010/11/13,475.028
