Date,sentinusd3varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,1357762
2010/07/20,560728
2010/07/21,741024
2010/07/22,33570
2010/07/23,342969
2010/07/24,429104
2010/07/25,405873
2010/07/26,972588
2010/07/27,1388439
2010/07/28,1404093
2010/07/29,1421420
2010/07/30,1656453
2010/07/31,16625
2010/08/01,52098052
2010/08/02,45115553
2010/08/03,39834399
2010/08/04,654123
2010/08/05,39934
2010/08/06,280987
2010/08/07,288123
2010/08/08,136041
2010/08/09,3680379
2010/08/10,3346454
2010/08/11,1246157
2010/08/12,957262
2010/08/13,956618
2010/08/14,332581
2010/08/15,323408
2010/08/16,2362732
2010/08/17,1836082
2010/08/18,524694
2010/08/19,685005
2010/08/20,242716
2010/08/21,231210
2010/08/22,245429
2010/08/23,380801
2010/08/24,8221
2010/08/25,18174
2010/08/26,36367
2010/08/27,170976
2010/08/28,166728
2010/08/29,284200
2010/08/30,46499
2010/08/31,710661
2010/09/01,424810
2010/09/02,80043
2010/09/03,27807
2010/09/04,23425
2010/09/05,9895029
2010/09/06,7432092
2010/09/07,9110359
2010/09/08,2875411
2010/09/09,216292
2010/09/10,281566
2010/09/11,402958
2010/09/12,42796
2010/09/13,9089493
2010/09/14,7467428
2010/09/15,5856808
2010/09/16,55164
2010/09/17,1108504
2010/09/18,1050526
2010/09/19,635899
2010/09/20,70231
2010/09/21,338741
2010/09/22,202562
2010/09/23,7181323
2010/09/24,8107183
2010/09/25,9015363
2010/09/26,76336
2010/09/27,80379
2010/09/28,2531268
2010/09/29,2603131
2010/09/30,1913094
2010/10/01,1821526
2010/10/02,83289237
2010/10/03,74638681
2010/10/04,146297079
2010/10/05,156525436
2010/10/06,134684941
2010/10/07,3598394
2010/10/08,3400089
2010/10/09,11063793
2010/10/10,5435241
2010/10/11,21366151
2010/10/12,6340583
2010/10/13,6451269
2010/10/14,20730289
2010/10/15,8447089
2010/10/16,4191894
2010/10/17,13110762
2010/10/18,23486392
2010/10/19,41081231
2010/10/20,6712828
2010/10/21,10156850
2010/10/22,7648776
2010/10/23,35363664
2010/10/24,15020233
2010/10/25,24448931
