Date,transactions3var
2010/07/17,46358
2010/07/18,41982
2010/07/19,2841
2010/07/20,4660
2010/07/21,4193
2010/07/22,6971
2010/07/23,306.889
2010/07/24,52491
2010/07/25,323949
2010/07/26,321062
2010/07/27,405216
2010/07/28,534105
2010/07/29,488264
2010/07/30,568240
2010/07/31,547840
2010/08/01,446
2010/08/02,682.889
2010/08/03,17645
2010/08/04,13606
2010/08/05,8467
2010/08/06,1965
2010/08/07,5345
2010/08/08,1635
2010/08/09,2300
2010/08/10,1204
2010/08/11,1239
2010/08/12,176.889
2010/08/13,3420
2010/08/14,4252
2010/08/15,6798
2010/08/16,7182
2010/08/17,6606
2010/08/18,2284
2010/08/19,660.222
2010/08/20,523.556
2010/08/21,640.222
2010/08/22,1080
2010/08/23,44.222
2010/08/24,18.667
2010/08/25,37.556
2010/08/26,38
2010/08/27,220.222
2010/08/28,384.667
2010/08/29,864.667
2010/08/30,1321
2010/08/31,4215
2010/09/01,992.667
2010/09/02,1443
2010/09/03,898.667
2010/09/04,1014
2010/09/05,748.222
2010/09/06,468.222
2010/09/07,139.556
2010/09/08,624.889
2010/09/09,824.222
2010/09/10,38
2010/09/11,379.556
2010/09/12,561.556
2010/09/13,2402
2010/09/14,696.222
2010/09/15,394.667
2010/09/16,374.222
2010/09/17,1976
2010/09/18,854
2010/09/19,42.889
2010/09/20,2635
2010/09/21,44100
2010/09/22,24096
2010/09/23,8055
2010/09/24,8785
2010/09/25,3758
2010/09/26,2854
2010/09/27,5705
2010/09/28,5347
2010/09/29,53669
2010/09/30,70788
2010/10/01,60016
2010/10/02,8721
2010/10/03,5865
2010/10/04,4770
2010/10/05,20.222
2010/10/06,54
2010/10/07,826.889
2010/10/08,522.889
2010/10/09,662.889
2010/10/10,566.222
2010/10/11,774.222
2010/10/12,38.222
2010/10/13,33.556
2010/10/14,220.222
2010/10/15,240.667
2010/10/16,176.222
2010/10/17,259.556
2010/10/18,4675
2010/10/19,40673
2010/10/20,19596
2010/10/21,16228
2010/10/22,1513
2010/10/23,2060
2010/10/24,2385
2010/10/25,4206
2010/10/26,3267
2010/10/27,3654
2010/10/28,1548
2010/10/29,2288
2010/10/30,1564
2010/10/31,2275
2010/11/01,470.222
2010/11/02,726.222
2010/11/03,732.667
2010/11/04,380.667
2010/11/05,1260
2010/11/06,1129
2010/11/07,392.667
2010/11/08,683.556
2010/11/09,392
2010/11/10,491.556
2010/11/11,64.889
2010/11/12,1082
2010/11/13,736.222
2010/11/14,384.222
2010/11/15,4562480
2010/11/16,12758755
2010/11/17,12676429
2010/11/18,15109227
2010/11/19,17273207
2010/11/20,15354289
2010/11/21,31033
2010/11/22,20406547
2010/11/23,20967203
2010/11/24,2829894
2010/11/25,3879602
2010/11/26,2401033
2010/11/27,3874724
2010/11/28,159284
