Date,activeaddresses90std
2010/07/17,1602
2010/07/18,1605
2010/07/19,1608
2010/07/20,1610
2010/07/21,1610
2010/07/22,1609
2010/07/23,1609
2010/07/24,1611
2010/07/25,1645
2010/07/26,1650
2010/07/27,1650
2010/07/28,1648
2010/07/29,1646
2010/07/30,1645
2010/07/31,1643
2010/08/01,1642
2010/08/02,1641
2010/08/03,1642
2010/08/04,1642
2010/08/05,1641
2010/08/06,1641
2010/08/07,1639
2010/08/08,1638
2010/08/09,1635
2010/08/10,1634
2010/08/11,1632
2010/08/12,1630
2010/08/13,1627
2010/08/14,1625
2010/08/15,1623
2010/08/16,1622
2010/08/17,1621
2010/08/18,1619
2010/08/19,1618
2010/08/20,1617
2010/08/21,1616
2010/08/22,1615
2010/08/23,1614
2010/08/24,1613
2010/08/25,1612
2010/08/26,1610
2010/08/27,1610
2010/08/28,1608
2010/08/29,1607
2010/08/30,1605
2010/08/31,1602
2010/09/01,1601
2010/09/02,1598
2010/09/03,1596
2010/09/04,1595
2010/09/05,1594
2010/09/06,1593
2010/09/07,1593
2010/09/08,1590
2010/09/09,1589
2010/09/10,1587
2010/09/11,1586
2010/09/12,1585
2010/09/13,1583
2010/09/14,1581
2010/09/15,1578
2010/09/16,1575
2010/09/17,1575
2010/09/18,1572
2010/09/19,1570
2010/09/20,1568
2010/09/21,1569
2010/09/22,1568
2010/09/23,1565
2010/09/24,1561
2010/09/25,1558
2010/09/26,1555
2010/09/27,1556
2010/09/28,1566
2010/09/29,1565
2010/09/30,1563
2010/10/01,1560
2010/10/02,1558
2010/10/03,1555
2010/10/04,1550
2010/10/05,1548
2010/10/06,1544
2010/10/07,1541
2010/10/08,1538
2010/10/09,1537
2010/10/10,1428
2010/10/11,1407
2010/10/12,622.769
2010/10/13,562.63
2010/10/14,523.413
2010/10/15,523.923
2010/10/16,524.204
2010/10/17,521.495
2010/10/18,522.23
2010/10/19,541.685
2010/10/20,549.519
2010/10/21,552.045
2010/10/22,552.196
2010/10/23,466.496
2010/10/24,454.256
2010/10/25,454.169
2010/10/26,455.19
2010/10/27,461.05
2010/10/28,463.643
2010/10/29,461.191
2010/10/30,460.842
2010/10/31,461.545
2010/11/01,459.515
2010/11/02,462.976
2010/11/03,463.604
2010/11/04,463.898
2010/11/05,462.396
2010/11/06,462.24
2010/11/07,462.161
2010/11/08,494.151
2010/11/09,494.439
2010/11/10,493.662
2010/11/11,493.882
2010/11/12,496.02
2010/11/13,492.833
2010/11/14,494.025
2010/11/15,910.934
2010/11/16,1060
2010/11/17,1058
2010/11/18,1058
2010/11/19,1057
2010/11/20,1056
2010/11/21,1056
2010/11/22,1056
2010/11/23,1054
2010/11/24,1054
2010/11/25,1052
2010/11/26,1053
2010/11/27,1049
2010/11/28,1047
2010/11/29,1047
2010/11/30,1046
2010/12/01,1045
2010/12/02,1043
2010/12/03,1039
2010/12/04,1037
2010/12/05,1035
2010/12/06,1031
2010/12/07,1031
2010/12/08,1028
2010/12/09,1025
2010/12/10,1022
2010/12/11,1023
2010/12/12,1024
2010/12/13,1036
2010/12/14,1036
2010/12/15,1035
2010/12/16,1035
2010/12/17,1033
2010/12/18,1032
2010/12/19,1031
2010/12/20,1036
2010/12/21,1036
2010/12/22,1037
2010/12/23,1037
2010/12/24,1037
2010/12/25,1036
2010/12/26,1033
2010/12/27,1021
2010/12/28,1020
2010/12/29,1018
2010/12/30,1019
2010/12/31,1018
2011/01/01,1017
2011/01/02,1017
2011/01/03,1021
2011/01/04,1020
2011/01/05,1025
2011/01/06,1026
2011/01/07,1026
2011/01/08,1029
2011/01/09,1030
2011/01/10,1032
2011/01/11,1038
2011/01/12,1037
2011/01/13,1043
2011/01/14,1050
2011/01/15,1051
2011/01/16,1056
2011/01/17,1055
2011/01/18,1058
2011/01/19,1063
2011/01/20,1066
2011/01/21,1082
2011/01/22,1107
2011/01/23,1119
2011/01/24,1135
2011/01/25,1138
2011/01/26,1142
2011/01/27,1146
2011/01/28,1147
2011/01/29,1157
2011/01/30,1228
2011/01/31,1237
2011/02/01,1239
2011/02/02,1233
2011/02/03,1230
2011/02/04,1224
2011/02/05,1220
2011/02/06,1218
2011/02/07,1212
2011/02/08,1206
2011/02/09,1209
2011/02/10,1286
2011/02/11,1422
2011/02/12,1475
2011/02/13,1389
2011/02/14,1445
2011/02/15,1498
2011/02/16,1524
2011/02/17,1574
2011/02/18,1630
2011/02/19,1647
2011/02/20,1672
2011/02/21,1700
2011/02/22,1756
2011/02/23,1808
2011/02/24,1855
2011/02/25,1881
2011/02/26,1910
2011/02/27,1942
2011/02/28,1949
2011/03/01,2070
2011/03/02,2096
2011/03/03,2179
2011/03/04,2183
2011/03/05,2194
2011/03/06,2196
2011/03/07,2208
2011/03/08,2228
2011/03/09,2230
2011/03/10,2215
2011/03/11,2212
2011/03/12,2215
2011/03/13,2218
2011/03/14,2212
2011/03/15,2211
2011/03/16,2204
2011/03/17,2192
2011/03/18,2178
2011/03/19,2170
2011/03/20,2208
2011/03/21,2244
2011/03/22,2250
2011/03/23,2416
2011/03/24,2424
2011/03/25,2428
2011/03/26,2452
2011/03/27,2474
2011/03/28,2514
2011/03/29,2522
2011/03/30,2505
2011/03/31,2490
2011/04/01,2466
2011/04/02,2439
2011/04/03,2425
2011/04/04,2422
2011/04/05,2422
2011/04/06,2401
2011/04/07,2375
2011/04/08,2356
2011/04/09,2334
2011/04/10,2311
2011/04/11,2298
2011/04/12,2279
2011/04/13,2282
2011/04/14,2332
2011/04/15,2309
2011/04/16,2324
2011/04/17,2298
2011/04/18,2309
2011/04/19,2360
2011/04/20,2359
2011/04/21,2341
2011/04/22,2330
2011/04/23,2325
2011/04/24,2316
2011/04/25,2293
2011/04/26,2314
2011/04/27,2410
2011/04/28,2428
2011/04/29,2480
2011/04/30,2637
2011/05/01,2720
2011/05/02,2720
2011/05/03,2702
2011/05/04,2682
2011/05/05,2698
2011/05/06,2699
2011/05/07,2708
2011/05/08,2674
2011/05/09,2688
2011/05/10,2704
2011/05/11,2753
2011/05/12,2811
2011/05/13,2982
2011/05/14,3107
2011/05/15,3198
2011/05/16,3512
2011/05/17,3688
2011/05/18,4044
2011/05/19,4292
2011/05/20,4479
2011/05/21,4609
2011/05/22,4735
2011/05/23,4930
2011/05/24,5177
2011/05/25,5496
2011/05/26,5777
2011/05/27,5853
2011/05/28,5957
2011/05/29,6024
2011/05/30,6183
2011/05/31,6380
2011/06/01,6576
2011/06/02,6818
2011/06/03,7192
2011/06/04,7640
2011/06/05,7948
2011/06/06,8443
2011/06/07,8758
2011/06/08,9657
2011/06/09,10370
2011/06/10,10869
2011/06/11,11297
2011/06/12,11896
2011/06/13,12377
2011/06/14,13071
2011/06/15,13566
2011/06/16,14097
2011/06/17,14438
2011/06/18,14781
2011/06/19,15184
2011/06/20,15462
2011/06/21,15726
2011/06/22,16011
2011/06/23,16179
2011/06/24,16375
2011/06/25,16472
2011/06/26,16596
2011/06/27,16950
2011/06/28,17097
2011/06/29,17181
2011/06/30,17207
2011/07/01,17457
2011/07/02,17780
2011/07/03,17768
2011/07/04,17770
2011/07/05,17743
2011/07/06,17791
2011/07/07,17728
2011/07/08,17691
2011/07/09,17599
2011/07/10,17667
2011/07/11,17642
2011/07/12,17553
2011/07/13,17585
2011/07/14,17600
2011/07/15,17524
2011/07/16,17399
2011/07/17,17310
2011/07/18,17308
2011/07/19,17196
2011/07/20,17047
2011/07/21,16881
2011/07/22,16707
