Date,confirmationtime3ema
2010/07/17,5.541
2010/07/18,6.957
2010/07/19,7.616
2010/07/20,7.786
2010/07/21,7.371
2010/07/22,7.777
2010/07/23,7.6
2010/07/24,7.609
2010/07/25,6.922
2010/07/26,6.424
2010/07/27,7.549
2010/07/28,8.303
2010/07/29,8.151
2010/07/30,8.032
2010/07/31,7.563
2010/08/01,6.794
2010/08/02,6.372
2010/08/03,6.358
2010/08/04,6.142
2010/08/05,6.374
2010/08/06,8.085
2010/08/07,8.688
2010/08/08,7.962
2010/08/09,7.77
2010/08/10,7.655
2010/08/11,6.918
2010/08/12,6.777
2010/08/13,6.737
2010/08/14,5.931
2010/08/15,6.444
2010/08/16,8.12
2010/08/17,9.641
2010/08/18,10.234
2010/08/19,10.45
2010/08/20,8.956
2010/08/21,8.64
2010/08/22,7.716
2010/08/23,7.238
2010/08/24,6.968
2010/08/25,6.817
2010/08/26,6.837
2010/08/27,7.629
2010/08/28,8.05
2010/08/29,8.469
2010/08/30,9.067
2010/08/31,8.446
2010/09/01,8.809
2010/09/02,9.02
2010/09/03,8.9
2010/09/04,8.428
2010/09/05,8.578
2010/09/06,8.846
2010/09/07,8.923
2010/09/08,8.825
2010/09/09,9.746
2010/09/10,8.941
2010/09/11,8.97
2010/09/12,8.553
2010/09/13,8.487
2010/09/14,7.79
2010/09/15,8.156
2010/09/16,7.365
2010/09/17,7.144
2010/09/18,6.61
2010/09/19,6.75
2010/09/20,6.922
2010/09/21,7.647
2010/09/22,7.961
2010/09/23,7.058
2010/09/24,6.687
2010/09/25,6.822
2010/09/26,6.923
2010/09/27,6.606
2010/09/28,6.699
2010/09/29,7.74
2010/09/30,8.801
2010/10/01,9.076
2010/10/02,11.738
2010/10/03,11.771
2010/10/04,10.591
2010/10/05,11.01
2010/10/06,9.715
2010/10/07,9.358
2010/10/08,9.354
2010/10/09,9.234
2010/10/10,8.662
2010/10/11,8.859
2010/10/12,9.075
2010/10/13,8.628
2010/10/14,7.826
2010/10/15,7.981
2010/10/16,6.781
2010/10/17,6.057
2010/10/18,5.92
2010/10/19,5.773
2010/10/20,5.614
2010/10/21,6.678
2010/10/22,8.014
2010/10/23,8.121
2010/10/24,7.573
2010/10/25,7.333
2010/10/26,6.654
2010/10/27,6.707
2010/10/28,6.641
2010/10/29,6.549
2010/10/30,6.132
2010/10/31,7.088
2010/11/01,7.612
2010/11/02,7.897
2010/11/03,7.738
2010/11/04,7.451
2010/11/05,7.013
2010/11/06,6.809
2010/11/07,6.392
2010/11/08,5.814
2010/11/09,6.225
2010/11/10,6.659
2010/11/11,6.617
2010/11/12,7.569
2010/11/13,7.013
2010/11/14,6.319
2010/11/15,6.76
2010/11/16,7.035
2010/11/17,6.432
2010/11/18,6.018
2010/11/19,7.809
2010/11/20,10.111
2010/11/21,10.199
2010/11/22,9.516
2010/11/23,9.901
2010/11/24,9.018
2010/11/25,8.487
2010/11/26,7.955
2010/11/27,7.977
2010/11/28,8.175
2010/11/29,7.532
2010/11/30,7.331
2010/12/01,7.495
2010/12/02,7.577
2010/12/03,7.598
2010/12/04,6.943
2010/12/05,6.484
2010/12/06,6.23
2010/12/07,6.127
2010/12/08,6.089
2010/12/09,6.273
2010/12/10,8.035
2010/12/11,8.132
2010/12/12,8.276
2010/12/13,9.245
2010/12/14,8.833
2010/12/15,8.09
2010/12/16,8.207
2010/12/17,8.441
2010/12/18,8.692
2010/12/19,8.259
2010/12/20,8.658
2010/12/21,8.021
2010/12/22,8.568
2010/12/23,9.249
2010/12/24,9.49
2010/12/25,9.03
2010/12/26,9.481
2010/12/27,9.078
2010/12/28,8.799
2010/12/29,8.763
2010/12/30,8.642
2010/12/31,8.765
2011/01/01,8.361
2011/01/02,8.295
2011/01/03,8.763
2011/01/04,9.488
2011/01/05,9.419
2011/01/06,9.816
2011/01/07,9.298
2011/01/08,8.884
2011/01/09,8.859
2011/01/10,8.874
2011/01/11,8.623
2011/01/12,8.623
2011/01/13,8.141
2011/01/14,8.049
2011/01/15,8.61
2011/01/16,8.443
2011/01/17,8.199
2011/01/18,9.206
2011/01/19,8.863
2011/01/20,8.303
2011/01/21,8.289
2011/01/22,8.508
2011/01/23,8.489
2011/01/24,8.075
2011/01/25,8.653
2011/01/26,8.326
2011/01/27,8.663
2011/01/28,8.889
2011/01/29,8.916
2011/01/30,9.074
2011/01/31,8.772
2011/02/01,8.776
2011/02/02,8.945
2011/02/03,8.973
2011/02/04,8.198
2011/02/05,8.121
2011/02/06,8.128
2011/02/07,7.611
2011/02/08,8.091
2011/02/09,7.796
2011/02/10,7.769
2011/02/11,7.755
2011/02/12,7.551
2011/02/13,7.412
2011/02/14,7.379
2011/02/15,6.89
2011/02/16,6.548
2011/02/17,6.391
2011/02/18,6.592
2011/02/19,7.768
2011/02/20,7.52
2011/02/21,7.472
2011/02/22,7.148
2011/02/23,6.537
2011/02/24,6.747
2011/02/25,6.573
2011/02/26,5.895
2011/02/27,5.899
2011/02/28,7.749
2011/03/01,9.413
2011/03/02,8.992
2011/03/03,8.367
2011/03/04,7.441
2011/03/05,6.32
2011/03/06,5.788
2011/03/07,6.306
2011/03/08,7.003
2011/03/09,8.002
2011/03/10,10.546
2011/03/11,10.812
2011/03/12,10.549
2011/03/13,11.428
2011/03/14,12.143
2011/03/15,12.5
2011/03/16,11.544
2011/03/17,10.878
2011/03/18,11.439
2011/03/19,11.98
2011/03/20,11.246
2011/03/21,10.488
2011/03/22,11.294
2011/03/23,10.233
2011/03/24,9.853
2011/03/25,9.089
2011/03/26,9.762
2011/03/27,9.916
2011/03/28,9.244
2011/03/29,9.039
2011/03/30,9.135
2011/03/31,8.15
2011/04/01,8.166
2011/04/02,8.083
2011/04/03,8.156
2011/04/04,8.123
2011/04/05,7.773
2011/04/06,8.751
2011/04/07,9.274
2011/04/08,8.974
2011/04/09,9.102
2011/04/10,8.713
2011/04/11,8.774
2011/04/12,8.804
2011/04/13,8.113
2011/04/14,8.557
2011/04/15,9.572
2011/04/16,8.948
2011/04/17,8.474
2011/04/18,9.102
2011/04/19,9.226
2011/04/20,9.613
2011/04/21,9.705
2011/04/22,8.943
2011/04/23,8.658
2011/04/24,8.773
2011/04/25,8.137
2011/04/26,7.761
2011/04/27,7.815
2011/04/28,8.298
2011/04/29,7.749
2011/04/30,7.684
2011/05/01,7.864
2011/05/02,7.587
2011/05/03,7.467
2011/05/04,7.388
2011/05/05,6.982
2011/05/06,6.794
2011/05/07,6.761
2011/05/08,6.668
2011/05/09,6.347
2011/05/10,7.108
2011/05/11,7.324
2011/05/12,7.922
2011/05/13,7.439
2011/05/14,6.695
2011/05/15,6.62
2011/05/16,6.225
2011/05/17,5.914
2011/05/18,5.457
2011/05/19,6.939
2011/05/20,6.742
2011/05/21,6.644
2011/05/22,6.179
2011/05/23,5.607
2011/05/24,5.212
2011/05/25,4.951
2011/05/26,4.908
2011/05/27,6.765
2011/05/28,8.028
2011/05/29,8.014
2011/05/30,8.682
2011/05/31,9.141
2011/06/01,8.4
2011/06/02,7.99
2011/06/03,7.559
2011/06/04,6.994
2011/06/05,6.958
2011/06/06,6.569
2011/06/07,7.52
2011/06/08,7.652
2011/06/09,7.069
2011/06/10,6.763
2011/06/11,6.239
2011/06/12,6.21
2011/06/13,6.277
2011/06/14,6.053
2011/06/15,5.607
2011/06/16,6.804
2011/06/17,7.273
2011/06/18,7.291
2011/06/19,6.874
2011/06/20,6.514
2011/06/21,6.103
2011/06/22,5.821
2011/06/23,5.91
2011/06/24,6.289
2011/06/25,8.179
2011/06/26,8.922
2011/06/27,8.721
2011/06/28,8.861
2011/06/29,8.616
2011/06/30,8.078
2011/07/01,8.201
2011/07/02,8.361
2011/07/03,8.544
2011/07/04,8.507
2011/07/05,9.434
2011/07/06,9.303
2011/07/07,10.148
2011/07/08,9.437
2011/07/09,9.551
2011/07/10,10.031
2011/07/11,9.601
2011/07/12,9.907
2011/07/13,8.723
2011/07/14,9.362
2011/07/15,9.125
2011/07/16,9.149
2011/07/17,8.81
2011/07/18,8.64
2011/07/19,9.39
2011/07/20,9.527
2011/07/21,9.501
2011/07/22,9.518
2011/07/23,9.691
2011/07/24,9.183
2011/07/25,8.955
2011/07/26,8.568
2011/07/27,8.422
2011/07/28,8.856
2011/07/29,8.818
2011/07/30,9.146
2011/07/31,8.687
2011/08/01,8.707
2011/08/02,9.029
2011/08/03,9.1
2011/08/04,10.132
2011/08/05,10.209
2011/08/06,11.006
2011/08/07,11.217
2011/08/08,10.903
2011/08/09,10.383
2011/08/10,9.928
2011/08/11,10.22
2011/08/12,10.606
2011/08/13,10.841
2011/08/14,10.875
2011/08/15,11.019
2011/08/16,10.407
2011/08/17,10.498
2011/08/18,10.249
2011/08/19,10.621
2011/08/20,10.047
2011/08/21,9.524
2011/08/22,9.022
2011/08/23,9.156
2011/08/24,9.951
2011/08/25,10.309
2011/08/26,10.052
2011/08/27,10.928
2011/08/28,11.671
2011/08/29,11.053
2011/08/30,10.458
2011/08/31,9.874
