Date,mining_profitability7sma
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,369222
2010/07/24,394265
2010/07/25,382694
2010/07/26,355288
2010/07/27,321939
2010/07/28,290737
2010/07/29,282700
2010/07/30,276371
2010/07/31,271804
2010/08/01,264982
2010/08/02,259102
2010/08/03,264251
2010/08/04,267387
2010/08/05,257132
2010/08/06,238190
2010/08/07,221106
2010/08/08,209336
2010/08/09,199785
2010/08/10,194619
2010/08/11,184977
2010/08/12,183013
2010/08/13,188285
2010/08/14,194523
2010/08/15,184165
2010/08/16,176368
2010/08/17,165645
2010/08/18,157237
2010/08/19,148468
2010/08/20,144894
2010/08/21,130735
2010/08/22,133805
2010/08/23,134063
2010/08/24,134843
2010/08/25,133073
2010/08/26,132009
2010/08/27,123402
2010/08/28,120043
2010/08/29,114866
2010/08/30,111110
2010/08/31,108104
2010/09/01,103253
2010/09/02,99797
2010/09/03,100719
2010/09/04,101455
2010/09/05,100341
2010/09/06,99456
2010/09/07,98733
2010/09/08,98828
2010/09/09,95421
2010/09/10,94741
2010/09/11,91879
2010/09/12,90940
2010/09/13,89340
2010/09/14,88379
2010/09/15,86695
2010/09/16,89913
2010/09/17,87647
2010/09/18,88436
2010/09/19,84998
2010/09/20,82327
2010/09/21,77580
2010/09/22,75966
2010/09/23,73288
2010/09/24,71261
2010/09/25,67538
2010/09/26,68108
2010/09/27,68667
2010/09/28,68414
2010/09/29,64295
2010/09/30,59594
2010/10/01,56733
2010/10/02,52976
2010/10/03,50479
2010/10/04,47756
2010/10/05,45241
2010/10/06,47332
2010/10/07,47375
2010/10/08,48821
2010/10/09,53234
2010/10/10,56869
2010/10/11,59058
2010/10/12,62489
2010/10/13,65501
2010/10/14,70550
2010/10/15,72320
2010/10/16,75106
2010/10/17,74369
2010/10/18,75071
2010/10/19,76500
2010/10/20,76392
2010/10/21,70365
2010/10/22,67235
2010/10/23,62033
2010/10/24,60270
2010/10/25,57223
2010/10/26,56245
2010/10/27,55923
2010/10/28,62522
2010/10/29,67877
2010/10/30,74088
2010/10/31,73043
