Date,confirmationtime90rsi
2010/07/17,49.356
2010/07/18,49.372
2010/07/19,49.341
2010/07/20,49.234
2010/07/21,48.901
2010/07/22,49.326
2010/07/23,49.071
2010/07/24,49.14
2010/07/25,48.669
2010/07/26,48.565
2010/07/27,49.542
2010/07/28,49.677
2010/07/29,49.309
2010/07/30,49.279
2010/07/31,48.992
2010/08/01,48.618
2010/08/02,48.592
2010/08/03,48.739
2010/08/04,48.59
2010/08/05,48.848
2010/08/06,50.037
2010/08/07,49.851
2010/08/08,49.102
2010/08/09,49.231
2010/08/10,49.216
2010/08/11,48.717
2010/08/12,48.893
2010/08/13,48.917
2010/08/14,48.333
2010/08/15,49.049
2010/08/16,50.134
2010/08/17,50.645
2010/08/18,50.517
2010/08/19,50.455
2010/08/20,49.235
2010/08/21,49.567
2010/08/22,48.992
2010/08/23,48.98
2010/08/24,48.956
2010/08/25,48.944
2010/08/26,49.021
2010/08/27,49.65
2010/08/28,49.67
2010/08/29,49.839
2010/08/30,50.153
2010/08/31,49.411
2010/09/01,49.96
2010/09/02,49.983
2010/09/03,49.799
2010/09/04,49.461
2010/09/05,49.783
2010/09/06,49.945
2010/09/07,49.897
2010/09/08,49.782
2010/09/09,50.605
2010/09/10,49.533
2010/09/11,49.9
2010/09/12,49.536
2010/09/13,49.659
2010/09/14,49.098
2010/09/15,49.715
2010/09/16,48.898
2010/09/17,49.049
2010/09/18,48.694
2010/09/19,49.052
2010/09/20,49.142
2010/09/21,49.706
2010/09/22,49.664
2010/09/23,48.748
2010/09/24,48.821
2010/09/25,49.11
2010/09/26,49.141
2010/09/27,48.817
2010/09/28,49.05
2010/09/29,49.958
2010/09/30,50.444
2010/10/01,50.21
2010/10/02,52.406
2010/10/03,51.231
2010/10/04,50.183
2010/10/05,51.037
2010/10/06,49.751
2010/10/07,49.996
2010/10/08,50.145
2010/10/09,50.044
2010/10/10,49.603
2010/10/11,50.023
2010/10/12,50.125
2010/10/13,49.64
2010/10/14,49.139
2010/10/15,49.633
2010/10/16,48.538
2010/10/17,48.433
2010/10/18,48.637
2010/10/19,48.568
2010/10/20,48.494
2010/10/21,49.539
2010/10/22,50.257
2010/10/23,49.758
2010/10/24,49.227
2010/10/25,49.259
2010/10/26,48.765
2010/10/27,49.127
2010/10/28,49.044
2010/10/29,48.991
2010/10/30,48.656
2010/10/31,49.747
2010/11/01,49.789
2010/11/02,49.811
2010/11/03,49.529
2010/11/04,49.336
2010/11/05,49.06
2010/11/06,49.075
2010/11/07,48.777
2010/11/08,48.428
2010/11/09,49.125
2010/11/10,49.351
2010/11/11,49.101
2010/11/12,50.061
2010/11/13,49.068
2010/11/14,48.674
2010/11/15,49.451
2010/11/16,49.505
2010/11/17,48.796
2010/11/18,48.688
2010/11/19,50.635
2010/11/20,51.934
2010/11/21,50.91
2010/11/22,50.227
2010/11/23,50.893
2010/11/24,49.892
2010/11/25,49.809
2010/11/26,49.563
2010/11/27,49.835
2010/11/28,50.011
2010/11/29,49.315
2010/11/30,49.429
2010/12/01,49.685
2010/12/02,49.685
2010/12/03,49.666
2010/12/04,49.023
2010/12/05,48.896
2010/12/06,48.872
2010/12/07,48.898
2010/12/08,48.911
2010/12/09,49.123
2010/12/10,50.817
2010/12/11,50.026
2010/12/12,50.122
2010/12/13,51.012
2010/12/14,50.108
2010/12/15,49.576
2010/12/16,50.064
2010/12/17,50.239
2010/12/18,50.374
