Date,size3mom
2011/03/21,4535
2011/03/22,-2057
2011/03/23,-1020
2011/03/24,-5563
2011/03/25,-1709
2011/03/26,-1056
2011/03/27,1479
2011/03/28,2059
2011/03/29,-2491
2011/03/30,-2537
2011/03/31,-2442
2011/04/01,-2146
2011/04/02,-578.485
2011/04/03,-400.205
2011/04/04,1123
2011/04/05,377.839
2011/04/06,970.227
2011/04/07,-533.195
2011/04/08,222.584
2011/04/09,-486.999
2011/04/10,-234.407
2011/04/11,612.166
2011/04/12,1598
2011/04/13,969.021
2011/04/14,1553
2011/04/15,1484
2011/04/16,1328
2011/04/17,-1700
2011/04/18,316.408
2011/04/19,2075
2011/04/20,4491
2011/04/21,-2755
2011/04/22,-3816
2011/04/23,-3608
2011/04/24,1137
2011/04/25,1577
2011/04/26,1024
2011/04/27,4854
2011/04/28,1537
2011/04/29,233.612
2011/04/30,-1059
2011/05/01,1854
2011/05/02,-952.616
2011/05/03,-3478
2011/05/04,-3422
2011/05/05,857.836
2011/05/06,30.075
2011/05/07,424.041
2011/05/08,-1282
2011/05/09,20.36
2011/05/10,1593
2011/05/11,1751
2011/05/12,2258
2011/05/13,1426
2011/05/14,561.158
2011/05/15,-668.826
2011/05/16,-1390
2011/05/17,-273.291
2011/05/18,431.421
2011/05/19,3544
2011/05/20,2051
2011/05/21,817.575
2011/05/22,-3401
2011/05/23,-1286
2011/05/24,-1336
2011/05/25,389.159
2011/05/26,1455
2011/05/27,3642
2011/05/28,4212
2011/05/29,1069
2011/05/30,3037
2011/05/31,4391
2011/06/01,3875
2011/06/02,1767
2011/06/03,2901
2011/06/04,2179
2011/06/05,-340.339
2011/06/06,-1754
2011/06/07,4348
2011/06/08,14895
2011/06/09,5241
2011/06/10,38.129
2011/06/11,-13159
2011/06/12,-829.265
2011/06/13,579.739
2011/06/14,5100
2011/06/15,-3288
2011/06/16,8456
2011/06/17,3828
2011/06/18,4863
2011/06/19,-8056
2011/06/20,-7940
2011/06/21,-8443
2011/06/22,-5355
2011/06/23,-1639
2011/06/24,4075
2011/06/25,11260
2011/06/26,11987
2011/06/27,12500
2011/06/28,-9.541
2011/06/29,-4740
2011/06/30,-11267
2011/07/01,-1533
2011/07/02,-2191
2011/07/03,-442.43
2011/07/04,-2642
2011/07/05,6981
2011/07/06,9457
2011/07/07,5313
2011/07/08,-6938
2011/07/09,-7348
2011/07/10,-492.501
2011/07/11,5270
2011/07/12,1909
2011/07/13,-8842
2011/07/14,-890.467
2011/07/15,-4355
2011/07/16,3776
2011/07/17,-4791
2011/07/18,6627
2011/07/19,5699
2011/07/20,4371
2011/07/21,-2706
2011/07/22,-3970
2011/07/23,-3463
2011/07/24,-2628
2011/07/25,944.9
2011/07/26,-924.563
2011/07/27,-767.68
2011/07/28,-2234
2011/07/29,-2794
2011/07/30,-3778
2011/07/31,-4318
2011/08/01,3832
2011/08/02,7993
2011/08/03,2449
2011/08/04,4529
2011/08/05,-2832
2011/08/06,3893
2011/08/07,-4676
2011/08/08,4918
2011/08/09,2115
2011/08/10,624.7
2011/08/11,-4571
2011/08/12,-5862
2011/08/13,1079
2011/08/14,3384
2011/08/15,7429
2011/08/16,3510
2011/08/17,-421.044
2011/08/18,-7763
2011/08/19,-591.581
2011/08/20,-5084
2011/08/21,-1685
2011/08/22,-6192
2011/08/23,138.752
2011/08/24,3323
2011/08/25,2648
2011/08/26,2320
2011/08/27,1327
2011/08/28,-2269
2011/08/29,1877
2011/08/30,-3163
2011/08/31,-2148
2011/09/01,-1037
2011/09/02,-3407
2011/09/03,-1962
2011/09/04,16355
2011/09/05,1456
2011/09/06,6048
2011/09/07,-17843
2011/09/08,2092
2011/09/09,2287
2011/09/10,-488.809
2011/09/11,1530
2011/09/12,-2229
2011/09/13,-2823
2011/09/14,-5447
2011/09/15,-4990
2011/09/16,3127
2011/09/17,-891.004
2011/09/18,-2510
2011/09/19,2142
2011/09/20,11005
2011/09/21,9910
2011/09/22,-6280
2011/09/23,-8002
2011/09/24,-4804
2011/09/25,1063
2011/09/26,-2089
2011/09/27,-938.908
2011/09/28,-2222
2011/09/29,32.166
2011/09/30,-96.871
2011/10/01,-650.268
2011/10/02,-747.691
2011/10/03,-1756
2011/10/04,6460
2011/10/05,-369.469
2011/10/06,2270
2011/10/07,-4751
2011/10/08,2243
2011/10/09,-2106
2011/10/10,1801
2011/10/11,9835
2011/10/12,3341
2011/10/13,2249
2011/10/14,-10083
2011/10/15,-4145
2011/10/16,-3871
2011/10/17,3842
2011/10/18,336.592
2011/10/19,-1539
2011/10/20,-6491
2011/10/21,-1527
2011/10/22,5513
2011/10/23,4736
2011/10/24,3059
2011/10/25,-5080
2011/10/26,-2032
2011/10/27,-39.869
2011/10/28,4416
2011/10/29,2711
2011/10/30,-721.864
2011/10/31,-5493
2011/11/01,-6281
2011/11/02,-3243
2011/11/03,3500
2011/11/04,3514
2011/11/05,1860
2011/11/06,-6089
2011/11/07,-892.438
2011/11/08,888.159
2011/11/09,3656
2011/11/10,1772
2011/11/11,916.975
2011/11/12,-1611
2011/11/13,-5045
2011/11/14,-531.152
2011/11/15,1039
2011/11/16,4633
2011/11/17,-2217
2011/11/18,240.689
2011/11/19,-2658
2011/11/20,704.99
2011/11/21,-65.547
2011/11/22,102.355
2011/11/23,59.428
2011/11/24,3562
2011/11/25,41.626
2011/11/26,376.545
2011/11/27,-2052
2011/11/28,3239
2011/11/29,4464
2011/11/30,2332
2011/12/01,-3846
2011/12/02,-3246
2011/12/03,-4045
2011/12/04,592.448
2011/12/05,-2036
2011/12/06,3454
2011/12/07,2592
2011/12/08,351.289
2011/12/09,-3731
2011/12/10,-2985
2011/12/11,708.229
2011/12/12,2901
2011/12/13,2162
2011/12/14,-1888
2011/12/15,-1741
2011/12/16,1223
2011/12/17,-1146
2011/12/18,-3773
2011/12/19,-2559
2011/12/20,10441
2011/12/21,2855
2011/12/22,7.329
2011/12/23,-8332
2011/12/24,-2963
2011/12/25,-4429
2011/12/26,-2900
2011/12/27,2771
2011/12/28,1467
2011/12/29,3063
2011/12/30,-1176
2011/12/31,1885
2012/01/01,268.556
2012/01/02,4164
2012/01/03,1969
2012/01/04,2278
2012/01/05,5557
2012/01/06,3541
2012/01/07,-2650
2012/01/08,-4256
2012/01/09,-1361
2012/01/10,12970
2012/01/11,7095
2012/01/12,-187.862
2012/01/13,-7910
2012/01/14,-7545
2012/01/15,680.161
2012/01/16,-2056
2012/01/17,-395.379
2012/01/18,3932
2012/01/19,1538
2012/01/20,1299
2012/01/21,-6500
2012/01/22,-4619
2012/01/23,-5646
2012/01/24,5783
2012/01/25,8419
2012/01/26,6866
2012/01/27,-2716
2012/01/28,-5903
2012/01/29,-4108
2012/01/30,-5590
2012/01/31,2787
2012/02/01,2876
2012/02/02,5908
2012/02/03,-1156
2012/02/04,241.476
2012/02/05,-428.919
2012/02/06,-2021
2012/02/07,1037
2012/02/08,-130.661
2012/02/09,4471
2012/02/10,5391
2012/02/11,2023
2012/02/12,-3602
2012/02/13,-1137
2012/02/14,8727
2012/02/15,10420
2012/02/16,6157
2012/02/17,-13084
2012/02/18,-13704
2012/02/19,-16052
2012/02/20,306.24
2012/02/21,6627
2012/02/22,3083
2012/02/23,3457
2012/02/24,-693.905
2012/02/25,-1418
2012/02/26,-4555
2012/02/27,-2700
2012/02/28,1176
2012/02/29,-971.525
2012/03/01,3119
2012/03/02,8695
2012/03/03,3199
2012/03/04,-1157
2012/03/05,-3644
2012/03/06,3145
2012/03/07,-2298
2012/03/08,-4445
2012/03/09,-4676
2012/03/10,-900.468
2012/03/11,-540.738
2012/03/12,-809.986
2012/03/13,6471
2012/03/14,6719
2012/03/15,7182
2012/03/16,-4593
2012/03/17,-7985
2012/03/18,-8708
2012/03/19,931.436
2012/03/20,879.008
2012/03/21,3249
2012/03/22,-1903
2012/03/23,2395
2012/03/24,-4816
2012/03/25,-1175
2012/03/26,-314.643
2012/03/27,4729
2012/03/28,4220
2012/03/29,2748
2012/03/30,837.547
2012/03/31,-6109
2012/04/01,-5320
2012/04/02,6082
2012/04/03,11105
2012/04/04,4956
2012/04/05,3464
2012/04/06,-1852
2012/04/07,-2329
2012/04/08,-11995
2012/04/09,-5234
2012/04/10,4184
2012/04/11,8397
2012/04/12,9293
2012/04/13,970.67
2012/04/14,-955.222
2012/04/15,130.423
2012/04/16,1118
2012/04/17,3668
2012/04/18,3368
2012/04/19,-3787
2012/04/20,-806.969
2012/04/21,-10783
2012/04/22,-2457
2012/04/23,-3351
2012/04/24,2836
2012/04/25,6167
2012/04/26,2528
2012/04/27,0.989
2012/04/28,-5417
2012/04/29,-8444
2012/04/30,-1643
2012/05/01,6242
2012/05/02,12574
2012/05/03,15555
2012/05/04,10922
2012/05/05,2612
2012/05/06,-4245
2012/05/07,8557
2012/05/08,10071
2012/05/09,13109
2012/05/10,-5881
2012/05/11,15398
2012/05/12,14032
2012/05/13,4182
2012/05/14,29954
2012/05/15,15494
2012/05/16,24752
2012/05/17,-21620
2012/05/18,-1665
2012/05/19,33905
2012/05/20,31399
2012/05/21,34622
2012/05/22,-13887
2012/05/23,-5476
2012/05/24,-15758
2012/05/25,13678
2012/05/26,-22847
2012/05/27,-21744
2012/05/28,-11049
2012/05/29,34532
2012/05/30,15340
2012/05/31,-24446
2012/06/01,-26009
2012/06/02,-51908
2012/06/03,27055
2012/06/04,50701
2012/06/05,91929
2012/06/06,-48121
2012/06/07,-25733
2012/06/08,-49771
2012/06/09,37140
2012/06/10,-1805
2012/06/11,22285
2012/06/12,-26096
2012/06/13,58421
2012/06/14,78729
2012/06/15,95372
2012/06/16,-35794
2012/06/17,-65314
2012/06/18,-54413
2012/06/19,-12458
2012/06/20,-8825
2012/06/21,-7154
2012/06/22,-32207
2012/06/23,-41041
2012/06/24,-14369
2012/06/25,2438
2012/06/26,24331
2012/06/27,4491
2012/06/28,2355
2012/06/29,-22912
2012/06/30,-10667
2012/07/01,-28786
2012/07/02,2968
2012/07/03,-11685
2012/07/04,10916
2012/07/05,-794.35
2012/07/06,7701
2012/07/07,-3554
2012/07/08,-8549
2012/07/09,-956.075
2012/07/10,37702
2012/07/11,43970
2012/07/12,4134
2012/07/13,-30947
2012/07/14,-41709
2012/07/15,10414
2012/07/16,23593
2012/07/17,29838
2012/07/18,15788
2012/07/19,12908
2012/07/20,19837
2012/07/21,7908
2012/07/22,-15495
2012/07/23,-13466
2012/07/24,-28835
2012/07/25,-20120
2012/07/26,-18655
2012/07/27,-13696
2012/07/28,22500
2012/07/29,9332
2012/07/30,26637
2012/07/31,43198
2012/08/01,10555
2012/08/02,-2437
2012/08/03,-64374
2012/08/04,-17396
2012/08/05,11277
2012/08/06,29259
2012/08/07,-10331
2012/08/08,974.366
2012/08/09,-25261
2012/08/10,2553
2012/08/11,-21360
2012/08/12,11470
2012/08/13,53765
2012/08/14,16913
2012/08/15,55639
2012/08/16,342.017
2012/08/17,31178
2012/08/18,-43436
2012/08/19,-27722
2012/08/20,-34418
2012/08/21,-1661
2012/08/22,195.647
2012/08/23,-14581
2012/08/24,-11386
2012/08/25,-1511
2012/08/26,-8793
2012/08/27,7518
2012/08/28,-15253
2012/08/29,13521
2012/08/30,-3634
2012/08/31,34797
2012/09/01,22274
2012/09/02,-4929
2012/09/03,-14650
2012/09/04,11996
2012/09/05,12636
2012/09/06,433.213
2012/09/07,-32654
2012/09/08,-7063
2012/09/09,-23003
2012/09/10,11761
2012/09/11,19239
2012/09/12,-3050
2012/09/13,4886
2012/09/14,-11482
2012/09/15,3253
2012/09/16,-18857
2012/09/17,-35319
2012/09/18,4029
2012/09/19,18416
2012/09/20,20510
2012/09/21,-3960
2012/09/22,-27151
2012/09/23,-4255
2012/09/24,4253
2012/09/25,-1529
2012/09/26,22395
2012/09/27,-7994
2012/09/28,22352
2012/09/29,-35706
2012/09/30,-14127
2012/10/01,1789
2012/10/02,36889
2012/10/03,38393
2012/10/04,24577
2012/10/05,12700
2012/10/06,-2320
2012/10/07,10480
2012/10/08,-20101
2012/10/09,15454
2012/10/10,-34759
2012/10/11,-5765
2012/10/12,-25376
2012/10/13,7517
2012/10/14,10998
2012/10/15,-3471
2012/10/16,1709
2012/10/17,9543
2012/10/18,5887
2012/10/19,-10722
2012/10/20,-19038
2012/10/21,22715
2012/10/22,26141
2012/10/23,28545
2012/10/24,-19981
2012/10/25,-27281
2012/10/26,-55549
2012/10/27,-48661
2012/10/28,-39848
2012/10/29,6642
2012/10/30,50889
2012/10/31,39524
2012/11/01,8566
2012/11/02,-4384
2012/11/03,-17420
2012/11/04,-6957
2012/11/05,3835
2012/11/06,33820
2012/11/07,32394
2012/11/08,2356
2012/11/09,-31555
2012/11/10,-17576
2012/11/11,-27582
2012/11/12,6261
2012/11/13,-1390
2012/11/14,21925
2012/11/15,37016
2012/11/16,36330
2012/11/17,25907
2012/11/18,-14631
2012/11/19,-9811
2012/11/20,-6696
2012/11/21,15721
2012/11/22,-14370
2012/11/23,-12285
2012/11/24,-31208
2012/11/25,18830
2012/11/26,7759
2012/11/27,-1320
2012/11/28,-18861
2012/11/29,-3085
2012/11/30,17508
2012/12/01,-7798
