Date,transactionvalue14momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0.551
2010/08/01,39.064
2010/08/02,2.116
2010/08/03,-0.192
2010/08/04,-0.013
2010/08/05,-1.756
2010/08/06,0.38
2010/08/07,2.704
2010/08/08,0.217
2010/08/09,2.166
2010/08/10,2.531
2010/08/11,6.401
2010/08/12,2.102
2010/08/13,0.341
2010/08/14,-1.002
2010/08/15,-41.749
2010/08/16,0.044
2010/08/17,6.903
2010/08/18,2.272
2010/08/19,-0.493
2010/08/20,1.405
2010/08/21,1.913
2010/08/22,2.069
2010/08/23,-8.881
2010/08/24,-3.259
2010/08/25,-5.6
2010/08/26,-0.271
2010/08/27,1.845
2010/08/28,0.693
2010/08/29,-1.423
2010/08/30,-7.101
2010/08/31,-5.002
2010/09/01,-2.116
2010/09/02,2.506
2010/09/03,1.08
2010/09/04,-0.685
2010/09/05,23.711
2010/09/06,13.748
2010/09/07,0.35
2010/09/08,0.342
2010/09/09,3.951
2010/09/10,-3.878
2010/09/11,-1.063
2010/09/12,0.898
2010/09/13,13.961
2010/09/14,-1.221
2010/09/15,0.978
2010/09/16,-1.843
2010/09/17,6.801
2010/09/18,-0.214
2010/09/19,-18.463
2010/09/20,-11.352
2010/09/21,-1.814
2010/09/22,0.932
2010/09/23,5.579
2010/09/24,-0.018
2010/09/25,1.393
2010/09/26,0.459
2010/09/27,-13.247
2010/09/28,5.872
2010/09/29,0.271
2010/09/30,2.161
2010/10/01,-6.323
2010/10/02,38.211
2010/10/03,3.407
2010/10/04,78.119
2010/10/05,29.91
2010/10/06,14.422
2010/10/07,12.365
2010/10/08,30.054
2010/10/09,37.433
2010/10/10,27.431
2010/10/11,11.479
2010/10/12,10.647
2010/10/13,24.943
2010/10/14,43.004
2010/10/15,39.59
2010/10/16,0.396
2010/10/17,11.906
2010/10/18,-45.081
2010/10/19,-3.744
2010/10/20,9.308
2010/10/21,10.072
