Date,size3var
2010/07/17,11337
2010/07/18,9163
2010/07/19,2753
2010/07/20,11169
2010/07/21,32606
2010/07/22,48997
2010/07/23,1516
2010/07/24,212025
2010/07/25,1240027
2010/07/26,902355
2010/07/27,1232403
2010/07/28,1448682
2010/07/29,1211776
2010/07/30,1352666
2010/07/31,811245
2010/08/01,6514
2010/08/02,292.675
2010/08/03,33837
2010/08/04,29514
2010/08/05,35112
2010/08/06,32626
2010/08/07,13888
2010/08/08,8659
2010/08/09,215103
2010/08/10,250945
2010/08/11,258232
2010/08/12,230.158
2010/08/13,28871
2010/08/14,29189
2010/08/15,34971
2010/08/16,81778
2010/08/17,70124
2010/08/18,313578
2010/08/19,409005
2010/08/20,433051
2010/08/21,1228
2010/08/22,2539
2010/08/23,816.216
2010/08/24,28171
2010/08/25,33706
2010/08/26,30382
2010/08/27,3649
2010/08/28,3026
2010/08/29,6539
2010/08/30,12011
2010/08/31,52986
2010/09/01,16645
2010/09/02,25000
2010/09/03,26934
2010/09/04,6572
2010/09/05,3308
2010/09/06,3291
2010/09/07,1024
2010/09/08,1458
2010/09/09,10370
2010/09/10,5251
2010/09/11,7816
2010/09/12,6709
2010/09/13,13030
2010/09/14,5348
2010/09/15,6737
2010/09/16,8618
2010/09/17,8778
2010/09/18,12827
2010/09/19,13925
2010/09/20,10459
2010/09/21,207996
2010/09/22,127344
2010/09/23,87380
2010/09/24,68272
2010/09/25,8743
2010/09/26,7154
2010/09/27,23074
2010/09/28,68136
2010/09/29,285576
2010/09/30,363434
2010/10/01,379695
2010/10/02,195828
2010/10/03,145103
2010/10/04,176656
2010/10/05,1380
2010/10/06,14770
2010/10/07,21856
2010/10/08,7088
2010/10/09,10656
2010/10/10,14618
2010/10/11,15289
2010/10/12,788.511
2010/10/13,8492
2010/10/14,15183
2010/10/15,22903
2010/10/16,306.729
2010/10/17,1109
2010/10/18,10577
2010/10/19,78250
2010/10/20,32252
2010/10/21,15034
2010/10/22,27802
2010/10/23,24315
2010/10/24,40849
2010/10/25,10065
2010/10/26,4541
2010/10/27,15437
2010/10/28,12906
2010/10/29,7227
2010/10/30,14249
2010/10/31,11602
2010/11/01,1890
2010/11/02,3049
2010/11/03,2909
2010/11/04,1045
2010/11/05,7869
2010/11/06,7598
2010/11/07,6979
2010/11/08,22210
2010/11/09,21027
2010/11/10,19575
2010/11/11,312.155
2010/11/12,1099
2010/11/13,719.724
2010/11/14,2494
2010/11/15,15249581
2010/11/16,20040491
2010/11/17,20272736
2010/11/18,22408153
2010/11/19,41476474
2010/11/20,56312460
2010/11/21,3362678
2010/11/22,66236530
2010/11/23,55086028
2010/11/24,5144494
2010/11/25,12831676
2010/11/26,9647082
2010/11/27,15126901
2010/11/28,311394
2010/11/29,475.781
2010/11/30,836.573
2010/12/01,9305
2010/12/02,9176
2010/12/03,7092
2010/12/04,2785
2010/12/05,6446
2010/12/06,1581
2010/12/07,14709
2010/12/08,10428
2010/12/09,3109
2010/12/10,1128
2010/12/11,18557
2010/12/12,21941
2010/12/13,124772
2010/12/14,111873
2010/12/15,136366
2010/12/16,4084
2010/12/17,1760
2010/12/18,2608
2010/12/19,4615
2010/12/20,124790
2010/12/21,112268
2010/12/22,96695
2010/12/23,14812
2010/12/24,8601
2010/12/25,3206
2010/12/26,4837
2010/12/27,4004
2010/12/28,302.696
2010/12/29,3729
2010/12/30,2979
2010/12/31,1821
2011/01/01,4304
2011/01/02,4205
2011/01/03,446549
