Date,mediantransactionvalue90stdUSD
2011/05/18,54.837
2011/05/19,55.477
2011/05/20,60.654
2011/05/21,68.658
2011/05/22,71.412
2011/05/23,72.786
2011/05/24,76.172
2011/05/25,79.145
2011/05/26,82.425
2011/05/27,85.424
2011/05/28,88.409
2011/05/29,91.42
2011/05/30,94.51
2011/05/31,96.469
2011/06/01,99.308
2011/06/02,101.532
2011/06/03,107.674
2011/06/04,119.634
2011/06/05,137.56
2011/06/06,147.527
2011/06/07,165.485
2011/06/08,183.275
2011/06/09,207.282
2011/06/10,227.18
2011/06/11,250.051
2011/06/12,256.227
2011/06/13,266.2
2011/06/14,280.285
2011/06/15,287.876
2011/06/16,299.025
2011/06/17,301.165
2011/06/18,300.754
2011/06/19,303.214
2011/06/20,306.379
2011/06/21,306.865
2011/06/22,308.627
2011/06/23,309.162
2011/06/24,311.363
2011/06/25,310.619
2011/06/26,309.979
2011/06/27,308.603
2011/06/28,307.589
2011/06/29,307.243
2011/06/30,306.72
2011/07/01,305.241
2011/07/02,304.896
2011/07/03,303.677
2011/07/04,302.371
2011/07/05,300.796
2011/07/06,299.023
2011/07/07,297.269
2011/07/08,295.436
2011/07/09,293.461
2011/07/10,291.477
2011/07/11,289.592
2011/07/12,287.504
2011/07/13,285.257
2011/07/14,283.254
2011/07/15,281.445
2011/07/16,279.205
2011/07/17,276.572
2011/07/18,274.678
2011/07/19,272.481
2011/07/20,270.056
2011/07/21,267.517
2011/07/22,265.117
2011/07/23,262.322
2011/07/24,259.732
2011/07/25,257.497
2011/07/26,255.015
2011/07/27,252.66
2011/07/28,251.853
2011/07/29,249.142
2011/07/30,246.434
2011/07/31,243.863
2011/08/01,241.798
2011/08/02,240.563
2011/08/03,238.338
2011/08/04,237.206
2011/08/05,235.06
2011/08/06,232.818
2011/08/07,231.003
2011/08/08,229.816
2011/08/09,229.317
2011/08/10,227.5
2011/08/11,226.279
2011/08/12,225.295
2011/08/13,225.501
2011/08/14,225.272
2011/08/15,226.338
2011/08/16,226.575
2011/08/17,225.488
2011/08/18,225.655
2011/08/19,226.59
2011/08/20,226.32
2011/08/21,225.997
2011/08/22,225.706
2011/08/23,225.492
2011/08/24,225.596
2011/08/25,225.651
2011/08/26,225.715
