Date,top100cap90roc
2010/07/17,31.583
2010/07/18,29.187
2010/07/19,27.228
2010/07/20,25.948
2010/07/21,26.288
2010/07/22,26.232
2010/07/23,25.379
2010/07/24,24.786
2010/07/25,24.531
2010/07/26,28.721
2010/07/27,28.394
2010/07/28,28.321
2010/07/29,28.075
2010/07/30,28.09
2010/07/31,27.862
2010/08/01,27.203
2010/08/02,25.837
2010/08/03,24.773
2010/08/04,22.182
2010/08/05,21.949
2010/08/06,19.581
2010/08/07,19.311
2010/08/08,18.366
2010/08/09,19.242
2010/08/10,17.857
2010/08/11,18.184
2010/08/12,17.035
2010/08/13,17.138
2010/08/14,16.871
2010/08/15,15.63
2010/08/16,15.883
2010/08/17,16.032
2010/08/18,15.926
2010/08/19,15.083
2010/08/20,14.951
2010/08/21,14.344
2010/08/22,14.196
2010/08/23,13.905
2010/08/24,13.95
2010/08/25,13.144
2010/08/26,13.159
2010/08/27,13.039
2010/08/28,12.741
2010/08/29,12.214
2010/08/30,11.773
2010/08/31,12.241
2010/09/01,11.444
2010/09/02,11.295
2010/09/03,11.206
2010/09/04,11.098
2010/09/05,9.7
2010/09/06,9.453
2010/09/07,7.425
2010/09/08,6.98
2010/09/09,6.885
2010/09/10,6.748
2010/09/11,6.366
2010/09/12,6.116
2010/09/13,5.231
2010/09/14,4.74
2010/09/15,4.759
2010/09/16,4.719
2010/09/17,5.041
2010/09/18,5.196
2010/09/19,5.74
2010/09/20,5.714
2010/09/21,5.643
2010/09/22,5.111
2010/09/23,6.118
2010/09/24,6.603
2010/09/25,7.208
2010/09/26,7.582
2010/09/27,8.336
2010/09/28,12.11
2010/09/29,11.93
2010/09/30,11.289
2010/10/01,10.857
2010/10/02,11.795
2010/10/03,11.509
2010/10/04,10.607
2010/10/05,10.436
2010/10/06,10.369
2010/10/07,12.452
2010/10/08,12.851
2010/10/09,13.755
2010/10/10,16.294
2010/10/11,17.126
2010/10/12,17.651
2010/10/13,17.554
2010/10/14,18.059
2010/10/15,17.264
2010/10/16,17.807
2010/10/17,18.361
2010/10/18,19.435
2010/10/19,18.487
2010/10/20,18.865
2010/10/21,19.231
2010/10/22,19.255
2010/10/23,19.384
2010/10/24,15.655
2010/10/25,15.432
2010/10/26,16.058
2010/10/27,16.357
2010/10/28,16.116
2010/10/29,15.944
2010/10/30,15.778
2010/10/31,16.391
2010/11/01,16.151
2010/11/02,16.712
2010/11/03,16.249
2010/11/04,16.386
2010/11/05,16.668
2010/11/06,17.047
2010/11/07,15.923
2010/11/08,18.83
2010/11/09,17.798
2010/11/10,17.749
2010/11/11,17.084
2010/11/12,17.281
2010/11/13,16.975
2010/11/14,16.704
2010/11/15,15.918
2010/11/16,15.923
2010/11/17,16.291
2010/11/18,15.847
2010/11/19,15.871
2010/11/20,16.262
2010/11/21,16.27
2010/11/22,16.042
