Date,difficulty14sma
2010/07/17,40.922
2010/07/18,52.503
2010/07/19,64.085
2010/07/20,75.399
2010/07/21,86.688
2010/07/22,97.977
2010/07/23,109.265
2010/07/24,120.554
2010/07/25,131.843
2010/07/26,143.132
2010/07/27,157.706
2010/07/28,171.908
2010/07/29,186.11
2010/07/30,199.098
2010/07/31,203.575
2010/08/01,208.051
2010/08/02,212.528
2010/08/03,217.004
2010/08/04,221.481
2010/08/05,227.018
2010/08/06,239.205
2010/08/07,251.392
2010/08/08,263.579
2010/08/09,275.766
2010/08/10,283.827
2010/08/11,291.538
2010/08/12,299.248
2010/08/13,306.959
2010/08/14,314.669
2010/08/15,325.079
2010/08/16,344.19
2010/08/17,363.302
2010/08/18,382.413
2010/08/19,400.463
2010/08/20,411.864
2010/08/21,423.265
2010/08/22,434.666
2010/08/23,446.067
2010/08/24,457.468
2010/08/25,468.869
2010/08/26,480.611
2010/08/27,499.985
2010/08/28,519.358
2010/08/29,536.032
2010/08/30,544.005
2010/08/31,551.977
2010/09/01,559.95
2010/09/02,567.922
2010/09/03,575.894
2010/09/04,583.867
2010/09/05,591.839
2010/09/06,599.811
2010/09/07,607.784
2010/09/08,620.987
2010/09/09,635.01
2010/09/10,641.403
2010/09/11,647.795
2010/09/12,654.188
2010/09/13,660.581
2010/09/14,666.974
2010/09/15,673.366
2010/09/16,679.759
2010/09/17,686.152
2010/09/18,692.544
2010/09/19,711.825
2010/09/20,732.857
2010/09/21,753.888
2010/09/22,769.69
2010/09/23,784.329
2010/09/24,798.968
2010/09/25,813.607
2010/09/26,828.246
2010/09/27,842.885
2010/09/28,861.845
2010/09/29,905.116
2010/09/30,948.386
2010/10/01,991.657
2010/10/02,1035
2010/10/03,1065
2010/10/04,1094
2010/10/05,1123
2010/10/06,1151
2010/10/07,1180
2010/10/08,1208
2010/10/09,1237
2010/10/10,1266
2010/10/11,1294
2010/10/12,1322
2010/10/13,1326
2010/10/14,1330
2010/10/15,1335
2010/10/16,1339
2010/10/17,1343
2010/10/18,1347
2010/10/19,1352
2010/10/20,1356
2010/10/21,1402
2010/10/22,1461
2010/10/23,1520
2010/10/24,1580
2010/10/25,1639
2010/10/26,1695
2010/10/27,1750
2010/10/28,1805
2010/10/29,1860
2010/10/30,1918
2010/10/31,2040
2010/11/01,2163
2010/11/02,2285
2010/11/03,2408
2010/11/04,2488
2010/11/05,2556
2010/11/06,2623
2010/11/07,2690
2010/11/08,2758
2010/11/09,2866
2010/11/10,3037
2010/11/11,3207
2010/11/12,3378
2010/11/13,3546
2010/11/14,3649
2010/11/15,3752
2010/11/16,3855
2010/11/17,3959
2010/11/18,4089
2010/11/19,4359
2010/11/20,4628
2010/11/21,4898
2010/11/22,5168
2010/11/23,5396
2010/11/24,5562
2010/11/25,5729
2010/11/26,5895
2010/11/27,6062
2010/11/28,6228
2010/11/29,6395
2010/11/30,6583
2010/12/01,6836
2010/12/02,7061
2010/12/03,7148
2010/12/04,7234
2010/12/05,7321
2010/12/06,7407
2010/12/07,7494
2010/12/08,7580
2010/12/09,7678
2010/12/10,8062
2010/12/11,8447
2010/12/12,8832
2010/12/13,9216
2010/12/14,9580
2010/12/15,9878
2010/12/16,10176
2010/12/17,10474
2010/12/18,10772
2010/12/19,11070
2010/12/20,11368
2010/12/21,11692
2010/12/22,12149
2010/12/23,12596
2010/12/24,12756
2010/12/25,12915
2010/12/26,13075
2010/12/27,13234
2010/12/28,13393
2010/12/29,13553
2010/12/30,13712
2010/12/31,13872
2011/01/01,14031
2011/01/02,14191
2011/01/03,14452
2011/01/04,14716
2011/01/05,14846
2011/01/06,14977
2011/01/07,15107
2011/01/08,15237
2011/01/09,15367
2011/01/10,15498
2011/01/11,15628
2011/01/12,15758
2011/01/13,15888
2011/01/14,16019
2011/01/15,16213
2011/01/16,16495
2011/01/17,16676
2011/01/18,16828
2011/01/19,16980
2011/01/20,17132
2011/01/21,17284
2011/01/22,17436
2011/01/23,17589
2011/01/24,17741
2011/01/25,17893
2011/01/26,18045
2011/01/27,18347
2011/01/28,18755
2011/01/29,19098
2011/01/30,19354
2011/01/31,19609
2011/02/01,19864
2011/02/02,20120
2011/02/03,20375
2011/02/04,20630
2011/02/05,20886
2011/02/06,21141
2011/02/07,21396
2011/02/08,21865
2011/02/09,22405
2011/02/10,22795
2011/02/11,23080
2011/02/12,23365
2011/02/13,23649
2011/02/14,23934
2011/02/15,24219
2011/02/16,24503
2011/02/17,24788
2011/02/18,25651
2011/02/19,26683
2011/02/20,27715
2011/02/21,28747
2011/02/22,29565
2011/02/23,30312
2011/02/24,31060
2011/02/25,31807
2011/02/26,32554
2011/02/27,33901
2011/02/28,36014
2011/03/01,38128
2011/03/02,40242
2011/03/03,42356
2011/03/04,43891
2011/03/05,45258
2011/03/06,46624
2011/03/07,47990
2011/03/08,49357
2011/03/09,51229
2011/03/10,54067
2011/03/11,56905
2011/03/12,59743
2011/03/13,61982
2011/03/14,63454
2011/03/15,64925
2011/03/16,66397
2011/03/17,67869
2011/03/18,69340
2011/03/19,70812
2011/03/20,72284
2011/03/21,73755
2011/03/22,75227
2011/03/23,76193
2011/03/24,76193
2011/03/25,75722
2011/03/26,75207
2011/03/27,74691
2011/03/28,74176
2011/03/29,73661
2011/03/30,73145
2011/03/31,72630
2011/04/01,72115
2011/04/02,71599
2011/04/03,71084
2011/04/04,70569
2011/04/05,70122
2011/04/06,70562
2011/04/07,71001
2011/04/08,71911
2011/04/09,72866
2011/04/10,73821
2011/04/11,74776
2011/04/12,75731
2011/04/13,76685
2011/04/14,77640
2011/04/15,78595
2011/04/16,79550
2011/04/17,80505
2011/04/18,81967
2011/04/19,83567
2011/04/20,84281
2011/04/21,84996
2011/04/22,85710
2011/04/23,86425
2011/04/24,87139
2011/04/25,87853
2011/04/26,88568
2011/04/27,89282
2011/04/28,89997
2011/04/29,90711
2011/04/30,92519
2011/05/01,94471
2011/05/02,95916
2011/05/03,97153
2011/05/04,98390
2011/05/05,99628
2011/05/06,100865
2011/05/07,102102
2011/05/08,103339
2011/05/09,104991
2011/05/10,109638
2011/05/11,114286
2011/05/12,118934
2011/05/13,123582
2011/05/14,127136
2011/05/15,130547
2011/05/16,133957
2011/05/17,137368
2011/05/18,141144
2011/05/19,150747
2011/05/20,160350
2011/05/21,169953
2011/05/22,179556
2011/05/23,188745
2011/05/24,194937
2011/05/25,201130
2011/05/26,209716
2011/05/27,229535
2011/05/28,249354
2011/05/29,269172
2011/05/30,288991
2011/05/31,308809
2011/06/01,328262
2011/06/02,341889
2011/06/03,355515
2011/06/04,369141
2011/06/05,382767
2011/06/06,399924
2011/06/07,423006
2011/06/08,446089
2011/06/09,466778
2011/06/10,476234
2011/06/11,485691
2011/06/12,495148
2011/06/13,504604
2011/06/14,514061
2011/06/15,532160
2011/06/16,563736
2011/06/17,595313
2011/06/18,626890
2011/06/19,658467
2011/06/20,686513
2011/06/21,708634
2011/06/22,730754
2011/06/23,752874
2011/06/24,788614
2011/06/25,846608
2011/06/26,904603
2011/06/27,962597
2011/06/28,1020592
2011/06/29,1069944
2011/06/30,1105818
2011/07/01,1141692
2011/07/02,1177566
2011/07/03,1213441
2011/07/04,1249315
2011/07/05,1285189
2011/07/06,1322987
2011/07/07,1371992
2011/07/08,1407378
2011/07/09,1420509
2011/07/10,1433640
2011/07/11,1446772
2011/07/12,1459903
2011/07/13,1473034
2011/07/14,1486165
2011/07/15,1499296
2011/07/16,1512427
2011/07/17,1525558
2011/07/18,1538689
2011/07/19,1553300
2011/07/20,1573641
2011/07/21,1582774
2011/07/22,1591908
2011/07/23,1601041
2011/07/24,1610174
2011/07/25,1619308
2011/07/26,1628441
2011/07/27,1637575
2011/07/28,1646708
2011/07/29,1655842
2011/07/30,1664975
2011/07/31,1674108
2011/08/01,1691551
2011/08/02,1713341
2011/08/03,1727476
2011/08/04,1741611
2011/08/05,1755746
2011/08/06,1769881
2011/08/07,1784016
2011/08/08,1798151
2011/08/09,1812286
2011/08/10,1826421
2011/08/11,1840556
2011/08/12,1854691
2011/08/13,1868826
2011/08/14,1882961
2011/08/15,1888695
2011/08/16,1882760
2011/08/17,1876825
2011/08/18,1870891
2011/08/19,1864956
2011/08/20,1859021
2011/08/21,1853086
2011/08/22,1847152
2011/08/23,1841217
2011/08/24,1835282
2011/08/25,1829348
2011/08/26,1823413
2011/08/27,1817478
2011/08/28,1811544
2011/08/29,1805701
2011/08/30,1804089
2011/08/31,1802094
2011/09/01,1800099
2011/09/02,1798104
2011/09/03,1796110
2011/09/04,1794115
2011/09/05,1792120
2011/09/06,1790125
2011/09/07,1788131
2011/09/08,1786136
2011/09/09,1784141
2011/09/10,1782147
2011/09/11,1780152
2011/09/12,1778157
2011/09/13,1776875
2011/09/14,1775279
2011/09/15,1773682
2011/09/16,1772086
2011/09/17,1770490
2011/09/18,1768893
2011/09/19,1767297
2011/09/20,1765701
2011/09/21,1764104
2011/09/22,1762508
2011/09/23,1760911
2011/09/24,1759315
2011/09/25,1757719
2011/09/26,1756122
2011/09/27,1755283
2011/09/28,1750563
2011/09/29,1745842
2011/09/30,1741121
2011/10/01,1736400
2011/10/02,1731679
2011/10/03,1726959
2011/10/04,1722238
2011/10/05,1717517
2011/10/06,1712796
2011/10/07,1708076
2011/10/08,1703355
2011/10/09,1698634
2011/10/10,1693913
2011/10/11,1689334
2011/10/12,1689334
2011/10/13,1689334
2011/10/14,1674334
2011/10/15,1658539
2011/10/16,1642743
2011/10/17,1626947
2011/10/18,1611152
2011/10/19,1595356
2011/10/20,1579560
2011/10/21,1563765
2011/10/22,1547969
2011/10/23,1532173
2011/10/24,1516378
2011/10/25,1500582
2011/10/26,1484787
2011/10/27,1468991
2011/10/28,1468195
2011/10/29,1468195
2011/10/30,1468195
