Date,sentbyaddress7roc
2010/07/17,106.349
2010/07/18,16.484
2010/07/19,-78.482
2010/07/20,-55.649
2010/07/21,-92.763
2010/07/22,-65.922
2010/07/23,-63.215
2010/07/24,65.385
2010/07/25,322.877
2010/07/26,-26.221
2010/07/27,-33.703
2010/07/28,-22.045
2010/07/29,-10.922
2010/07/30,-27.654
2010/07/31,-59.225
2010/08/01,-81.539
2010/08/02,-17.892
2010/08/03,42.243
2010/08/04,35.569
2010/08/05,48.229
2010/08/06,25.939
2010/08/07,-6.844
2010/08/08,16.918
2010/08/09,31.94
2010/08/10,-49.832
2010/08/11,-22.151
2010/08/12,-35.11
2010/08/13,43.36
2010/08/14,44.898
2010/08/15,-41.602
2010/08/16,1.584
2010/08/17,7.023
2010/08/18,6.906
2010/08/19,-14.731
2010/08/20,-27.221
2010/08/21,-6.479
2010/08/22,43.363
2010/08/23,-21.604
2010/08/24,5
2010/08/25,-12.661
2010/08/26,4.319
2010/08/27,-34.286
2010/08/28,-6.325
2010/08/29,-25.617
2010/08/30,-10.227
2010/08/31,15.179
2010/09/01,7.988
2010/09/02,-17.516
2010/09/03,24.506
2010/09/04,-22.186
2010/09/05,22.822
2010/09/06,-17.722
2010/09/07,-36.693
2010/09/08,-16.164
2010/09/09,20.849
2010/09/10,-0.952
2010/09/11,15.702
2010/09/12,26.014
2010/09/13,75.769
2010/09/14,58.367
2010/09/15,40.523
2010/09/16,15.974
2010/09/17,2.244
2010/09/18,20.714
2010/09/19,-16.622
2010/09/20,0.219
2010/09/21,131.701
2010/09/22,81.86
2010/09/23,82.645
2010/09/24,66.144
2010/09/25,66.568
2010/09/26,24.437
2010/09/27,41.703
2010/09/28,-52.28
2010/09/29,16.624
2010/09/30,-42.685
2010/10/01,15.66
2010/10/02,-0.355
2010/10/03,17.571
2010/10/04,-29.738
2010/10/05,5.828
2010/10/06,-52.303
2010/10/07,-8.684
2010/10/08,-36.052
2010/10/09,-21.569
2010/10/10,-12.967
2010/10/11,-18.421
2010/10/12,-12.775
2010/10/13,-6.207
2010/10/14,11.816
2010/10/15,-5.102
2010/10/16,3.409
2010/10/17,20.96
2010/10/18,73.118
2010/10/19,181.061
2010/10/20,106.373
2010/10/21,64.691
2010/10/22,90.86
2010/10/23,35.824
2010/10/24,30.689
2010/10/25,-28.261
2010/10/26,-44.295
2010/10/27,-17.458
2010/10/28,-7.199
2010/10/29,-30.423
2010/10/30,-32.524
2010/10/31,-52.077
2010/11/01,-23.377
2010/11/02,-55.484
2010/11/03,-49.065
2010/11/04,-43.339
2010/11/05,-10.121
2010/11/06,-1.918
2010/11/07,46
2010/11/08,37.571
2010/11/09,42.391
2010/11/10,15.819
2010/11/11,12.798
2010/11/12,-38.964
2010/11/13,-18.337
2010/11/14,-8.676
2010/11/15,746.201
2010/11/16,664.885
2010/11/17,10.488
2010/11/18,8.707
2010/11/19,31.734
2010/11/20,82.635
2010/11/21,32
2010/11/22,-91.022
2010/11/23,-87.725
2010/11/24,20.088
2010/11/25,48.301
2010/11/26,143.697
2010/11/27,-22.295
2010/11/28,-9.091
2010/11/29,26.757
2010/11/30,34.959
2010/12/01,8.272
2010/12/02,-21.931
2010/12/03,-52.874
2010/12/04,-3.165
2010/12/05,-5.417
2010/12/06,5.117
2010/12/07,29.317
2010/12/08,-2.377
2010/12/09,9.853
2010/12/10,4.878
2010/12/11,54.248
2010/12/12,64.537
2010/12/13,55.375
2010/12/14,23.292
2010/12/15,34.261
2010/12/16,15.649
2010/12/17,19.535
2010/12/18,-16.808
2010/12/19,-17.001
2010/12/20,34.073
2010/12/21,-4.03
2010/12/22,3.497
2010/12/23,16.832
2010/12/24,21.79
2010/12/25,41.087
2010/12/26,24.677
2010/12/27,-38.851
2010/12/28,3.543
2010/12/29,-22.028
2010/12/30,1.412
2010/12/31,6.709
2011/01/01,-0.963
2011/01/02,-11.384
2011/01/03,52.229
2011/01/04,7.098
2011/01/05,66.132
2011/01/06,7.939
2011/01/07,39.97
2011/01/08,45.687
2011/01/09,56.058
2011/01/10,17.782
2011/01/11,38.935
2011/01/12,-5.894
2011/01/13,39.742
2011/01/14,11.337
2011/01/15,-7.673
2011/01/16,5.706
2011/01/17,-8.97
2011/01/18,-10.221
2011/01/19,18.789
2011/01/20,4.986
2011/01/21,35.543
2011/01/22,43.993
2011/01/23,16.637
2011/01/24,54.634
2011/01/25,1.992
2011/01/26,1.21
2011/01/27,-6.948
2011/01/28,-5.103
2011/01/29,1.317
2011/01/30,112.595
2011/01/31,5.489
2011/02/01,17.767
2011/02/02,-8.113
2011/02/03,-9.924
2011/02/04,-16.206
2011/02/05,-37.523
2011/02/06,-62.277
2011/02/07,-37.44
2011/02/08,-18.009
2011/02/09,47.584
2011/02/10,175.446
2011/02/11,164.171
2011/02/12,143.31
2011/02/13,118.638
2011/02/14,140.535
2011/02/15,158.285
2011/02/16,51.574
2011/02/17,4.876
2011/02/18,-10.931
2011/02/19,-17.312
2011/02/20,5.625
2011/02/21,0.238
2011/02/22,4.551
2011/02/23,20.69
2011/02/24,-0.218
2011/02/25,-1.591
2011/02/26,19.803
2011/02/27,13.15
2011/02/28,-12.926
2011/03/01,29.183
2011/03/02,-11.394
2011/03/03,43.065
2011/03/04,-3.464
2011/03/05,7.812
2011/03/06,-7.133
2011/03/07,15.255
2011/03/08,-10.108
2011/03/09,3.38
2011/03/10,-40.153
2011/03/11,-4.067
2011/03/12,-2.517
2011/03/13,-9.201
2011/03/14,-20.743
2011/03/15,-17.481
2011/03/16,-9.508
2011/03/17,11.267
2011/03/18,0.499
2011/03/19,2.504
2011/03/20,67.282
2011/03/21,81.057
2011/03/22,12.174
2011/03/23,112.915
2011/03/24,22.048
2011/03/25,27.295
2011/03/26,46.336
2011/03/27,-1.822
2011/03/28,7.93
2011/03/29,23.1
2011/03/30,-44.763
2011/03/31,4.07
2011/04/01,-19.331
2011/04/02,-29.447
2011/04/03,-27.033
2011/04/04,-11.505
2011/04/05,-12.618
2011/04/06,3.531
2011/04/07,-22.022
2011/04/08,10.23
2011/04/09,2.07
2011/04/10,-3.834
2011/04/11,-14.183
2011/04/12,-2.839
2011/04/13,17.224
2011/04/14,93.326
2011/04/15,10.815
2011/04/16,13.872
2011/04/17,27.124
2011/04/18,43.802
2011/04/19,58.082
2011/04/20,18.621
2011/04/21,-38.176
2011/04/22,5.869
2011/04/23,14.822
2011/04/24,0.176
2011/04/25,-7.989
2011/04/26,-2.431
2011/04/27,47.633
2011/04/28,51.323
2011/04/29,64.03
2011/04/30,79.141
2011/05/01,70.392
2011/05/02,17.136
2011/05/03,-3.377
2011/05/04,-21.299
2011/05/05,16.51
2011/05/06,3.493
2011/05/07,-10.221
2011/05/08,-17.084
2011/05/09,22.779
2011/05/10,11.954
2011/05/11,9.394
2011/05/12,-1.867
2011/05/13,20.73
2011/05/14,21.116
2011/05/15,31.539
2011/05/16,37.034
2011/05/17,47.564
2011/05/18,78.174
2011/05/19,53.302
2011/05/20,26.227
2011/05/21,20.89
2011/05/22,38.775
2011/05/23,20.404
2011/05/24,27.976
2011/05/25,15.358
2011/05/26,36.704
2011/05/27,-1.324
2011/05/28,1.694
2011/05/29,-6.069
2011/05/30,1.808
2011/05/31,3.538
2011/06/01,3.802
2011/06/02,6.49
2011/06/03,69.269
2011/06/04,72.47
2011/06/05,73.116
2011/06/06,71.164
2011/06/07,44.797
