Date,size14std
2011/05/17,2155
2011/05/18,2101
2011/05/19,2982
2011/05/20,2981
2011/05/21,2899
2011/05/22,2470
2011/05/23,2170
2011/05/24,2196
2011/05/25,2072
2011/05/26,2146
2011/05/27,2534
2011/05/28,3186
2011/05/29,3187
2011/05/30,4006
2011/05/31,5295
2011/06/01,5523
2011/06/02,6135
2011/06/03,7519
2011/06/04,7690
2011/06/05,7439
2011/06/06,7347
2011/06/07,7383
2011/06/08,10266
2011/06/09,10154
2011/06/10,9732
2011/06/11,9290
2011/06/12,8465
2011/06/13,8084
2011/06/14,8063
2011/06/15,7464
2011/06/16,8525
2011/06/17,8837
2011/06/18,8403
2011/06/19,7536
2011/06/20,7502
2011/06/21,8325
2011/06/22,7526
2011/06/23,7822
2011/06/24,7848
2011/06/25,8341
2011/06/26,9094
2011/06/27,10480
2011/06/28,10785
2011/06/29,10559
2011/06/30,9995
2011/07/01,9999
2011/07/02,9993
2011/07/03,10052
2011/07/04,9767
2011/07/05,9256
2011/07/06,8767
2011/07/07,7686
2011/07/08,7289
2011/07/09,7393
2011/07/10,7372
2011/07/11,6454
2011/07/12,6289
2011/07/13,6850
2011/07/14,6571
2011/07/15,6970
2011/07/16,6827
2011/07/17,6693
2011/07/18,6743
2011/07/19,6809
2011/07/20,6251
2011/07/21,5787
2011/07/22,5615
2011/07/23,5654
2011/07/24,5417
2011/07/25,5287
2011/07/26,5448
2011/07/27,5238
2011/07/28,5081
2011/07/29,5459
2011/07/30,6443
2011/07/31,6650
2011/08/01,6302
2011/08/02,5380
2011/08/03,5045
2011/08/04,5546
2011/08/05,5317
2011/08/06,5667
2011/08/07,5648
2011/08/08,5839
2011/08/09,6450
2011/08/10,6333
2011/08/11,6325
2011/08/12,5861
2011/08/13,4706
2011/08/14,4187
2011/08/15,4877
2011/08/16,5080
2011/08/17,4821
2011/08/18,4997
2011/08/19,4872
2011/08/20,5427
2011/08/21,5802
2011/08/22,5950
2011/08/23,5805
2011/08/24,5793
2011/08/25,5760
2011/08/26,5720
2011/08/27,5745
2011/08/28,5783
2011/08/29,4759
2011/08/30,4136
2011/08/31,4257
2011/09/01,4312
2011/09/02,4008
2011/09/03,4667
2011/09/04,10542
2011/09/05,10616
2011/09/06,10536
2011/09/07,10541
2011/09/08,10555
2011/09/09,10632
2011/09/10,10603
2011/09/11,10563
2011/09/12,10519
2011/09/13,10704
2011/09/14,10824
2011/09/15,11038
2011/09/16,10824
2011/09/17,10825
2011/09/18,5464
2011/09/19,5709
2011/09/20,6697
2011/09/21,7025
2011/09/22,7279
2011/09/23,6951
2011/09/24,6938
2011/09/25,6862
2011/09/26,6832
2011/09/27,6799
2011/09/28,6940
2011/09/29,6956
2011/09/30,6881
2011/10/01,7012
2011/10/02,6777
2011/10/03,6446
2011/10/04,4816
2011/10/05,3443
2011/10/06,3514
2011/10/07,3473
2011/10/08,3283
2011/10/09,3277
2011/10/10,3317
2011/10/11,6295
2011/10/12,6236
2011/10/13,6278
2011/10/14,6297
2011/10/15,6124
2011/10/16,6043
2011/10/17,6100
2011/10/18,6090
2011/10/19,6152
2011/10/20,6427
2011/10/21,6615
2011/10/22,6734
2011/10/23,6706
2011/10/24,6714
2011/10/25,4573
2011/10/26,4360
2011/10/27,4025
2011/10/28,4260
2011/10/29,4415
2011/10/30,4390
2011/10/31,4212
2011/11/01,4520
2011/11/02,4723
2011/11/03,4587
2011/11/04,4381
2011/11/05,4081
2011/11/06,4623
2011/11/07,4566
2011/11/08,4539
2011/11/09,4526
2011/11/10,4588
2011/11/11,4205
2011/11/12,3706
2011/11/13,3829
2011/11/14,3850
2011/11/15,3760
2011/11/16,3758
2011/11/17,3656
2011/11/18,3545
2011/11/19,3550
2011/11/20,2880
2011/11/21,2875
2011/11/22,2845
2011/11/23,2845
2011/11/24,2931
2011/11/25,2761
2011/11/26,2604
2011/11/27,2278
2011/11/28,2643
2011/11/29,3355
2011/11/30,3519
2011/12/01,3504
2011/12/02,3432
2011/12/03,3482
2011/12/04,3483
2011/12/05,3490
2011/12/06,3525
2011/12/07,3490
2011/12/08,3453
2011/12/09,3567
2011/12/10,3650
2011/12/11,3661
2011/12/12,3523
2011/12/13,2868
2011/12/14,2657
2011/12/15,2583
2011/12/16,2815
2011/12/17,3179
2011/12/18,3788
2011/12/19,3767
2011/12/20,5357
2011/12/21,5298
2011/12/22,5289
2011/12/23,5255
2011/12/24,5659
2011/12/25,6087
2011/12/26,6184
2011/12/27,6078
2011/12/28,6160
2011/12/29,6144
2011/12/30,5834
2011/12/31,5785
2012/01/01,5623
2012/01/02,5791
2012/01/03,3555
2012/01/04,3966
2012/01/05,5914
2012/01/06,6464
2012/01/07,6141
2012/01/08,5817
2012/01/09,5482
2012/01/10,7869
2012/01/11,8423
2012/01/12,8210
2012/01/13,7637
2012/01/14,7212
2012/01/15,6847
2012/01/16,6796
2012/01/17,6641
2012/01/18,6706
2012/01/19,6546
2012/01/20,6562
2012/01/21,6256
2012/01/22,6781
2012/01/23,7512
2012/01/24,6133
2012/01/25,5450
2012/01/26,5498
2012/01/27,5481
2012/01/28,5529
2012/01/29,5692
2012/01/30,6172
2012/01/31,6228
2012/02/01,5726
