Date,transactions3std
2010/07/17,430.618
2010/07/18,409.788
2010/07/19,106.596
2010/07/20,136.532
2010/07/21,129.502
2010/07/22,166.984
2010/07/23,35.036
2010/07/24,458.217
2010/07/25,1138
2010/07/26,1133
2010/07/27,1273
2010/07/28,1462
2010/07/29,1398
2010/07/30,1508
2010/07/31,1480
2010/08/01,42.237
2010/08/02,52.264
2010/08/03,265.666
2010/08/04,233.286
2010/08/05,184.031
2010/08/06,88.649
2010/08/07,146.214
2010/08/08,80.862
2010/08/09,95.907
2010/08/10,69.404
2010/08/11,70.396
2010/08/12,26.6
2010/08/13,116.954
2010/08/14,130.408
2010/08/15,164.895
2010/08/16,169.493
2010/08/17,162.555
2010/08/18,95.587
2010/08/19,51.39
2010/08/20,45.763
2010/08/21,50.605
2010/08/22,65.733
2010/08/23,13.3
2010/08/24,8.641
2010/08/25,12.257
2010/08/26,12.329
2010/08/27,29.68
2010/08/28,39.226
2010/08/29,58.81
2010/08/30,72.682
2010/08/31,129.844
2010/09/01,63.013
2010/09/02,75.965
2010/09/03,59.956
2010/09/04,63.694
2010/09/05,54.707
2010/09/06,43.277
2010/09/07,23.627
2010/09/08,49.996
2010/09/09,57.419
2010/09/10,12.329
2010/09/11,38.964
2010/09/12,47.394
2010/09/13,98.02
2010/09/14,52.772
2010/09/15,39.732
2010/09/16,38.69
2010/09/17,88.904
2010/09/18,58.447
2010/09/19,13.098
2010/09/20,102.658
2010/09/21,419.998
2010/09/22,310.459
2010/09/23,179.498
2010/09/24,187.455
2010/09/25,122.609
2010/09/26,106.85
2010/09/27,151.058
2010/09/28,146.245
2010/09/29,463.33
2010/09/30,532.119
2010/10/01,489.964
2010/10/02,186.769
2010/10/03,153.162
2010/10/04,138.124
2010/10/05,8.994
2010/10/06,14.697
2010/10/07,57.511
2010/10/08,45.734
2010/10/09,51.493
2010/10/10,47.591
2010/10/11,55.65
2010/10/12,12.365
2010/10/13,11.585
2010/10/14,29.68
2010/10/15,31.027
2010/10/16,26.55
2010/10/17,32.221
2010/10/18,136.746
2010/10/19,403.349
2010/10/20,279.973
2010/10/21,254.78
2010/10/22,77.786
2010/10/23,90.765
2010/10/24,97.666
2010/10/25,129.701
2010/10/26,114.31
2010/10/27,120.9
2010/10/28,78.678
2010/10/29,95.671
2010/10/30,79.1
2010/10/31,95.387
2010/11/01,43.369
2010/11/02,53.897
2010/11/03,54.136
2010/11/04,39.021
2010/11/05,70.98
2010/11/06,67.191
2010/11/07,39.632
2010/11/08,52.29
2010/11/09,39.598
2010/11/10,44.342
2010/11/11,16.111
2010/11/12,65.774
2010/11/13,54.267
2010/11/14,39.203
2010/11/15,4272
2010/11/16,7144
2010/11/17,7121
2010/11/18,7774
2010/11/19,8312
2010/11/20,7837
2010/11/21,352.322
2010/11/22,9035
2010/11/23,9158
2010/11/24,3364
2010/11/25,3939
2010/11/26,3099
2010/11/27,3937
2010/11/28,798.209
2010/11/29,30.243
2010/11/30,32.097
2010/12/01,71.411
2010/12/02,60.692
2010/12/03,105.985
2010/12/04,75.584
2010/12/05,5.657
2010/12/06,30.565
2010/12/07,119.744
2010/12/08,89.993
2010/12/09,59.352
2010/12/10,48.689
2010/12/11,126.691
2010/12/12,202.348
2010/12/13,110.349
2010/12/14,27.633
2010/12/15,48.562
2010/12/16,104.171
2010/12/17,123.086
2010/12/18,51.674
2010/12/19,58.294
2010/12/20,397.158
2010/12/21,355.432
2010/12/22,292.868
2010/12/23,104.58
2010/12/24,116.669
2010/12/25,82.822
2010/12/26,69.134
2010/12/27,89.953
2010/12/28,108.472
2010/12/29,130.476
2010/12/30,117.636
2010/12/31,62.404
2011/01/01,70.244
2011/01/02,79.672
2011/01/03,509.979
2011/01/04,494.043
2011/01/05,260.714
2011/01/06,492.593
2011/01/07,492.349
2011/01/08,584.343
2011/01/09,334.765
2011/01/10,168.644
2011/01/11,108.73
2011/01/12,168.193
2011/01/13,159.803
2011/01/14,79.705
2011/01/15,258.813
2011/01/16,285.545
2011/01/17,130.476
2011/01/18,91.525
2011/01/19,83.336
2011/01/20,62.759
2011/01/21,234.901
2011/01/22,423.793
2011/01/23,295.524
2011/01/24,285.962
2011/01/25,325.568
2011/01/26,340.264
2011/01/27,119.078
2011/01/28,198.778
2011/01/29,412.45
