Date,transactions3roc
2010/07/17,-95.769
2010/07/18,-64.873
2010/07/19,-47.633
2010/07/20,75.745
2010/07/21,3.226
2010/07/22,-37.571
2010/07/23,-47.458
2010/07/24,175.391
2010/07/25,620.362
2010/07/26,3.226
2010/07/27,-63.121
2010/07/28,12.563
2010/07/29,653.125
2010/07/30,-45
2010/07/31,-94.866
2010/08/01,-92.59
2010/08/02,9.091
2010/08/03,357.609
2010/08/04,56.8
2010/08/05,90.385
2010/08/06,-49.644
2010/08/07,-39.796
2010/08/08,-35.354
2010/08/09,10.377
2010/08/10,26.271
2010/08/11,-6.771
2010/08/12,-25.214
2010/08/13,102.013
2010/08/14,-14.525
2010/08/15,-38.286
2010/08/16,1.661
2010/08/17,23.529
2010/08/18,125.926
2010/08/19,-37.908
2010/08/20,21.693
2010/08/21,-30.738
2010/08/22,-18.947
2010/08/23,-32.174
2010/08/24,-2.959
2010/08/25,-3.247
2010/08/26,1.282
2010/08/27,-25
2010/08/28,13.423
2010/08/29,-37.975
2010/08/30,46.341
2010/08/31,52.071
2010/09/01,127.551
2010/09/02,-8.333
2010/09/03,-39.689
2010/09/04,-58.296
2010/09/05,-11.515
2010/09/06,-22.581
2010/09/07,31.183
2010/09/08,19.178
2010/09/09,57.5
2010/09/10,50
2010/09/11,-16.667
2010/09/12,6.878
2010/09/13,44.809
2010/09/14,52.414
2010/09/15,29.208
2010/09/16,-17.358
2010/09/17,-30.769
2010/09/18,-37.931
2010/09/19,-33.333
2010/09/20,71.242
2010/09/21,293.827
2010/09/22,241.781
2010/09/23,60.687
2010/09/24,-57.21
2010/09/25,-34.87
2010/09/26,-53.682
2010/09/27,36.996
2010/09/28,-14.154
2010/09/29,315.897
2010/09/30,-41.444
2010/10/01,54.122
2010/10/02,-50.555
2010/10/03,16.438
2010/10/04,-40.93
2010/10/05,-38.903
2010/10/06,-7.451
2010/10/07,-29.134
2010/10/08,-14.694
2010/10/09,2.966
2010/10/10,2.778
2010/10/11,-12.44
2010/10/12,-18.93
2010/10/13,1.622
2010/10/14,-11.475
2010/10/15,-23.35
2010/10/16,-2.66
2010/10/17,15.432
2010/10/18,118.543
2010/10/19,265.027
2010/10/20,140.107
2010/10/21,10.909
2010/10/22,-32.934
2010/10/23,-23.831
2010/10/24,-5.191
2010/10/25,-53.795
2010/10/26,-19.006
2010/10/27,2.305
2010/10/28,28.986
2010/10/29,-11.913
2010/10/30,-50.986
2010/10/31,-52.06
2010/11/01,-28.689
2010/11/02,-36.782
2010/11/03,22.656
2010/11/04,-18.966
2010/11/05,102.727
2010/11/06,12.102
2010/11/07,48.936
2010/11/08,7.623
2010/11/09,9.091
2010/11/10,-7.619
2010/11/11,-26.667
2010/11/12,-39.062
2010/11/13,-38.144
2010/11/14,-9.091
2010/11/15,3892
2010/11/16,7323
2010/11/17,17.5
2010/11/18,-73.517
2010/11/19,6.444
2010/11/20,5014
2010/11/21,700.647
2010/11/22,-98.102
2010/11/23,-97.91
2010/11/24,-62.046
2010/11/25,2568
2010/11/26,457.214
2010/11/27,-92.95
2010/11/28,-94.127
2010/11/29,-78.125
2010/11/30,-4.906
2010/12/01,14.894
2010/12/02,11.02
2010/12/03,-22.619
2010/12/04,-41.667
2010/12/05,-28.309
2010/12/06,14.872
2010/12/07,76.72
2010/12/08,46.154
2010/12/09,17.411
2010/12/10,-32.335
2010/12/11,31.579
2010/12/12,79.468
2010/12/13,123.451
2010/12/14,28.533
2010/12/15,-5.508
2010/12/16,-29.109
2010/12/17,-38.589
2010/12/18,-24.215
2010/12/19,2.514
2010/12/20,161.149
2010/12/21,28.402
2010/12/22,36.785
2010/12/23,-51.617
2010/12/24,-11.751
2010/12/25,-7.171
2010/12/26,17.38
2010/12/27,-6.005
2010/12/28,5.579
2010/12/29,-20.729
2010/12/30,17.778
2010/12/31,-20.122
2011/01/01,37.356
2011/01/02,-7.075
2011/01/03,147.328
2011/01/04,75.314
2011/01/05,193.401
2011/01/06,-43.107
2011/01/07,2.148
2011/01/08,9.516
2011/01/09,91.682
2011/01/10,34.346
2011/01/11,-6.003
