Date,sentinusd7smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,2293
2010/07/24,2485
2010/07/25,2468
2010/07/26,2549
2010/07/27,2479
2010/07/28,2749
2010/07/29,2557
2010/07/30,2581
2010/07/31,2365
2010/08/01,4364
2010/08/02,4262
2010/08/03,4345
2010/08/04,4058
2010/08/05,4230
2010/08/06,4204
2010/08/07,4274
2010/08/08,2006
2010/08/09,2173
2010/08/10,2160
2010/08/11,2370
2010/08/12,2178
2010/08/13,2341
2010/08/14,2277
2010/08/15,2348
2010/08/16,2247
2010/08/17,2397
2010/08/18,2269
2010/08/19,2310
2010/08/20,2261
2010/08/21,2474
2010/08/22,2505
2010/08/23,2050
2010/08/24,1761
2010/08/25,1542
2010/08/26,1477
2010/08/27,1462
2010/08/28,1251
2010/08/29,1139
2010/08/30,1101
2010/08/31,1261
2010/09/01,1368
2010/09/02,1546
2010/09/03,1541
2010/09/04,1653
2010/09/05,2790
2010/09/06,3333
2010/09/07,3137
2010/09/08,3035
2010/09/09,3025
2010/09/10,2889
2010/09/11,2716
2010/09/12,1664
2010/09/13,2032
2010/09/14,2141
2010/09/15,2336
2010/09/16,2344
2010/09/17,2864
2010/09/18,3146
2010/09/19,3434
2010/09/20,2763
2010/09/21,2744
2010/09/22,2791
2010/09/23,3610
2010/09/24,3137
2010/09/25,3029
2010/09/26,2777
2010/09/27,2704
2010/09/28,3178
2010/09/29,3610
2010/09/30,2853
2010/10/01,3197
2010/10/02,6135
2010/10/03,6599
2010/10/04,11167
2010/10/05,12144
2010/10/06,12393
2010/10/07,13210
2010/10/08,14377
2010/10/09,13518
2010/10/10,14455
2010/10/11,10320
2010/10/12,9674
2010/10/13,10203
2010/10/14,11642
2010/10/15,12104
2010/10/16,12605
2010/10/17,12585
2010/10/18,15048
2010/10/19,17732
2010/10/20,18963
2010/10/21,19056
2010/10/22,18857
2010/10/23,16670
2010/10/24,16758
2010/10/25,15946
2010/10/26,15878
2010/10/27,17922
2010/10/28,19997
2010/10/29,20325
2010/10/30,21282
2010/10/31,21404
