Date,mining_profitability3roc
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,179.868
2010/07/21,14.67
2010/07/22,-30.496
2010/07/23,-25.968
2010/07/24,-28.469
2010/07/25,-4.125
2010/07/26,-9.404
2010/07/27,-39.81
2010/07/28,-24.457
2010/07/29,-3.882
2010/07/30,38.811
2010/07/31,22.802
2010/08/01,-1.904
2010/08/02,-9.774
2010/08/03,-21.236
2010/08/04,-3.205
2010/08/05,-16.854
2010/08/06,-39.09
2010/08/07,-32.641
2010/08/08,-7.697
2010/08/09,27.186
2010/08/10,11.358
2010/08/11,3.22
2010/08/12,6.186
2010/08/13,-9.369
2010/08/14,12.645
2010/08/15,-38.719
2010/08/16,-29.305
2010/08/17,-44.43
2010/08/18,16.75
2010/08/19,3.488
2010/08/20,25.543
2010/08/21,-11.139
2010/08/22,6.238
2010/08/23,-16.705
2010/08/24,4.942
2010/08/25,-10.08
2010/08/26,-3.746
2010/08/27,-26.603
2010/08/28,-21.099
2010/08/29,-16.602
2010/08/30,8.591
2010/08/31,8.611
2010/09/01,-11.4
2010/09/02,-2.659
2010/09/03,-6.255
2010/09/04,13.753
2010/09/05,-4.203
2010/09/06,-4.492
2010/09/07,-1.607
2010/09/08,-3.484
2010/09/09,-21.149
2010/09/10,-6.275
2010/09/11,-8.768
2010/09/12,17.21
2010/09/13,-11.409
2010/09/14,13.813
2010/09/15,-9.596
2010/09/16,15.674
2010/09/17,-16.25
2010/09/18,11.451
2010/09/19,-34.026
2010/09/20,-17.196
2010/09/21,-30.229
2010/09/22,6.501
2010/09/23,20.013
2010/09/24,5.547
2010/09/25,-8.016
2010/09/26,-13.519
2010/09/27,6.5
2010/09/28,-4.446
2010/09/29,-41.459
2010/09/30,-33.42
2010/10/01,-24.301
2010/10/02,-7.457
2010/10/03,9.908
2010/10/04,11.422
2010/10/05,15.679
2010/10/06,6.839
2010/10/07,-8.103
2010/10/08,29.953
2010/10/09,24.061
2010/10/10,63.181
2010/10/11,18.622
2010/10/12,-1.488
2010/10/13,-1.092
2010/10/14,23.803
2010/10/15,1.964
2010/10/16,15.314
2010/10/17,-12.982
