Date,hashrate7wma
2010/07/17,1719076358
2010/07/18,1771453082
2010/07/19,1775371401
2010/07/20,1763252709
2010/07/21,1761621545
2010/07/22,1741878870
2010/07/23,1712975803
2010/07/24,1676855093
2010/07/25,1741015361
2010/07/26,1871592465
2010/07/27,2028928389
2010/07/28,2039065356
2010/07/29,2077325178
2010/07/30,2125193795
2010/07/31,2175169152
2010/08/01,2305287962
2010/08/02,2485922301
2010/08/03,2619962690
2010/08/04,2696162824
2010/08/05,2844110176
2010/08/06,2968956397
2010/08/07,2909994771
2010/08/08,2968802910
2010/08/09,3092176534
2010/08/10,3166777103
2010/08/11,3335172414
2010/08/12,3498166150
2010/08/13,3643822407
2010/08/14,3833716389
2010/08/15,4365500051
2010/08/16,4284697058
2010/08/17,4150061541
2010/08/18,3952312734
2010/08/19,3802338465
2010/08/20,3834662443
2010/08/21,3991931701
2010/08/22,4212540238
2010/08/23,4572328307
2010/08/24,4876088284
2010/08/25,5166158038
2010/08/26,5326357548
2010/08/27,5511995947
2010/08/28,5560722994
2010/08/29,5453558376
2010/08/30,5260645142
2010/08/31,5242398744
2010/09/01,5239809117
2010/09/02,5125193813
2010/09/03,5054615403
2010/09/04,5119536543
2010/09/05,5186584479
2010/09/06,5178600145
2010/09/07,5078264394
2010/09/08,5175561500
2010/09/09,5250436483
2010/09/10,5361067758
2010/09/11,5524599524
2010/09/12,5711006975
2010/09/13,5892127849
2010/09/14,6115788993
2010/09/15,6246600828
2010/09/16,6451200470
2010/09/17,6825631461
2010/09/18,7163647808
2010/09/19,7935199508
2010/09/20,8457727876
2010/09/21,8652371046
2010/09/22,8569910909
2010/09/23,8763420772
2010/09/24,9275957423
2010/09/25,9527051654
2010/09/26,9480094812
2010/09/27,9682109706
2010/09/28,10032607865
2010/09/29,10753457331
2010/09/30,10567021451
2010/10/01,10543433010
2010/10/02,10005894604
2010/10/03,9286549454
2010/10/04,9105933966
2010/10/05,8914636391
2010/10/06,8966854732
2010/10/07,9469816883
2010/10/08,9797037393
2010/10/09,10039547083
2010/10/10,10393134269
2010/10/11,10648498167
2010/10/12,10781408254
2010/10/13,10971024711
2010/10/14,11458497184
2010/10/15,11982895856
2010/10/16,12796702522
2010/10/17,14550587258
2010/10/18,15683056825
2010/10/19,16186413388
2010/10/20,16772906446
2010/10/21,18675058585
2010/10/22,18647952333
2010/10/23,18677962267
2010/10/24,18843926248
2010/10/25,19813680372
2010/10/26,21069765960
2010/10/27,22150003600
2010/10/28,22461967777
2010/10/29,23275151454
2010/10/30,24126155872
2010/10/31,26584139158
2010/11/01,27019676402
2010/11/02,27312737688
2010/11/03,27959267936
2010/11/04,28672965685
2010/11/05,29743574858
2010/11/06,30514886963
2010/11/07,32193756693
2010/11/08,34282007698
2010/11/09,37957825771
2010/11/10,40048789941
2010/11/11,43438907522
2010/11/12,44078516846
2010/11/13,44602777624
2010/11/14,47413593903
2010/11/15,48444990314
2010/11/16,47388331953
2010/11/17,48650042152
2010/11/18,52496628572
2010/11/19,57177844454
2010/11/20,54304934970
2010/11/21,52387907280
2010/11/22,52390959033
2010/11/23,52078919766
2010/11/24,52724348802
2010/11/25,52738133508
2010/11/26,56325251640
2010/11/27,59567783830
2010/11/28,59899419881
2010/11/29,61926253431
2010/11/30,66192371640
2010/12/01,68538743894
2010/12/02,71671285441
2010/12/03,73477620434
2010/12/04,77263277922
2010/12/05,82201257511
2010/12/06,86787812450
2010/12/07,89187427906
2010/12/08,92015877492
2010/12/09,95333234173
2010/12/10,98402437013
2010/12/11,99209980079
2010/12/12,101660020202
2010/12/13,101216232264
2010/12/14,99876023622
2010/12/15,102259747982
2010/12/16,105102891114
2010/12/17,105877218978
2010/12/18,104380802114
2010/12/19,104181924993
2010/12/20,105446274939
2010/12/21,107223097544
2010/12/22,112514211977
2010/12/23,111047820383
2010/12/24,110593603130
2010/12/25,111671781311
2010/12/26,111061453824
2010/12/27,111140640816
2010/12/28,114446922711
2010/12/29,116309126450
2010/12/30,117330192643
2010/12/31,118558239247
2011/01/01,120586395154
2011/01/02,123211969765
2011/01/03,126883223324
2011/01/04,125155925198
2011/01/05,124057113422
2011/01/06,124838374609
2011/01/07,123250164205
2011/01/08,127853070604
2011/01/09,127740771273
2011/01/10,130704221391
2011/01/11,131847756420
2011/01/12,133622407914
2011/01/13,136645338073
2011/01/14,139372820694
2011/01/15,142624562825
2011/01/16,146840517637
2011/01/17,150861210435
2011/01/18,151203381002
2011/01/19,150754988369
2011/01/20,152770793896
2011/01/21,158191096027
2011/01/22,155768616400
2011/01/23,156828456971
2011/01/24,157862676125
2011/01/25,156616691053
2011/01/26,159338688499
2011/01/27,163405090220
2011/01/28,166347861396
2011/01/29,167666791803
2011/01/30,171067560951
2011/01/31,170890749885
2011/02/01,177416367466
2011/02/02,177770471440
2011/02/03,176459067305
2011/02/04,181208362847
2011/02/05,188926703520
2011/02/06,191554107660
2011/02/07,196466560464
2011/02/08,207362352485
2011/02/09,215502082666
2011/02/10,224491324680
2011/02/11,230906899903
2011/02/12,237971935930
2011/02/13,244199968724
2011/02/14,248689584888
2011/02/15,254717237793
2011/02/16,264360336529
2011/02/17,279552628066
2011/02/18,304898464064
2011/02/19,316278883216
2011/02/20,325340164495
