Date,sentbyaddress3trx
2010/07/17,-11.46
2010/07/18,-17.987
2010/07/19,-19.672
2010/07/20,-17.901
2010/07/21,-16.894
2010/07/22,-15.722
2010/07/23,-13.91
2010/07/24,-6.506
2010/07/25,25.106
2010/07/26,7.975
2010/07/27,-3.322
2010/07/28,-9.774
2010/07/29,-11.882
2010/07/30,-13.128
2010/07/31,-13.533
2010/08/01,-10.678
2010/08/02,-7.109
2010/08/03,4.766
2010/08/04,6.479
2010/08/05,7.494
2010/08/06,1.703
2010/08/07,-5.42
2010/08/08,-4.796
2010/08/09,-1.092
2010/08/10,-3.112
2010/08/11,-2.567
2010/08/12,-1.927
2010/08/13,4.65
2010/08/14,2.082
2010/08/15,-4.554
2010/08/16,-0.73
2010/08/17,-1.576
2010/08/18,-0.158
2010/08/19,-2.077
2010/08/20,-0.324
2010/08/21,-0.774
2010/08/22,-1.475
2010/08/23,-0.688
2010/08/24,-0.587
2010/08/25,-0.479
2010/08/26,-1.243
2010/08/27,-3.856
2010/08/28,-2.864
2010/08/29,-4.27
2010/08/30,-1.813
2010/08/31,3.24
2010/09/01,4.601
2010/09/02,-0.008
2010/09/03,-0.748
2010/09/04,-3.444
2010/09/05,-2.564
2010/09/06,-2.809
2010/09/07,-3.42
2010/09/08,-0.7
2010/09/09,1.556
2010/09/10,2.335
2010/09/11,0.833
2010/09/12,3.711
2010/09/13,8.512
2010/09/14,6.759
2010/09/15,5.869
2010/09/16,2.442
2010/09/17,-1.2
2010/09/18,-2.314
2010/09/19,-3.232
2010/09/20,1.84
2010/09/21,20.111
2010/09/22,20.28
2010/09/23,12.159
2010/09/24,3.702
2010/09/25,0.005
2010/09/26,-4.983
2010/09/27,-1.73
2010/09/28,-3.483
2010/09/29,6.287
2010/09/30,-0.219
2010/10/01,-0.186
2010/10/02,-0.494
2010/10/03,-2.928
2010/10/04,-4.143
2010/10/05,-4.236
2010/10/06,-4.123
2010/10/07,-5.811
2010/10/08,-5.23
2010/10/09,-2.634
2010/10/10,-1.927
2010/10/11,-2.315
2010/10/12,-1.668
2010/10/13,-0.621
2010/10/14,-0.583
2010/10/15,-1.125
2010/10/16,1.29
2010/10/17,3.432
2010/10/18,8.911
2010/10/19,23.163
2010/10/20,17.422
2010/10/21,7.05
2010/10/22,2.628
2010/10/23,-0.892
2010/10/24,-2.338
2010/10/25,-5.533
2010/10/26,-3.984
2010/10/27,-0.485
2010/10/28,-0.412
2010/10/29,-2.767
2010/10/30,-5.604
2010/10/31,-9.263
2010/11/01,-9.518
2010/11/02,-10.301
2010/11/03,-7.684
2010/11/04,-5.323
2010/11/05,0.193
2010/11/06,2.212
2010/11/07,3.382
2010/11/08,4.935
2010/11/09,2.086
2010/11/10,0.502
2010/11/11,-1.128
2010/11/12,-5.094
2010/11/13,-5.079
2010/11/14,-1.731
2010/11/15,127.629
2010/11/16,67.679
2010/11/17,12.594
2010/11/18,-6.72
2010/11/19,-15.464
2010/11/20,-16.729
2010/11/21,-15.929
2010/11/22,-16.035
2010/11/23,-15.298
2010/11/24,-9.973
2010/11/25,-3.197
2010/11/26,7.045
2010/11/27,2.27
2010/11/28,-1.747
2010/11/29,-3.781
2010/11/30,-3.564
2010/12/01,-0.612
2010/12/02,-1.267
2010/12/03,-3.514
2010/12/04,-3.344
2010/12/05,-2.662
2010/12/06,-0.903
2010/12/07,4.23
2010/12/08,4.669
2010/12/09,2.448
2010/12/10,-1.422
2010/12/11,3.213
2010/12/12,6.914
2010/12/13,7.765
2010/12/14,7.207
2010/12/15,5.331
2010/12/16,0.649
2010/12/17,-3.639
2010/12/18,-4.137
2010/12/19,-2.839
2010/12/20,6.459
2010/12/21,5.734
2010/12/22,4.154
2010/12/23,1.237
2010/12/24,-1.839
2010/12/25,0.223
2010/12/26,0.913
2010/12/27,-1.464
2010/12/28,-0.158
2010/12/29,-1.827
2010/12/30,-1.216
2010/12/31,-1.329
2011/01/01,1.428
2011/01/02,0.538
2011/01/03,4.307
2011/01/04,4.123
2011/01/05,6.074
2011/01/06,2.326
2011/01/07,2.033
2011/01/08,5.825
2011/01/09,5.329
2011/01/10,4.634
2011/01/11,4.236
2011/01/12,1.108
2011/01/13,0.438
2011/01/14,-0.156
2011/01/15,0.349
2011/01/16,0.963
2011/01/17,-0.065
2011/01/18,-0.433
2011/01/19,0.716
2011/01/20,1.151
2011/01/21,4.26
2011/01/22,7.402
2011/01/23,4.792
2011/01/24,4.984
2011/01/25,-0.098
2011/01/26,-2.274
2011/01/27,-3.882
2011/01/28,-1.475
2011/01/29,3.292
2011/01/30,16.911
2011/01/31,10.102
2011/02/01,1.153
2011/02/02,-4.888
2011/02/03,-8.382
2011/02/04,-7.904
2011/02/05,-7.236
2011/02/06,-5.618
2011/02/07,-4.073
2011/02/08,-2.881
2011/02/09,4.304
2011/02/10,19.138
2011/02/11,24.31
2011/02/12,16.233
2011/02/13,8.805
2011/02/14,5.642
2011/02/15,4.696
2011/02/16,2.371
2011/02/17,2.594
2011/02/18,2.066
2011/02/19,-1.549
2011/02/20,-1.532
2011/02/21,-0.463
2011/02/22,1.708
2011/02/23,3.182
2011/02/24,2.581
2011/02/25,1.012
2011/02/26,-0.773
2011/02/27,-0.051
2011/02/28,-2.044
2011/03/01,3.693
2011/03/02,1.968
2011/03/03,6.223
2011/03/04,1.721
2011/03/05,-1.077
2011/03/06,-2.431
2011/03/07,-2.831
2011/03/08,0.674
2011/03/09,0.196
2011/03/10,-1.95
2011/03/11,-2.801
2011/03/12,-2.059
2011/03/13,-2.295
2011/03/14,-3.869
2011/03/15,-1.017
2011/03/16,-0.233
2011/03/17,0.992
2011/03/18,0.502
2011/03/19,1.015
2011/03/20,7.682
2011/03/21,8.824
2011/03/22,4.693
2011/03/23,10.374
2011/03/24,4.743
2011/03/25,0.134
2011/03/26,0.61
2011/03/27,1.34
2011/03/28,1.881
2011/03/29,1.15
2011/03/30,-2.463
2011/03/31,-2.726
2011/04/01,-5.097
2011/04/02,-5.352
2011/04/03,-4.275
2011/04/04,-0.206
2011/04/05,1.362
2011/04/06,0.353
2011/04/07,-1.887
2011/04/08,-2.381
2011/04/09,-2.033
2011/04/10,-1.832
2011/04/11,-0.234
2011/04/12,1.548
2011/04/13,3.488
2011/04/14,10.563
2011/04/15,4.663
2011/04/16,0.606
2011/04/17,-0.313
2011/04/18,2.791
2011/04/19,6.84
2011/04/20,4.679
2011/04/21,-0.675
2011/04/22,-3.264
2011/04/23,-2.641
2011/04/24,-2.208
2011/04/25,0.051
2011/04/26,4.594
2011/04/27,10.121
2011/04/28,6.807
2011/04/29,5.199
2011/04/30,7.096
2011/05/01,5.582
2011/05/02,0.913
2011/05/03,-1.61
2011/05/04,-2.374
2011/05/05,-0.507
2011/05/06,0.832
2011/05/07,2.175
2011/05/08,0.204
2011/05/09,0.795
2011/05/10,0.329
2011/05/11,-0.242
2011/05/12,-0.093
2011/05/13,2.956
2011/05/14,5.376
2011/05/15,4.123
2011/05/16,5.531
2011/05/17,5.608
2011/05/18,7.454
2011/05/19,5.509
2011/05/20,3.634
2011/05/21,2.584
2011/05/22,2.315
2011/05/23,2.771
2011/05/24,3.541
2011/05/25,4.481
2011/05/26,5.083
2011/05/27,0.646
2011/05/28,-1.558
2011/05/29,-2.73
2011/05/30,-1.243
2011/05/31,1.07
2011/06/01,3.226
2011/06/02,4.951
2011/06/03,7.347
2011/06/04,8.516
2011/06/05,6.933
2011/06/06,6.91
2011/06/07,4.685
2011/06/08,7.008
2011/06/09,8.345
2011/06/10,6.307
2011/06/11,3.823
2011/06/12,3.877
2011/06/13,2.625
2011/06/14,4.139
2011/06/15,3.348
2011/06/16,2.637
2011/06/17,0.548
2011/06/18,-0.767
2011/06/19,-0.757
2011/06/20,-1.186
2011/06/21,-2.214
2011/06/22,-1.117
2011/06/23,-1.298
2011/06/24,-1.035
2011/06/25,-1.824
2011/06/26,-2.189
2011/06/27,0.672
2011/06/28,1.091
2011/06/29,-0.226
2011/06/30,-1.334
2011/07/01,-1.457
2011/07/02,-3.46
2011/07/03,-3.754
2011/07/04,-1.918
2011/07/05,-0.82
2011/07/06,1.111
2011/07/07,-0.158
2011/07/08,-1.144
2011/07/09,-2.781
2011/07/10,-3.017
2011/07/11,0.015
2011/07/12,-0.355
2011/07/13,0.489
2011/07/14,0.736
2011/07/15,-0.716
2011/07/16,-0.614
2011/07/17,-1.116
2011/07/18,-0.279
2011/07/19,0.342
2011/07/20,0.474
2011/07/21,-0.604
2011/07/22,-0.077
