Date,transactionvalue3trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-8.815
2010/07/25,-14.069
2010/07/26,10.007
2010/07/27,7.581
2010/07/28,-3.629
2010/07/29,-13.926
2010/07/30,-8.772
2010/07/31,-3.972
2010/08/01,153.421
2010/08/02,39.793
2010/08/03,3.784
2010/08/04,-9.06
2010/08/05,-14.018
2010/08/06,-17.11
2010/08/07,-14.351
2010/08/08,-17.093
2010/08/09,3.398
2010/08/10,6.552
2010/08/11,7.711
2010/08/12,-3.657
2010/08/13,-7.307
2010/08/14,-11.823
2010/08/15,-11.468
2010/08/16,7.212
2010/08/17,19.418
2010/08/18,11.054
2010/08/19,-0.272
2010/08/20,-5.321
2010/08/21,-1.324
2010/08/22,-5.352
2010/08/23,-9.224
2010/08/24,-9.695
2010/08/25,-10.466
2010/08/26,-11.161
2010/08/27,1.603
2010/08/28,0.085
2010/08/29,-5.888
2010/08/30,-7.236
2010/08/31,3.999
2010/09/01,7.354
2010/09/02,13.241
2010/09/03,10.44
2010/09/04,9.714
2010/09/05,56.866
2010/09/06,35.009
2010/09/07,4.792
2010/09/08,-9.313
2010/09/09,-11.954
2010/09/10,-16.292
2010/09/11,-19.273
2010/09/12,-18.411
2010/09/13,17.566
2010/09/14,8.385
2010/09/15,1.48
2010/09/16,-3.365
2010/09/17,9.429
2010/09/18,4.93
2010/09/19,4.473
2010/09/20,-1.398
2010/09/21,-10.396
2010/09/22,-11.976
2010/09/23,5.683
2010/09/24,-2.801
2010/09/25,-7.904
2010/09/26,-9.798
2010/09/27,-9.708
2010/09/28,10.129
2010/09/29,9.132
2010/09/30,7.528
2010/10/01,3.829
2010/10/02,79.146
2010/10/03,28.695
2010/10/04,70.246
2010/10/05,28.105
2010/10/06,4.619
2010/10/07,-3.023
2010/10/08,-2.203
2010/10/09,3.016
2010/10/10,1.721
2010/10/11,-6.055
2010/10/12,-8.161
2010/10/13,-3.37
2010/10/14,9.602
2010/10/15,12.673
2010/10/16,10.461
2010/10/17,0.35
2010/10/18,-0.434
