Date,hashrate3trx
2010/07/17,31.655
2010/07/18,14.367
2010/07/19,4.89
2010/07/20,1.182
2010/07/21,0.39
2010/07/22,0.151
2010/07/23,0.159
2010/07/24,-0.201
2010/07/25,1.38
2010/07/26,4.503
2010/07/27,6.873
2010/07/28,3.68
2010/07/29,2.066
2010/07/30,1.765
2010/07/31,1.996
2010/08/01,4.305
2010/08/02,6.753
2010/08/03,6.394
2010/08/04,4.196
2010/08/05,4.344
2010/08/06,4.304
2010/08/07,1.057
2010/08/08,1.266
2010/08/09,2.995
2010/08/10,3.042
2010/08/11,4.221
2010/08/12,4.77
2010/08/13,4.403
2010/08/14,4.512
2010/08/15,9.395
2010/08/16,3.949
2010/08/17,-0.551
2010/08/18,-3.321
2010/08/19,-3.827
2010/08/20,-1.203
2010/08/21,2.475
2010/08/22,5.039
2010/08/23,6.666
2010/08/24,6.319
2010/08/25,5.609
2010/08/26,3.962
2010/08/27,3.508
2010/08/28,2.224
2010/08/29,0.08
2010/08/30,-1.865
2010/08/31,-1.229
2010/09/01,-0.306
2010/09/02,-0.934
2010/09/03,-1.119
2010/09/04,-0.01
2010/09/05,0.676
2010/09/06,0.255
2010/09/07,-0.879
2010/09/08,0.305
2010/09/09,0.984
2010/09/10,1.666
2010/09/11,2.514
2010/09/12,3.004
2010/09/13,2.989
2010/09/14,3.242
2010/09/15,2.7
2010/09/16,2.876
2010/09/17,4.417
2010/09/18,4.942
2010/09/19,8.025
2010/09/20,7.575
2010/09/21,4.564
2010/09/22,1.105
2010/09/23,1.16
2010/09/24,3.781
2010/09/25,3.887
2010/09/26,1.917
2010/09/27,1.688
2010/09/28,2.449
2010/09/29,4.885
2010/09/30,1.873
2010/10/01,0.475
2010/10/02,-2.606
2010/10/03,-5.356
2010/10/04,-3.881
2010/10/05,-2.253
2010/10/06,-0.135
2010/10/07,2.92
2010/10/08,3.403
2010/10/09,2.459
2010/10/10,2.445
2010/10/11,2.383
2010/10/12,1.777
2010/10/13,1.786
2010/10/14,3.299
2010/10/15,4.178
2010/10/16,5.585
2010/10/17,9.961
2010/10/18,9.192
2010/10/19,5.636
2010/10/20,3.903
2010/10/21,7.498
2010/10/22,3.972
2010/10/23,1.689
2010/10/24,1.204
2010/10/25,3.192
2010/10/26,5.151
2010/10/27,5.545
2010/10/28,3.547
2010/10/29,2.959
2010/10/30,3.079
2010/10/31,6.815
2010/11/01,4.737
2010/11/02,2.594
2010/11/03,2.084
2010/11/04,2.151
2010/11/05,3.067
2010/11/06,3.141
2010/11/07,4.579
2010/11/08,5.601
2010/11/09,8.266
2010/11/10,7.024
2010/11/11,7.464
2010/11/12,4.213
2010/11/13,2.103
2010/11/14,4.048
2010/11/15,3.562
2010/11/16,0.771
2010/11/17,1.373
2010/11/18,4.912
2010/11/19,7.433
2010/11/20,1.104
2010/11/21,-2.129
2010/11/22,-1.718
2010/11/23,-1.045
2010/11/24,0.662
2010/11/25,1.095
2010/11/26,4.085
2010/11/27,4.825
2010/11/28,2.421
2010/11/29,2.425
2010/11/30,4.63
2010/12/01,4.418
2010/12/02,4.483
2010/12/03,3.565
2010/12/04,4.16
2010/12/05,5.263
2010/12/06,5.635
2010/12/07,4.245
2010/12/08,3.41
2010/12/09,3.359
2010/12/10,3.277
2010/12/11,2.116
2010/12/12,2.253
2010/12/13,0.966
2010/12/14,-0.378
2010/12/15,0.886
2010/12/16,2.182
2010/12/17,1.71
2010/12/18,0.015
2010/12/19,-0.37
2010/12/20,0.27
2010/12/21,1.109
2010/12/22,3.356
2010/12/23,1.324
2010/12/24,-0.004
2010/12/25,0.108
2010/12/26,-0.192
2010/12/27,0.027
2010/12/28,1.713
2010/12/29,2.054
2010/12/30,1.31
2010/12/31,0.941
2011/01/01,1.22
2011/01/02,1.704
2011/01/03,2.473
2011/01/04,0.707
2011/01/05,-0.396
2011/01/06,-0.099
2011/01/07,-0.58
2011/01/08,1.636
2011/01/09,1.212
2011/01/10,1.713
2011/01/11,1.171
2011/01/12,1.064
2011/01/13,1.629
2011/01/14,1.886
2011/01/15,2.263
2011/01/16,2.6
2011/01/17,2.699
2011/01/18,1.355
