Date,sentbyaddress14mom
2010/07/17,156
2010/07/18,244
2010/07/19,353
2010/07/20,464
2010/07/21,254
2010/07/22,223
2010/07/23,189
2010/07/24,456
2010/07/25,1429
2010/07/26,-2162
2010/07/27,-1006
2010/07/28,-5737
2010/07/29,-842
2010/07/30,-808
2010/07/31,-127
2010/08/01,-93
2010/08/02,-218
2010/08/03,-36
2010/08/04,25
2010/08/05,132
2010/08/06,-36
2010/08/07,-400
2010/08/08,-1406
2010/08/09,34
2010/08/10,-120
2010/08/11,19
2010/08/12,-14
2010/08/13,236
2010/08/14,92
2010/08/15,-105
2010/08/16,114
2010/08/17,-276
2010/08/18,-78
2010/08/19,-243
2010/08/20,16
2010/08/21,87
2010/08/22,-63
2010/08/23,-90
2010/08/24,37
2010/08/25,-24
2010/08/26,-39
2010/08/27,-276
2010/08/28,-44
2010/08/29,15
2010/08/30,-133
2010/08/31,67
2010/09/01,-22
2010/09/02,-42
2010/09/03,-70
2010/09/04,-90
2010/09/05,-28
2010/09/06,-92
2010/09/07,-91
2010/09/08,-32
2010/09/09,-1
2010/09/10,59
2010/09/11,-31
2010/09/12,132
2010/09/13,141
2010/09/14,1
2010/09/15,65
2010/09/16,104
2010/09/17,4
2010/09/18,96
2010/09/19,15
2010/09/20,198
2010/09/21,654
2010/09/22,476
2010/09/23,350
2010/09/24,218
2010/09/25,283
2010/09/26,14
2010/09/27,192
2010/09/28,41
2010/09/29,482
2010/09/30,17
2010/10/01,294
2010/10/02,223
2010/10/03,144
2010/10/04,-2
2010/10/05,-445
2010/10/06,-347
2010/10/07,-316
2010/10/08,-138
2010/10/09,-123
2010/10/10,9
2010/10/11,-277
2010/10/12,-33
2010/10/13,-504
2010/10/14,8
2010/10/15,-241
2010/10/16,-106
2010/10/17,24
2010/10/18,188
2010/10/19,659
2010/10/20,407
2010/10/21,292
2010/10/22,318
2010/10/23,178
2010/10/24,230
2010/10/25,90
2010/10/26,224
2010/10/27,287
2010/10/28,205
2010/10/29,122
2010/10/30,-38
2010/10/31,-179
2010/11/01,-290
2010/11/02,-837
2010/11/03,-488
2010/11/04,-303
2010/11/05,-266
2010/11/06,-209
2010/11/07,-188
2010/11/08,25
2010/11/09,-227
2010/11/10,-285
2010/11/11,-214
2010/11/12,-223
2010/11/13,-83
2010/11/14,100
2010/11/15,3767
2010/11/16,2730
2010/11/17,99
2010/11/18,76
2010/11/19,-87
2010/11/20,201
2010/11/21,90
2010/11/22,-117
2010/11/23,-24
2010/11/24,134
2010/11/25,232
2010/11/26,599
2010/11/27,140
2010/11/28,80
2010/11/29,-3652
2010/11/30,-2508
2010/12/01,136
2010/12/02,65
2010/12/03,53
2010/12/04,-151
2010/12/05,-74
2010/12/06,123
2010/12/07,275
2010/12/08,31
2010/12/09,-87
2010/12/10,-440
2010/12/11,234
2010/12/12,267
2010/12/13,297
2010/12/14,296
2010/12/15,183
2010/12/16,129
2010/12/17,104
2010/12/18,130
2010/12/19,166
2010/12/20,534
2010/12/21,118
2010/12/22,224
2010/12/23,184
2010/12/24,196
2010/12/25,123
2010/12/26,26
2010/12/27,-138
2010/12/28,-5
2010/12/29,-149
2010/12/30,112
2010/12/31,154
2011/01/01,234
2011/01/02,65
2011/01/03,-71
2011/01/04,83
2011/01/05,236
2011/01/06,67
2011/01/07,309
2011/01/08,368
2011/01/09,296
2011/01/10,498
2011/01/11,385
2011/01/12,351
2011/01/13,365
2011/01/14,373
2011/01/15,284
2011/01/16,445
2011/01/17,69
2011/01/18,209
2011/01/19,122
2011/01/20,362
2011/01/21,476
2011/01/22,395
2011/01/23,249
2011/01/24,459
2011/01/25,-99
2011/01/26,197
2011/01/27,-25
2011/01/28,298
2011/01/29,508
2011/01/30,1672
2011/01/31,647
2011/02/01,212
2011/02/02,-81
2011/02/03,-184
2011/02/04,-289
2011/02/05,-585
2011/02/06,-261
2011/02/07,-539
2011/02/08,-37
2011/02/09,417
2011/02/10,1567
2011/02/11,1625
2011/02/12,840
2011/02/13,-491
2011/02/14,844
2011/02/15,1415
2011/02/16,1331
2011/02/17,1800
2011/02/18,1518
2011/02/19,1021
2011/02/20,1384
2011/02/21,1476
2011/02/22,1765
2011/02/23,1317
2011/02/24,122
2011/02/25,-366
2011/02/26,-23
2011/02/27,451
2011/02/28,-320
2011/03/01,940
2011/03/02,167
2011/03/03,1177
2011/03/04,-132
2011/03/05,592
2011/03/06,124
2011/03/07,9
2011/03/08,452
2011/03/09,-244
2011/03/10,-395
2011/03/11,-192
2011/03/12,124
2011/03/13,-433
2011/03/14,-190
2011/03/15,-935
2011/03/16,-166
2011/03/17,-1313
2011/03/18,-90
2011/03/19,-2
2011/03/20,1331
2011/03/21,1101
2011/03/22,-242
2011/03/23,2466
2011/03/24,842
2011/03/25,672
2011/03/26,1278
2011/03/27,1496
2011/03/28,1914
2011/03/29,1023
2011/03/30,424
2011/03/31,707
2011/04/01,65
2011/04/02,85
2011/04/03,-1105
2011/04/04,-163
2011/04/05,228
2011/04/06,-2195
2011/04/07,-602
2011/04/08,-341
2011/04/09,-1073
2011/04/10,-1141
2011/04/11,-943
2011/04/12,-560
2011/04/13,605
2011/04/14,1687
2011/04/15,550
2011/04/16,439
2011/04/17,621
2011/04/18,812
2011/04/19,1737
2011/04/20,1145
2011/04/21,506
2011/04/22,474
2011/04/23,849
2011/04/24,734
2011/04/25,962
2011/04/26,1708
2011/04/27,2582
2011/04/28,-323
2011/04/29,2234
2011/04/30,3323
2011/05/01,2412
2011/05/02,333
2011/05/03,-285
2011/05/04,660
2011/05/05,2364
2011/05/06,2240
2011/05/07,2196
2011/05/08,1411
2011/05/09,1726
2011/05/10,397
2011/05/11,-837
2011/05/12,672
2011/05/13,1314
2011/05/14,565
2011/05/15,528
2011/05/16,3149
2011/05/17,3060
2011/05/18,4496
2011/05/19,2755
2011/05/20,2856
2011/05/21,2695
2011/05/22,3986
2011/05/23,3682
2011/05/24,4668
2011/05/25,5469
2011/05/26,5873
2011/05/27,1616
2011/05/28,1613
2011/05/29,1928
2011/05/30,1753
2011/05/31,2520
2011/06/01,1823
2011/06/02,3745
2011/06/03,5568
2011/06/04,6409
2011/06/05,5519
2011/06/06,6941
2011/06/07,4953
2011/06/08,8931
2011/06/09,9471
2011/06/10,10955
2011/06/11,10020
2011/06/12,12917
2011/06/13,10189
2011/06/14,13401
2011/06/15,10697
2011/06/16,10390
2011/06/17,6103
2011/06/18,4964
2011/06/19,6371
2011/06/20,3254
2011/06/21,3191
2011/06/22,838
2011/06/23,-2147
2011/06/24,-12
2011/06/25,-1253
2011/06/26,-3833
2011/06/27,1763
2011/06/28,-4228
2011/06/29,-3947
2011/06/30,-4948
2011/07/01,-2183
2011/07/02,-5393
2011/07/03,-5296
2011/07/04,-2292
2011/07/05,-1349
2011/07/06,-1867
2011/07/07,-2944
2011/07/08,-3498
2011/07/09,-3511
2011/07/10,-2941
2011/07/11,-3748
2011/07/12,-4671
2011/07/13,-1244
2011/07/14,-1173
2011/07/15,-3347
2011/07/16,1175
2011/07/17,-787
2011/07/18,-1345
2011/07/19,-822
2011/07/20,-2789
2011/07/21,-1122
2011/07/22,269
2011/07/23,-240
2011/07/24,110
2011/07/25,-1178
2011/07/26,339
2011/07/27,-1882
2011/07/28,-1224
2011/07/29,-770
2011/07/30,-4232
2011/07/31,162
2011/08/01,-1219
2011/08/02,-76
2011/08/03,-2114
2011/08/04,-233
2011/08/05,-2506
2011/08/06,-1820
2011/08/07,-2238
2011/08/08,-3490
2011/08/09,1069
2011/08/10,418
2011/08/11,-1135
2011/08/12,-858
2011/08/13,2259
2011/08/14,-798
2011/08/15,-85
2011/08/16,325
2011/08/17,-197
2011/08/18,-379
2011/08/19,9
2011/08/20,1145
2011/08/21,1206
2011/08/22,1062
2011/08/23,-2988
2011/08/24,-1896
2011/08/25,-944
2011/08/26,245
2011/08/27,-1960
2011/08/28,-3538
2011/08/29,-1065
2011/08/30,-2285
2011/08/31,-131
2011/09/01,-990
2011/09/02,-826
2011/09/03,-1749
2011/09/04,-417
2011/09/05,-1365
2011/09/06,1265
2011/09/07,-316
2011/09/08,-950
2011/09/09,-18
2011/09/10,-440
2011/09/11,1447
2011/09/12,-1308
2011/09/13,-2324
2011/09/14,-2086
2011/09/15,-1038
2011/09/16,-1582
2011/09/17,-1153
2011/09/18,-1972
2011/09/19,-871
2011/09/20,-1204
2011/09/21,-144
2011/09/22,-1181
2011/09/23,-2044
2011/09/24,-987
2011/09/25,-2001
2011/09/26,-2070
2011/09/27,-875
2011/09/28,-522
2011/09/29,-1860
2011/09/30,-605
2011/10/01,-391
2011/10/02,-1994
2011/10/03,-848
2011/10/04,-3122
2011/10/05,-2159
2011/10/06,-55
2011/10/07,-533
2011/10/08,-762
2011/10/09,-281
2011/10/10,198
2011/10/11,-32
