Date,sentinusd7rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,112.92
2010/07/25,-4.543
2010/07/26,13.865
2010/07/27,-20.956
2010/07/28,89.092
2010/07/29,-52.136
2010/07/30,14.56
2010/07/31,-59.644
2010/08/01,561.357
2010/08/02,-15.519
2010/08/03,31.29
2010/08/04,-50.009
2010/08/05,97.5
2010/08/06,-13.539
2010/08/07,47.667
2010/08/08,-96.262
2010/08/09,29.963
2010/08/10,-3.782
2010/08/11,73.475
2010/08/12,-55.416
2010/08/13,98.862
2010/08/14,-29.753
2010/08/15,81.545
2010/08/16,-13.997
2010/08/17,44.929
2010/08/18,-25.854
2010/08/19,26.746
2010/08/20,-14.87
2010/08/21,139.869
2010/08/22,19.522
2010/08/23,-73.262
2010/08/24,-59.549
2010/08/25,-59.537
2010/08/26,-33.173
2010/08/27,-5.326
2010/08/28,-57.931
2010/08/29,-58.599
2010/08/30,-22.947
2010/08/31,81.628
2010/09/01,72.06
2010/09/02,135.475
2010/09/03,-1.728
2010/09/04,72.964
2010/09/05,1437
2010/09/06,424.091
2010/09/07,-55.068
2010/09/08,-39.578
2010/09/09,-3.37
2010/09/10,-52.16
2010/09/11,-65.437
2010/09/12,-86.517
2010/09/13,54.831
2010/09/14,67.958
2010/09/15,126.027
2010/09/16,2.534
2010/09/17,418.695
2010/09/18,307.998
2010/09/19,175.404
2010/09/20,-64.53
2010/09/21,-7.227
2010/09/22,13.413
2010/09/23,267.869
2010/09/24,-73.367
2010/09/25,-28.927
2010/09/26,-55.873
2010/09/27,-19.647
2010/09/28,190.26
2010/09/29,108.853
2010/09/30,-67.332
2010/10/01,200.254
2010/10/02,1106
2010/10/03,232.764
2010/10/04,1542
2010/10/05,135.192
2010/10/06,29.991
2010/10/07,222.307
2010/10/08,226.383
2010/10/09,-26.828
2010/10/10,141.447
2010/10/11,-85.018
2010/10/12,-38.004
2010/10/13,49.019
2010/10/14,121.536
2010/10/15,27.437
2010/10/16,21.36
2010/10/17,-1.229
2010/10/18,337.919
2010/10/19,254.823
