Date,transactionvalue30varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,60.044
2010/08/16,60.125
2010/08/17,60.731
2010/08/18,60.687
2010/08/19,60.642
2010/08/20,60.637
2010/08/21,60.671
2010/08/22,60.494
2010/08/23,60.421
2010/08/24,59.813
2010/08/25,59.863
2010/08/26,60.221
2010/08/27,59.604
2010/08/28,58.842
2010/08/29,59.286
2010/08/30,59.453
2010/08/31,7.352
2010/09/01,6.599
2010/09/02,6.649
2010/09/03,6.655
2010/09/04,6.743
2010/09/05,22.433
2010/09/06,26.285
2010/09/07,25.715
2010/09/08,24.914
2010/09/09,24.898
2010/09/10,25.122
2010/09/11,25.274
2010/09/12,25.475
2010/09/13,28.807
2010/09/14,28.672
2010/09/15,28.258
2010/09/16,27.614
2010/09/17,28.965
2010/09/18,28.836
2010/09/19,28.957
2010/09/20,28.941
2010/09/21,29.283
2010/09/22,29.109
2010/09/23,29.867
2010/09/24,29.989
2010/09/25,29.747
2010/09/26,30.063
2010/09/27,30.004
2010/09/28,29.753
2010/09/29,29.208
2010/09/30,29.152
2010/10/01,29.003
2010/10/02,74.905
2010/10/03,75.174
2010/10/04,256.825
2010/10/05,262.638
2010/10/06,263.352
2010/10/07,266.833
2010/10/08,277.325
2010/10/09,300.722
2010/10/10,304.726
2010/10/11,298.97
2010/10/12,294.464
2010/10/13,301.584
2010/10/14,331.838
2010/10/15,350.577
2010/10/16,363.911
2010/10/17,361.906
2010/10/18,363.863
2010/10/19,358.81
2010/10/20,349.136
2010/10/21,336.612
2010/10/22,322.326
2010/10/23,325.39
2010/10/24,308.248
2010/10/25,297.469
2010/10/26,293.581
