Date,transactions3mom
2010/07/17,-5319
2010/07/18,-458
2010/07/19,-322
2010/07/20,178
2010/07/21,8
2010/07/22,-133
2010/07/23,-196
2010/07/24,449
2010/07/25,1371
2010/07/26,7
2010/07/27,-445
2010/07/28,200
2010/07/29,1463
2010/07/30,-117
2010/07/31,-1700
2010/08/01,-1562
2010/08/02,13
2010/08/03,329
2010/08/04,71
2010/08/05,141
2010/08/06,-209
2010/08/07,-78
2010/08/08,-105
2010/08/09,22
2010/08/10,31
2010/08/11,-13
2010/08/12,-59
2010/08/13,152
2010/08/14,-26
2010/08/15,-67
2010/08/16,5
2010/08/17,36
2010/08/18,136
2010/08/19,-116
2010/08/20,41
2010/08/21,-75
2010/08/22,-36
2010/08/23,-74
2010/08/24,-5
2010/08/25,-5
2010/08/26,2
2010/08/27,-41
2010/08/28,20
2010/08/29,-60
2010/08/30,57
2010/08/31,88
2010/09/01,125
2010/09/02,-15
2010/09/03,-102
2010/09/04,-130
2010/09/05,-19
2010/09/06,-35
2010/09/07,29
2010/09/08,28
2010/09/09,69
2010/09/10,61
2010/09/11,-29
2010/09/12,13
2010/09/13,82
2010/09/14,76
2010/09/15,59
2010/09/16,-46
2010/09/17,-68
2010/09/18,-99
2010/09/19,-73
2010/09/20,109
2010/09/21,476
2010/09/22,353
2010/09/23,159
2010/09/24,-365
2010/09/25,-174
2010/09/26,-226
2010/09/27,101
2010/09/28,-46
2010/09/29,616
2010/09/30,-155
2010/10/01,151
2010/10/02,-410
2010/10/03,36
2010/10/04,-176
2010/10/05,-156
2010/10/06,-19
2010/10/07,-74
2010/10/08,-36
2010/10/09,7
2010/10/10,5
2010/10/11,-26
2010/10/12,-46
2010/10/13,3
2010/10/14,-21
2010/10/15,-46
2010/10/16,-5
2010/10/17,25
2010/10/18,179
2010/10/19,485
2010/10/20,262
2010/10/21,36
2010/10/22,-220
2010/10/23,-107
2010/10/24,-19
2010/10/25,-241
2010/10/26,-65
2010/10/27,8
2010/10/28,60
2010/10/29,-33
2010/10/30,-181
2010/10/31,-139
2010/11/01,-70
2010/11/02,-64
2010/11/03,29
2010/11/04,-33
2010/11/05,113
2010/11/06,19
2010/11/07,69
2010/11/08,17
2010/11/09,16
2010/11/10,-16
2010/11/11,-64
2010/11/12,-75
2010/11/13,-74
2010/11/14,-16
2010/11/15,4554
2010/11/16,8788
2010/11/17,28
2010/11/18,-3434
2010/11/19,574
2010/11/20,9427
2010/11/21,8667
2010/11/22,-9302
2010/11/23,-9414
2010/11/24,-6145
2010/11/25,4622
2010/11/26,919
2010/11/27,-3494
2010/11/28,-4520
2010/11/29,-875
2010/11/30,-13
2010/12/01,42
2010/12/02,27
2010/12/03,-57
2010/12/04,-135
2010/12/05,-77
2010/12/06,29
2010/12/07,145
2010/12/08,90
2010/12/09,39
2010/12/10,-108
2010/12/11,90
2010/12/12,209
2010/12/13,279
2010/12/14,107
2010/12/15,-26
2010/12/16,-147
2010/12/17,-186
2010/12/18,-108
2010/12/19,9
2010/12/20,477
2010/12/21,96
2010/12/22,135
2010/12/23,-399
2010/12/24,-51
2010/12/25,-36
2010/12/26,65
2010/12/27,-23
2010/12/28,26
2010/12/29,-91
2010/12/30,64
2010/12/31,-99
2011/01/01,130
2011/01/02,-30
2011/01/03,579
2011/01/04,360
2011/01/05,762
2011/01/06,-419
2011/01/07,18
2011/01/08,110
2011/01/09,507
2011/01/10,294
2011/01/11,-76
2011/01/12,-65
2011/01/13,-72
2011/01/14,-109
2011/01/15,-190
2011/01/16,-321
2011/01/17,-432
2011/01/18,-128
2011/01/19,-9
2011/01/20,89
2011/01/21,315
2011/01/22,509
2011/01/23,173
2011/01/24,139
2011/01/25,-524
2011/01/26,-86
2011/01/27,-450
2011/01/28,190
2011/01/29,361
2011/01/30,1755
2011/01/31,300
2011/02/01,-337
2011/02/02,-1698
2011/02/03,-594
2011/02/04,-89
2011/02/05,-85
2011/02/06,103
2011/02/07,-71
2011/02/08,25
2011/02/09,303
2011/02/10,1159
2011/02/11,1491
2011/02/12,681
2011/02/13,-224
2011/02/14,-359
2011/02/15,283
2011/02/16,234
2011/02/17,209
2011/02/18,-155
2011/02/19,-436
2011/02/20,-278
2011/02/21,-68
2011/02/22,563
2011/02/23,279
2011/02/24,126
2011/02/25,-150
2011/02/26,-344
2011/02/27,123
2011/02/28,-265
2011/03/01,923
2011/03/02,-184
2011/03/03,1448
2011/03/04,-838
2011/03/05,-70
2011/03/06,-1261
2011/03/07,-46
2011/03/08,482
2011/03/09,-83
2011/03/10,-164
2011/03/11,-499
2011/03/12,1142
2011/03/13,1043
2011/03/14,777
2011/03/15,-74
2011/03/16,453
2011/03/17,695
2011/03/18,-491
2011/03/19,27
2011/03/20,713
2011/03/21,3456
2011/03/22,-955
2011/03/23,474
2011/03/24,-3695
2011/03/25,-293
2011/03/26,-1216
2011/03/27,308
2011/03/28,937
