Date,transactions30mom
2011/06/14,10361
2011/06/15,8224
2011/06/16,8359
2011/06/17,5817
2011/06/18,6874
2011/06/19,6674
2011/06/20,6247
2011/06/21,4421
2011/06/22,5800
2011/06/23,4612
2011/06/24,4755
2011/06/25,2879
2011/06/26,5150
2011/06/27,6724
2011/06/28,5986
2011/06/29,4647
2011/06/30,3532
2011/07/01,4078
2011/07/02,903
2011/07/03,-40
2011/07/04,847
2011/07/05,442
2011/07/06,892
2011/07/07,217
2011/07/08,-3267
2011/07/09,-4252
2011/07/10,-2791
2011/07/11,-279
2011/07/12,-4201
2011/07/13,-2017
2011/07/14,-5339
2011/07/15,-4490
2011/07/16,-3847
2011/07/17,-2901
2011/07/18,-2560
2011/07/19,-2206
2011/07/20,-2277
2011/07/21,-1440
2011/07/22,-2419
2011/07/23,-2909
2011/07/24,-2653
2011/07/25,-230
2011/07/26,-1642
2011/07/27,-3761
2011/07/28,-2595
2011/07/29,-2679
2011/07/30,-3388
2011/07/31,-2506
2011/08/01,181
2011/08/02,464
2011/08/03,-1854
2011/08/04,-648
2011/08/05,-3142
2011/08/06,-2337
2011/08/07,-1779
2011/08/08,-571
2011/08/09,818
2011/08/10,-2183
2011/08/11,-547
2011/08/12,-1968
2011/08/13,-1304
2011/08/14,-497
2011/08/15,-469
2011/08/16,1284
2011/08/17,-1220
2011/08/18,-1772
2011/08/19,-1231
2011/08/20,-972
2011/08/21,-1333
2011/08/22,377
2011/08/23,-931
2011/08/24,-2087
2011/08/25,-1088
2011/08/26,-547
2011/08/27,-1725
2011/08/28,-1678
2011/08/29,1899
2011/08/30,-266
2011/08/31,-893
2011/09/01,-1589
2011/09/02,-710
2011/09/03,-2398
2011/09/04,-96
2011/09/05,171
2011/09/06,1095
2011/09/07,-177
2011/09/08,-2705
2011/09/09,-961
2011/09/10,-1599
2011/09/11,-716
2011/09/12,-826
2011/09/13,-962
2011/09/14,-2196
2011/09/15,-3175
2011/09/16,-1496
2011/09/17,-1951
2011/09/18,-1655
2011/09/19,-513
2011/09/20,498
2011/09/21,-108
2011/09/22,-1131
2011/09/23,-1038
2011/09/24,-1507
2011/09/25,-1689
2011/09/26,-734
2011/09/27,495
2011/09/28,-2086
2011/09/29,-2194
2011/09/30,-1394
2011/10/01,-1843
2011/10/02,-1956
2011/10/03,596
2011/10/04,-1427
2011/10/05,-1257
2011/10/06,-1895
2011/10/07,-1418
2011/10/08,-1085
2011/10/09,-1892
2011/10/10,-101
2011/10/11,-481
2011/10/12,-613
2011/10/13,-1490
2011/10/14,-82
2011/10/15,-873
2011/10/16,-1228
2011/10/17,343
2011/10/18,-1085
2011/10/19,-1529
2011/10/20,-3471
2011/10/21,-2453
2011/10/22,-975
2011/10/23,-695
2011/10/24,208
2011/10/25,-488
2011/10/26,-350
2011/10/27,-1391
2011/10/28,-857
2011/10/29,19
2011/10/30,-874
2011/10/31,-180
2011/11/01,713
2011/11/02,-539
2011/11/03,431
2011/11/04,767
2011/11/05,-2
2011/11/06,-646
2011/11/07,81
2011/11/08,515
2011/11/09,528
2011/11/10,563
2011/11/11,-855
2011/11/12,97
2011/11/13,-742
2011/11/14,320
2011/11/15,1079
2011/11/16,250
2011/11/17,77
2011/11/18,39
2011/11/19,67
2011/11/20,-103
2011/11/21,-364
2011/11/22,-149
2011/11/23,-343
2011/11/24,-192
2011/11/25,196
2011/11/26,55
2011/11/27,-66
2011/11/28,320
2011/11/29,1407
2011/11/30,1644
2011/12/01,543
2011/12/02,335
2011/12/03,-649
2011/12/04,-1144
2011/12/05,297
2011/12/06,2917
2011/12/07,633
2011/12/08,-189
2011/12/09,-846
2011/12/10,-866
2011/12/11,135
2011/12/12,-249
2011/12/13,44
2011/12/14,-226
2011/12/15,-1203
2011/12/16,-867
2011/12/17,23
2011/12/18,-548
2011/12/19,1084
2011/12/20,1179
2011/12/21,776
2011/12/22,360
2011/12/23,76
2011/12/24,-392
2011/12/25,-239
2011/12/26,832
2011/12/27,119
2011/12/28,-958
2011/12/29,-1202
2011/12/30,-1786
2011/12/31,-1184
2012/01/01,-1324
2012/01/02,-220
2012/01/03,365
2012/01/04,-497
2012/01/05,-960
2012/01/06,476
2012/01/07,65
2012/01/08,800
2012/01/09,414
2012/01/10,1427
2012/01/11,2251
2012/01/12,1267
2012/01/13,1168
2012/01/14,1919
2012/01/15,1127
2012/01/16,1956
2012/01/17,2107
2012/01/18,834
2012/01/19,591
2012/01/20,1207
2012/01/21,491
2012/01/22,-351
2012/01/23,1417
2012/01/24,2017
2012/01/25,2349
2012/01/26,1394
2012/01/27,1351
2012/01/28,691
2012/01/29,1350
2012/01/30,995
2012/01/31,1927
2012/02/01,1102
2012/02/02,1391
2012/02/03,1310
2012/02/04,233
2012/02/05,159
2012/02/06,269
2012/02/07,634
2012/02/08,931
2012/02/09,807
2012/02/10,1332
2012/02/11,988
2012/02/12,165
2012/02/13,1198
2012/02/14,3178
2012/02/15,2404
2012/02/16,2804
2012/02/17,107
2012/02/18,-407
2012/02/19,-835
2012/02/20,-3
2012/02/21,1102
2012/02/22,1105
2012/02/23,719
2012/02/24,-1032
2012/02/25,-319
2012/02/26,-525
2012/02/27,816
2012/02/28,306
2012/02/29,559
2012/03/01,-115
2012/03/02,1150
2012/03/03,-1931
2012/03/04,-438
2012/03/05,-246
2012/03/06,-401
2012/03/07,491
2012/03/08,-394
2012/03/09,-545
2012/03/10,-2138
2012/03/11,-3229
2012/03/12,-1554
2012/03/13,363
2012/03/14,-1097
2012/03/15,-3188
2012/03/16,-2421
2012/03/17,-2693
2012/03/18,-747
2012/03/19,164
2012/03/20,874
2012/03/21,643
2012/03/22,138
2012/03/23,-1005
2012/03/24,-1657
2012/03/25,-726
2012/03/26,327
2012/03/27,839
2012/03/28,508
2012/03/29,812
2012/03/30,134
2012/03/31,-638
2012/04/01,-2090
2012/04/02,1282
2012/04/03,1152
2012/04/04,172
2012/04/05,680
2012/04/06,82
2012/04/07,-530
2012/04/08,-569
2012/04/09,1266
2012/04/10,3232
2012/04/11,1742
2012/04/12,928
2012/04/13,160
2012/04/14,1725
2012/04/15,482
2012/04/16,1721
2012/04/17,1791
2012/04/18,1941
2012/04/19,1069
2012/04/20,1289
2012/04/21,618
2012/04/22,184
2012/04/23,778
2012/04/24,1467
2012/04/25,962
2012/04/26,3434
2012/04/27,-29
2012/04/28,-102
2012/04/29,876
2012/04/30,3212
2012/05/01,4617
2012/05/02,3472
2012/05/03,6239
2012/05/04,6931
2012/05/05,5920
2012/05/06,4423
2012/05/07,12126
2012/05/08,11778
2012/05/09,10608
2012/05/10,3332
2012/05/11,11201
2012/05/12,10035
2012/05/13,7679
2012/05/14,20322
