Date,mining_profitability30ema
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,261479
2010/08/16,252805
2010/08/17,244444
2010/08/18,237575
2010/08/19,230729
2010/08/20,225823
2010/08/21,219164
2010/08/22,214035
2010/08/23,208538
2010/08/24,203385
2010/08/25,198366
2010/08/26,193569
2010/08/27,187174
2010/08/28,181491
2010/08/29,176454
2010/08/30,171686
2010/08/31,167553
2010/09/01,162655
2010/09/02,158601
2010/09/03,154878
2010/09/04,151611
2010/09/05,147999
2010/09/06,144667
2010/09/07,141951
2010/09/08,138747
2010/09/09,134698
2010/09/10,132209
2010/09/11,129112
2010/09/12,126528
2010/09/13,123859
2010/09/14,122051
2010/09/15,119371
2010/09/16,118025
2010/09/17,115588
2010/09/18,113920
2010/09/19,110763
2010/09/20,107905
2010/09/21,104982
2010/09/22,102674
2010/09/23,101196
2010/09/24,98930
2010/09/25,96655
2010/09/26,94869
2010/09/27,93289
2010/09/28,91195
2010/09/29,87917
2010/09/30,85267
2010/10/01,82737
2010/10/02,79810
2010/10/03,77984
2010/10/04,76263
2010/10/05,74131
2010/10/06,72898
2010/10/07,71237
2010/10/08,70266
2010/10/09,70136
2010/10/10,70575
2010/10/11,70321
2010/10/12,70122
2010/10/13,70508
2010/10/14,71282
2010/10/15,71106
2010/10/16,72180
2010/10/17,72155
2010/10/18,72116
2010/10/19,72447
2010/10/20,72634
2010/10/21,70548
2010/10/22,69007
2010/10/23,67867
2010/10/24,67324
2010/10/25,66220
2010/10/26,66490
2010/10/27,66916
2010/10/28,68179
2010/10/29,69209
2010/10/30,70862
2010/10/31,69653
2010/11/01,69250
2010/11/02,68813
2010/11/03,68461
