Date,price90wmaUSD
2011/04/12,0.824
2011/04/13,0.827
2011/04/14,0.831
2011/04/15,0.836
2011/04/16,0.841
2011/04/17,0.847
2011/04/18,0.855
2011/04/19,0.863
2011/04/20,0.871
2011/04/21,0.878
2011/04/22,0.889
2011/04/23,0.904
2011/04/24,0.923
2011/04/25,0.939
2011/04/26,0.957
2011/04/27,0.977
2011/04/28,1.002
2011/04/29,1.037
2011/04/30,1.087
2011/05/01,1.137
2011/05/02,1.184
2011/05/03,1.234
2011/05/04,1.286
2011/05/05,1.335
2011/05/06,1.385
2011/05/07,1.437
2011/05/08,1.494
2011/05/09,1.551
2011/05/10,1.629
2011/05/11,1.725
2011/05/12,1.825
2011/05/13,1.953
2011/05/14,2.089
2011/05/15,2.209
2011/05/16,2.339
2011/05/17,2.469
2011/05/18,2.585
2011/05/19,2.694
2011/05/20,2.788
2011/05/21,2.876
2011/05/22,2.973
2011/05/23,3.08
2011/05/24,3.193
2011/05/25,3.32
2011/05/26,3.457
2011/05/27,3.594
2011/05/28,3.725
2011/05/29,3.853
2011/05/30,3.985
2011/05/31,4.118
2011/06/01,4.258
2011/06/02,4.417
2011/06/03,4.625
2011/06/04,4.919
2011/06/05,5.239
2011/06/06,5.55
2011/06/07,5.933
2011/06/08,6.437
2011/06/09,6.991
2011/06/10,7.474
2011/06/11,7.793
2011/06/12,8.049
2011/06/13,8.358
2011/06/14,8.67
2011/06/15,8.974
2011/06/16,9.248
2011/06/17,9.476
2011/06/18,9.703
2011/06/19,9.941
2011/06/20,10.172
2011/06/21,10.399
2011/06/22,10.622
2011/06/23,10.841
2011/06/24,11.057
2011/06/25,11.268
2011/06/26,11.475
2011/06/27,11.669
2011/06/28,11.865
2011/06/29,12.059
2011/06/30,12.239
2011/07/01,12.399
2011/07/02,12.547
2011/07/03,12.693
2011/07/04,12.818
2011/07/05,12.913
2011/07/06,13.014
2011/07/07,13.131
2011/07/08,13.241
2011/07/09,13.343
2011/07/10,13.449
2011/07/11,13.549
2011/07/12,13.635
2011/07/13,13.716
2011/07/14,13.794
2011/07/15,13.867
2011/07/16,13.934
2011/07/17,13.99
2011/07/18,14.041
2011/07/19,14.096
2011/07/20,14.151
2011/07/21,14.2
2011/07/22,14.246
2011/07/23,14.289
2011/07/24,14.334
2011/07/25,14.378
2011/07/26,14.419
2011/07/27,14.456
2011/07/28,14.485
2011/07/29,14.507
2011/07/30,14.527
2011/07/31,14.543
2011/08/01,14.551
2011/08/02,14.543
2011/08/03,14.49
2011/08/04,14.422
2011/08/05,14.357
2011/08/06,14.244
2011/08/07,14.11
2011/08/08,13.989
2011/08/09,13.89
2011/08/10,13.814
2011/08/11,13.732
2011/08/12,13.643
2011/08/13,13.561
2011/08/14,13.493
2011/08/15,13.436
2011/08/16,13.379
2011/08/17,13.319
2011/08/18,13.257
2011/08/19,13.201
2011/08/20,13.151
2011/08/21,13.096
2011/08/22,13.034
2011/08/23,12.967
2011/08/24,12.898
2011/08/25,12.815
2011/08/26,12.702
2011/08/27,12.577
2011/08/28,12.462
2011/08/29,12.351
2011/08/30,12.237
2011/08/31,12.115
2011/09/01,11.986
2011/09/02,11.864
2011/09/03,11.746
2011/09/04,11.625
2011/09/05,11.497
2011/09/06,11.358
2011/09/07,11.219
2011/09/08,11.082
2011/09/09,10.926
2011/09/10,10.754
2011/09/11,10.594
2011/09/12,10.453
2011/09/13,10.313
2011/09/14,10.172
2011/09/15,10.023
2011/09/16,9.868
2011/09/17,9.716
2011/09/18,9.57
2011/09/19,9.435
2011/09/20,9.313
2011/09/21,9.195
2011/09/22,9.073
2011/09/23,8.952
2011/09/24,8.835
2011/09/25,8.718
2011/09/26,8.597
2011/09/27,8.475
2011/09/28,8.354
2011/09/29,8.235
2011/09/30,8.122
2011/10/01,8.015
2011/10/02,7.91
2011/10/03,7.806
2011/10/04,7.704
2011/10/05,7.602
2011/10/06,7.5
2011/10/07,7.394
2011/10/08,7.283
2011/10/09,7.172
2011/10/10,7.064
2011/10/11,6.957
2011/10/12,6.853
2011/10/13,6.753
2011/10/14,6.654
2011/10/15,6.554
2011/10/16,6.452
2011/10/17,6.339
2011/10/18,6.215
2011/10/19,6.091
2011/10/20,5.969
2011/10/21,5.853
2011/10/22,5.749
2011/10/23,5.654
2011/10/24,5.554
2011/10/25,5.453
2011/10/26,5.358
2011/10/27,5.268
2011/10/28,5.185
2011/10/29,5.111
2011/10/30,5.04
2011/10/31,4.968
2011/11/01,4.897
2011/11/02,4.828
2011/11/03,4.76
2011/11/04,4.693
2011/11/05,4.625
2011/11/06,4.556
2011/11/07,4.489
2011/11/08,4.424
2011/11/09,4.36
2011/11/10,4.296
2011/11/11,4.235
2011/11/12,4.177
2011/11/13,4.12
2011/11/14,4.057
2011/11/15,3.988
2011/11/16,3.925
2011/11/17,3.863
2011/11/18,3.798
2011/11/19,3.734
2011/11/20,3.674
2011/11/21,3.618
2011/11/22,3.565
2011/11/23,3.514
2011/11/24,3.467
2011/11/25,3.423
2011/11/26,3.381
2011/11/27,3.34
2011/11/28,3.302
2011/11/29,3.268
2011/11/30,3.241
2011/12/01,3.218
2011/12/02,3.198
2011/12/03,3.176
2011/12/04,3.153
2011/12/05,3.132
2011/12/06,3.114
2011/12/07,3.098
2011/12/08,3.083
2011/12/09,3.068
2011/12/10,3.054
2011/12/11,3.044
2011/12/12,3.036
2011/12/13,3.028
2011/12/14,3.021
2011/12/15,3.014
2011/12/16,3.008
2011/12/17,3.002
2011/12/18,2.997
2011/12/19,2.995
2011/12/20,3.003
2011/12/21,3.015
2011/12/22,3.027
2011/12/23,3.04
2011/12/24,3.053
2011/12/25,3.071
2011/12/26,3.089
2011/12/27,3.106
2011/12/28,3.125
2011/12/29,3.145
2011/12/30,3.166
2011/12/31,3.194
2012/01/01,3.232
2012/01/02,3.276
2012/01/03,3.316
2012/01/04,3.36
2012/01/05,3.426
2012/01/06,3.504
2012/01/07,3.581
2012/01/08,3.66
2012/01/09,3.734
2012/01/10,3.799
2012/01/11,3.871
2012/01/12,3.946
2012/01/13,4.015
2012/01/14,4.082
2012/01/15,4.156
2012/01/16,4.228
2012/01/17,4.283
2012/01/18,4.328
2012/01/19,4.382
2012/01/20,4.441
2012/01/21,4.497
2012/01/22,4.55
2012/01/23,4.605
2012/01/24,4.658
2012/01/25,4.704
2012/01/26,4.739
2012/01/27,4.768
2012/01/28,4.8
2012/01/29,4.832
2012/01/30,4.862
2012/01/31,4.893
2012/02/01,4.93
2012/02/02,4.972
2012/02/03,5.013
2012/02/04,5.05
2012/02/05,5.084
2012/02/06,5.112
2012/02/07,5.14
2012/02/08,5.169
2012/02/09,5.199
2012/02/10,5.231
2012/02/11,5.261
