Date,mining_profitability30var
2011/03/30,7118164
2011/03/31,6993109
2011/04/01,6067110
2011/04/02,4923030
2011/04/03,3802324
2011/04/04,2388852
2011/04/05,1814855
2011/04/06,2085330
2011/04/07,1796731
2011/04/08,1728250
2011/04/09,1868485
2011/04/10,1886479
2011/04/11,1861823
2011/04/12,1893098
2011/04/13,1865495
2011/04/14,1809454
2011/04/15,1795333
2011/04/16,2001943
2011/04/17,2223563
2011/04/18,2233014
2011/04/19,2485436
2011/04/20,2487050
2011/04/21,2364308
2011/04/22,2884976
2011/04/23,3852333
2011/04/24,4913734
2011/04/25,6723506
2011/04/26,7867715
2011/04/27,9437051
2011/04/28,12644580
2011/04/29,20884765
2011/04/30,29408923
2011/05/01,36492164
2011/05/02,43380603
2011/05/03,50066105
2011/05/04,57353961
2011/05/05,63799345
2011/05/06,67610246
2011/05/07,70639953
2011/05/08,77246522
2011/05/09,79087105
2011/05/10,76029031
2011/05/11,79093644
2011/05/12,80114296
2011/05/13,100124770
2011/05/14,116621898
2011/05/15,118464312
2011/05/16,132005494
2011/05/17,139683738
2011/05/18,138082026
2011/05/19,131110600
2011/05/20,120092042
2011/05/21,109216621
2011/05/22,101328828
2011/05/23,93856786
2011/05/24,86959884
2011/05/25,80784484
2011/05/26,73497141
2011/05/27,78535022
2011/05/28,82030943
2011/05/29,86097402
2011/05/30,92221774
2011/05/31,97151070
2011/06/01,99245507
2011/06/02,101779476
2011/06/03,101990825
2011/06/04,104634879
2011/06/05,106968290
2011/06/06,107385971
2011/06/07,107118853
2011/06/08,115886633
2011/06/09,131145006
2011/06/10,136573686
2011/06/11,136913214
2011/06/12,128295562
2011/06/13,117804595
2011/06/14,115146539
2011/06/15,103423960
2011/06/16,99910169
2011/06/17,96603450
2011/06/18,98314111
2011/06/19,100843120
2011/06/20,103399324
2011/06/21,105720860
2011/06/22,108712089
2011/06/23,111524436
2011/06/24,117452962
2011/06/25,126521037
2011/06/26,128713269
2011/06/27,132694636
2011/06/28,138432805
2011/06/29,143060995
2011/06/30,147762320
2011/07/01,155474404
2011/07/02,162467857
2011/07/03,168425706
2011/07/04,165203680
2011/07/05,162454184
2011/07/06,161168533
2011/07/07,160839449
2011/07/08,136829128
2011/07/09,95124377
2011/07/10,68479039
2011/07/11,54631563
2011/07/12,50859354
2011/07/13,40164885
