Date,transactionvalue7rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-2.829
2010/07/25,-78.072
2010/07/26,28.722
2010/07/27,10.219
2010/07/28,-55.08
2010/07/29,-89.782
2010/07/30,44.872
2010/07/31,22.299
2010/08/01,3212
2010/08/02,-0.873
2010/08/03,-13.691
2010/08/04,122.008
2010/08/05,613.139
2010/08/06,-21.728
2010/08/07,59.568
2010/08/08,-96.502
2010/08/09,23.023
2010/08/10,83.381
2010/08/11,85.094
2010/08/12,-41.415
2010/08/13,38.355
2010/08/14,-55.4
2010/08/15,124.168
2010/08/16,-18.351
2010/08/17,54.956
2010/08/18,-19.116
2010/08/19,52.85
2010/08/20,3.849
2010/08/21,201.577
2010/08/22,2.868
2010/08/23,-67.909
2010/08/24,-66.06
2010/08/25,-58.208
2010/08/26,-40.983
2010/08/27,36.213
2010/08/28,-57.546
2010/08/29,-41.719
2010/08/30,-13.577
2010/08/31,56.288
2010/09/01,65.269
2010/09/02,169.953
2010/09/03,-9.429
2010/09/04,113.929
2010/09/05,1185
2010/09/06,520.226
2010/09/07,-29.821
2010/09/08,-32.257
2010/09/09,-4.264
2010/09/10,-57.607
2010/09/11,-68.95
2010/09/12,-88.936
2010/09/13,-1.278
2010/09/14,11.707
2010/09/15,78.159
2010/09/16,-24.153
2010/09/17,417.24
2010/09/18,211.878
2010/09/19,194.023
2010/09/20,-66.742
2010/09/21,-51.437
2010/09/22,-27.537
2010/09/23,145.994
2010/09/24,-80.81
2010/09/25,-46.695
2010/09/26,-60.837
2010/09/27,-38.036
2010/09/28,378.919
2010/09/29,44.547
2010/09/30,-41.376
2010/10/01,157.586
2010/10/02,1180
2010/10/03,253.067
2010/10/04,2333
2010/10/05,211.211
2010/10/06,210.573
2010/10/07,246.003
2010/10/08,425.085
2010/10/09,-8.579
2010/10/10,151.182
2010/10/11,-82.17
2010/10/12,-34.658
2010/10/13,66.623
2010/10/14,105.238
2010/10/15,41.035
2010/10/16,10.351
2010/10/17,-21.679
2010/10/18,158.667
2010/10/19,35.17
