Date,transactions30std
2010/07/17,2035
2010/07/18,2032
2010/07/19,2029
2010/07/20,2024
2010/07/21,2022
2010/07/22,2019
2010/07/23,2016
2010/07/24,2015
2010/07/25,2051
2010/07/26,2046
2010/07/27,2042
2010/07/28,2086
2010/07/29,2117
2010/07/30,2115
2010/07/31,2115
2010/08/01,2113
2010/08/02,2110
2010/08/03,2101
2010/08/04,2097
2010/08/05,2090
2010/08/06,2085
2010/08/07,2083
2010/08/08,2079
2010/08/09,2072
2010/08/10,2073
2010/08/11,2048
2010/08/12,2052
2010/08/13,906.482
2010/08/14,904.893
2010/08/15,904.835
2010/08/16,903.657
2010/08/17,905.09
2010/08/18,906.408
2010/08/19,908.811
2010/08/20,909.298
2010/08/21,910.627
2010/08/22,912.304
2010/08/23,906.41
2010/08/24,781.5
2010/08/25,782.942
2010/08/26,784.458
2010/08/27,554.954
2010/08/28,137.205
2010/08/29,140.111
2010/08/30,135.655
2010/08/31,135.52
2010/09/01,135.134
2010/09/02,106.677
2010/09/03,107.277
2010/09/04,104.234
2010/09/05,104.206
2010/09/06,104.056
2010/09/07,105.787
2010/09/08,103.517
2010/09/09,103.261
2010/09/10,103.293
2010/09/11,103.844
2010/09/12,93.209
2010/09/13,98.909
2010/09/14,97.129
2010/09/15,90.325
2010/09/16,91.514
2010/09/17,88.474
2010/09/18,88.388
2010/09/19,86.35
2010/09/20,92.352
2010/09/21,190.175
2010/09/22,219.605
2010/09/23,232.763
2010/09/24,232.691
2010/09/25,235.038
2010/09/26,232.499
2010/09/27,237.851
2010/09/28,233.408
2010/09/29,310.741
2010/09/30,311.023
2010/10/01,317.033
2010/10/02,318.765
2010/10/03,315.988
2010/10/04,308.985
2010/10/05,305.363
2010/10/06,299.979
2010/10/07,296.471
2010/10/08,294.951
2010/10/09,293.156
2010/10/10,293.06
2010/10/11,290.857
2010/10/12,291.068
2010/10/13,293.302
2010/10/14,295.874
2010/10/15,299.765
2010/10/16,301.068
2010/10/17,299.369
2010/10/18,296.368
2010/10/19,321.077
2010/10/20,324.651
2010/10/21,302.18
2010/10/22,298.305
2010/10/23,295.422
2010/10/24,295.75
2010/10/25,297.523
2010/10/26,295.205
2010/10/27,294.65
2010/10/28,294.794
2010/10/29,225.722
2010/10/30,227.918
2010/10/31,226.986
2010/11/01,223.954
2010/11/02,230.44
2010/11/03,233.184
2010/11/04,236.627
2010/11/05,236.773
2010/11/06,236.933
2010/11/07,236.911
2010/11/08,236.923
2010/11/09,236.685
2010/11/10,236.307
2010/11/11,237.049
2010/11/12,240.82
2010/11/13,243.245
2010/11/14,242.802
2010/11/15,1606
2010/11/16,3450
2010/11/17,3452
2010/11/18,3458
2010/11/19,4676
2010/11/20,5597
2010/11/21,6378
