Date,activeaddresses
2011/06/14,29778
2011/06/15,27541
2011/06/16,28867
2011/06/17,26054
2011/06/18,26115
2011/06/19,27766
2011/06/20,25961
2011/06/21,24996
2011/06/22,26764
2011/06/23,24369
2011/06/24,25212
2011/06/25,22628
2011/06/26,23539
2011/06/27,30137
2011/06/28,26180
2011/06/29,24333
2011/06/30,23459
2011/07/01,30214
2011/07/02,32230
2011/07/03,22246
2011/07/04,23558
2011/07/05,23298
2011/07/06,26919
2011/07/07,22941
2011/07/08,24626
2011/07/09,22762
2011/07/10,28708
2011/07/11,25850
2011/07/12,23044
2011/07/13,27175
2011/07/14,28843
2011/07/15,24433
2011/07/16,24053
2011/07/17,24674
2011/07/18,27882
2011/07/19,24900
2011/07/20,25886
2011/07/21,25435
2011/07/22,24454
2011/07/23,21907
2011/07/24,23227
2011/07/25,26960
2011/07/26,23820
2011/07/27,23479
2011/07/28,25901
2011/07/29,22221
2011/07/30,19760
2011/07/31,24137
2011/08/01,23757
2011/08/02,21703
2011/08/03,18410
2011/08/04,18966
2011/08/05,21510
2011/08/06,20231
2011/08/07,20060
2011/08/08,24628
2011/08/09,23668
2011/08/10,19710
2011/08/11,18290
2011/08/12,17126
2011/08/13,19184
2011/08/14,21506
2011/08/15,19220
2011/08/16,20992
2011/08/17,20363
2011/08/18,20675
2011/08/19,22233
2011/08/20,21113
2011/08/21,22784
2011/08/22,25202
2011/08/23,22694
2011/08/24,22129
2011/08/25,23113
2011/08/26,21536
2011/08/27,20857
2011/08/28,18476
2011/08/29,18891
2011/08/30,17534
2011/08/31,17029
2011/09/01,16984
2011/09/02,16099
2011/09/03,14464
2011/09/04,17537
2011/09/05,18243
2011/09/06,18776
2011/09/07,16824
2011/09/08,15802
2011/09/09,18605
2011/09/10,15938
2011/09/11,15421
2011/09/12,16637
2011/09/13,14870
2011/09/14,14793
2011/09/15,15457
2011/09/16,14561
2011/09/17,13124
2011/09/18,14359
2011/09/19,16062
2011/09/20,21913
2011/09/21,17933
2011/09/22,17540
2011/09/23,19994
2011/09/24,19433
2011/09/25,19237
2011/09/26,17763
2011/09/27,18692
2011/09/28,13750
2011/09/29,12797
2011/09/30,13468
2011/10/01,12999
2011/10/02,11839
2011/10/03,13848
2011/10/04,13799
2011/10/05,13654
2011/10/06,14442
2011/10/07,13746
2011/10/08,12497
2011/10/09,12276
2011/10/10,13349
2011/10/11,13715
2011/10/12,13584
2011/10/13,11659
2011/10/14,14554
2011/10/15,13158
2011/10/16,11983
2011/10/17,14144
2011/10/18,12316
2011/10/19,12555
2011/10/20,11118
2011/10/21,12051
2011/10/22,12109
2011/10/23,13218
2011/10/24,13953
2011/10/25,13107
2011/10/26,12447
2011/10/27,11458
2011/10/28,12707
2011/10/29,12873
2011/10/30,11401
2011/10/31,12022
2011/11/01,12768
2011/11/02,13117
2011/11/03,13114
2011/11/04,15815
2011/11/05,13495
2011/11/06,11541
2011/11/07,12641
2011/11/08,13738
2011/11/09,14341
2011/11/10,14362
2011/11/11,12166
2011/11/12,12204
2011/11/13,12538
2011/11/14,13718
2011/11/15,14168
2011/11/16,13156
2011/11/17,12196
2011/11/18,12421
2011/11/19,10092
2011/11/20,11419
2011/11/21,10158
2011/11/22,11490
2011/11/23,11499
2011/11/24,10946
2011/11/25,11682
2011/11/26,10288
2011/11/27,10752
2011/11/28,12621
2011/11/29,14376
2011/11/30,15435
2011/12/01,14028
2011/12/02,13328
2011/12/03,12858
2011/12/04,11873
2011/12/05,13078
2011/12/06,15244
2011/12/07,12910
2011/12/08,14059
2011/12/09,11780
2011/12/10,11947
2011/12/11,12136
2011/12/12,11359
2011/12/13,11983
2011/12/14,11973
2011/12/15,10025
2011/12/16,10633
2011/12/17,10214
2011/12/18,9874
2011/12/19,12720
2011/12/20,13691
2011/12/21,11883
2011/12/22,12034
2011/12/23,12106
2011/12/24,10250
2011/12/25,11801
2011/12/26,12175
2011/12/27,11746
2011/12/28,10806
2011/12/29,11322
2011/12/30,10544
2011/12/31,10887
2012/01/01,11446
2012/01/02,11914
2012/01/03,13136
2012/01/04,12470
2012/01/05,15384
2012/01/06,14909
2012/01/07,13422
2012/01/08,14670
2012/01/09,14839
2012/01/10,16090
2012/01/11,16988
2012/01/12,13881
2012/01/13,14496
2012/01/14,14564
2012/01/15,13549
2012/01/16,14874
2012/01/17,14278
2012/01/18,14741
2012/01/19,15093
2012/01/20,14194
2012/01/21,13525
2012/01/22,11404
2012/01/23,13216
2012/01/24,14936
2012/01/25,16583
2012/01/26,14442
2012/01/27,14435
2012/01/28,13053
2012/01/29,14391
2012/01/30,13507
2012/01/31,15626
2012/02/01,14973
2012/02/02,16105
2012/02/03,16554
2012/02/04,16362
2012/02/05,14857
2012/02/06,13894
2012/02/07,14708
2012/02/08,14594
2012/02/09,15120
2012/02/10,16357
2012/02/11,15288
2012/02/12,14178
2012/02/13,16251
2012/02/14,18405
2012/02/15,17765
2012/02/16,18665
2012/02/17,14220
2012/02/18,14501
2012/02/19,13247
2012/02/20,14291
2012/02/21,14719
2012/02/22,16291
2012/02/23,17560
2012/02/24,16519
2012/02/25,15158
2012/02/26,13327
2012/02/27,14913
2012/02/28,16324
2012/02/29,15444
2012/03/01,16144
2012/03/02,17614
2012/03/03,12593
2012/03/04,14963
2012/03/05,16144
2012/03/06,15304
2012/03/07,15213
2012/03/08,15705
2012/03/09,15797
2012/03/10,12888
2012/03/11,12646
2012/03/12,14363
2012/03/13,16821
2012/03/14,16186
2012/03/15,15146
2012/03/16,16246
2012/03/17,16085
2012/03/18,13886
2012/03/19,15518
2012/03/20,15982
2012/03/21,16215
2012/03/22,15714
2012/03/23,14259
2012/03/24,13944
2012/03/25,14353
2012/03/26,15780
2012/03/27,15520
2012/03/28,16243
2012/03/29,17029
2012/03/30,15032
2012/03/31,14044
2012/04/01,12758
2012/04/02,14892
2012/04/03,18802
2012/04/04,16684
2012/04/05,16394
2012/04/06,16328
2012/04/07,14273
2012/04/08,13925
2012/04/09,15215
2012/04/10,17422
2012/04/11,18458
2012/04/12,18831
2012/04/13,15778
2012/04/14,17358
2012/04/15,16240
2012/04/16,19108
2012/04/17,18547
2012/04/18,19371
2012/04/19,17782
2012/04/20,19346
2012/04/21,16314
2012/04/22,14698
2012/04/23,16735
2012/04/24,17330
2012/04/25,17454
2012/04/26,19169
2012/04/27,17202
2012/04/28,15969
2012/04/29,15991
2012/04/30,19101
2012/05/01,20030
2012/05/02,20199
2012/05/03,21860
2012/05/04,22678
2012/05/05,20017
2012/05/06,22198
2012/05/07,25652
2012/05/08,23786
2012/05/09,24825
2012/05/10,20417
2012/05/11,26137
2012/05/12,22749
2012/05/13,20704
2012/05/14,32414
2012/05/15,27163
2012/05/16,25541
2012/05/17,22569
2012/05/18,26161
2012/05/19,31604
2012/05/20,29540
2012/05/21,30355
2012/05/22,27516
2012/05/23,29616
2012/05/24,28067
2012/05/25,30112
2012/05/26,25650
2012/05/27,26295
2012/05/28,29594
2012/05/29,34268
2012/05/30,28548
2012/05/31,28411
2012/06/01,29059
2012/06/02,20567
2012/06/03,30392
2012/06/04,41573
2012/06/05,40966
2012/06/06,24162
2012/06/07,35385
2012/06/08,28266
2012/06/09,31539
2012/06/10,33833
2012/06/11,32608
2012/06/12,23493
2012/06/13,46734
2012/06/14,49646
2012/06/15,49087
2012/06/16,39347
2012/06/17,39356
2012/06/18,37604
2012/06/19,35547
2012/06/20,32267
2012/06/21,29712
2012/06/22,29230
2012/06/23,30258
2012/06/24,28503
2012/06/25,33977
2012/06/26,35999
2012/06/27,39099
2012/06/28,32729
2012/06/29,33115
2012/06/30,31929
2012/07/01,31700
2012/07/02,36588
2012/07/03,34699
2012/07/04,31635
2012/07/05,27923
2012/07/06,29349
2012/07/07,30940
2012/07/08,27913
2012/07/09,32282
2012/07/10,37031
2012/07/11,35353
2012/07/12,34232
2012/07/13,31363
2012/07/14,29899
2012/07/15,30383
2012/07/16,36801
2012/07/17,40266
2012/07/18,34287
2012/07/19,36309
2012/07/20,36117
2012/07/21,35578
2012/07/22,38955
2012/07/23,42038
2012/07/24,38415
2012/07/25,31558
2012/07/26,30842
2012/07/27,32293
2012/07/28,38627
2012/07/29,35978
2012/07/30,36189
2012/07/31,58776
2012/08/01,40722
2012/08/02,42126
2012/08/03,36362
2012/08/04,35883
2012/08/05,37840
2012/08/06,42349
2012/08/07,39170
2012/08/08,51960
2012/08/09,40382
2012/08/10,38609
2012/08/11,38408
2012/08/12,39064
2012/08/13,48590
2012/08/14,42873
2012/08/15,50406
2012/08/16,61706
2012/08/17,56761
2012/08/18,51608
2012/08/19,58126
2012/08/20,47412
2012/08/21,54394
2012/08/22,49522
2012/08/23,43746
2012/08/24,45029
2012/08/25,36610
2012/08/26,34702
2012/08/27,38446
2012/08/28,39914
2012/08/29,39372
2012/08/30,34106
2012/08/31,49420
2012/09/01,44980
2012/09/02,34926
2012/09/03,32994
2012/09/04,46037
2012/09/05,41543
2012/09/06,46843
2012/09/07,44103
2012/09/08,33699
2012/09/09,40190
2012/09/10,37358
2012/09/11,45241
2012/09/12,34216
