Date,top100cap90ema
2010/07/17,23.223
2010/07/18,23.279
2010/07/19,23.332
2010/07/20,23.382
2010/07/21,23.432
2010/07/22,23.479
2010/07/23,23.524
2010/07/24,23.568
2010/07/25,23.611
2010/07/26,23.67
2010/07/27,23.729
2010/07/28,23.787
2010/07/29,23.843
2010/07/30,23.899
2010/07/31,23.952
2010/08/01,24.003
2010/08/02,24.052
2010/08/03,24.101
2010/08/04,24.147
2010/08/05,24.193
2010/08/06,24.237
2010/08/07,24.279
2010/08/08,24.32
2010/08/09,24.364
2010/08/10,24.406
2010/08/11,24.451
2010/08/12,24.492
2010/08/13,24.534
2010/08/14,24.573
2010/08/15,24.611
2010/08/16,24.651
2010/08/17,24.694
2010/08/18,24.734
2010/08/19,24.773
2010/08/20,24.813
2010/08/21,24.85
2010/08/22,24.887
2010/08/23,24.923
2010/08/24,24.959
2010/08/25,24.993
2010/08/26,25.026
2010/08/27,25.059
2010/08/28,25.09
2010/08/29,25.118
2010/08/30,25.144
2010/08/31,25.172
2010/09/01,25.198
2010/09/02,25.223
2010/09/03,25.248
2010/09/04,25.272
2010/09/05,25.298
2010/09/06,25.322
2010/09/07,25.345
2010/09/08,25.366
2010/09/09,25.386
2010/09/10,25.405
2010/09/11,25.422
2010/09/12,25.441
2010/09/13,25.456
2010/09/14,25.469
2010/09/15,25.48
2010/09/16,25.493
2010/09/17,25.519
2010/09/18,25.545
2010/09/19,25.574
2010/09/20,25.603
2010/09/21,25.631
2010/09/22,25.657
2010/09/23,25.686
2010/09/24,25.717
2010/09/25,25.749
2010/09/26,25.782
2010/09/27,25.823
2010/09/28,25.887
2010/09/29,25.95
2010/09/30,26.01
2010/10/01,26.068
2010/10/02,26.137
2010/10/03,26.204
2010/10/04,26.263
2010/10/05,26.323
2010/10/06,26.38
2010/10/07,26.447
2010/10/08,26.517
2010/10/09,26.591
2010/10/10,26.667
2010/10/11,26.74
2010/10/12,26.811
2010/10/13,26.884
2010/10/14,26.958
2010/10/15,27.03
