Date,confirmationtime30roc
2011/04/22,-10.795
2011/04/23,-11.628
2011/04/24,6.79
2011/04/25,-28.125
2011/04/26,-26.667
2011/04/27,-8.197
2011/04/28,-0.61
2011/04/29,-22
2011/04/30,6.349
2011/05/01,-1.676
2011/05/02,-8.629
2011/05/03,-10.714
2011/05/04,-9.645
2011/05/05,-11.416
2011/05/06,-32.11
2011/05/07,-31.308
2011/05/08,-24.201
2011/05/09,-34.728
2011/05/10,-5.464
2011/05/11,-14.66
2011/05/12,-3.55
2011/05/13,-6.28
2011/05/14,-33.884
2011/05/15,-38.182
2011/05/16,-29.96
2011/05/17,-29.961
2011/05/18,-48.611
2011/05/19,-9.942
2011/05/20,-34.545
2011/05/21,-33.182
2011/05/22,-30.159
2011/05/23,-39.86
2011/05/24,-45.819
2011/05/25,-37.459
2011/05/26,-34.122
2011/05/27,9.581
2011/05/28,5.806
2011/05/29,11.111
2011/05/30,22.727
2011/05/31,19.333
2011/06/01,4.787
2011/06/02,3.158
2011/06/03,-2.475
2011/06/04,-2.232
2011/06/05,4.808
2011/06/06,-8.155
2011/06/07,28.824
2011/06/08,29.189
2011/06/09,-17.568
2011/06/10,-14.35
2011/06/11,-32.937
2011/06/12,-11.159
2011/06/13,6.608
2011/06/14,-10.931
2011/06/15,-11.47
2011/06/16,42.778
2011/06/17,54.839
2011/06/18,-13.198
2011/06/19,-1.345
2011/06/20,-5.983
2011/06/21,-0.395
2011/06/22,10
2011/06/23,24.583
2011/06/24,42.13
2011/06/25,106.993
2011/06/26,12.081
2011/06/27,-8.284
2011/06/28,12.5
2011/06/29,-10.465
2011/06/30,-21.466
2011/07/01,8.671
2011/07/02,12.426
2011/07/03,22.424
2011/07/04,31.765
2011/07/05,49.64
2011/07/06,48.408
2011/07/07,29.771
2011/07/08,12.121
2011/07/09,48.993
2011/07/10,62.774
2011/07/11,60.51
2011/07/12,65.248
2011/07/13,18.848
2011/07/14,71.528
2011/07/15,72.222
2011/07/16,14.65
2011/07/17,9.412
2011/07/18,15.882
2011/07/19,57.042
2011/07/20,57.047
2011/07/21,66.447
2011/07/22,72.185
2011/07/23,64.384
2011/07/24,30.12
2011/07/25,-13.333
2011/07/26,-15.341
2011/07/27,-2.874
2011/07/28,3.226
2011/07/29,4.878
2011/07/30,25.658
2011/07/31,-1.143
2011/08/01,2.424
2011/08/02,7.143
2011/08/03,8.28
2011/08/04,7.752
2011/08/05,12.143
2011/08/06,7.377
2011/08/07,30.952
2011/08/08,9.559
2011/08/09,-6.164
2011/08/10,3.289
2011/08/11,2.92
2011/08/12,45.802
2011/08/13,10.769
2011/08/14,22.727
2011/08/15,21.705
2011/08/16,15.646
2011/08/17,25
2011/08/18,-1.389
2011/08/19,13.74
2011/08/20,0
2011/08/21,-5.625
2011/08/22,-13.609
2011/08/23,7.097
2011/08/24,23.134
2011/08/25,30.37
2011/08/26,18.367
2011/08/27,27.049
2011/08/28,41.379
2011/08/29,10.145
2011/08/30,19.863
2011/08/31,6.452
2011/09/01,19.38
2011/09/02,0.641
2011/09/03,-11.034
2011/09/04,4.478
2011/09/05,-21.795
2011/09/06,-16.556
2011/09/07,0
2011/09/08,13.178
2011/09/09,-1.299
2011/09/10,3.008
2011/09/11,4.8
2011/09/12,-2.256
2011/09/13,-7.042
2011/09/14,-11.644
2011/09/15,-5.769
2011/09/16,14.286
2011/09/17,7.463
2011/09/18,-17.089
2011/09/19,19.685
2011/09/20,14.286
2011/09/21,15.753
2011/09/22,4.73
2011/09/23,0.752
2011/09/24,4.651
2011/09/25,7.299
2011/09/26,-8.955
2011/09/27,-12.782
2011/09/28,-6.122
2011/09/29,16.8
2011/09/30,27.049
2011/10/01,-9.79
2011/10/02,28.926
2011/10/03,0
2011/10/04,19.643
2011/10/05,7.586
2011/10/06,17.969
2011/10/07,-1.449
2011/10/08,8.403
2011/10/09,21.26
2011/10/10,8.13
2011/10/11,34.409
2011/10/12,10.833
2011/10/13,46.392
2011/10/14,5.036
2011/10/15,16.418
2011/10/16,0
2011/10/17,13.559
2011/10/18,31.667
2011/10/19,-4.511
2011/10/20,21.739
2011/10/21,20.661
2011/10/22,51.02
2011/10/23,23.148
2011/10/24,1.575
2011/10/25,6.202
2011/10/26,14.53
2011/10/27,33
2011/10/28,40
2011/10/29,10.619
2011/10/30,9.91
2011/10/31,9.16
2011/11/01,-19.333
2011/11/02,-5.844
2011/11/03,-10.4
2011/11/04,-1.361
2011/11/05,-12.329
2011/11/06,-4.167
2011/11/07,-9.848
2011/11/08,-14.765
2011/11/09,-23.602
2011/11/10,-34.043
2011/11/11,0.84
2011/11/12,-32.168
2011/11/13,-3.472
2011/11/14,-6.294
2011/11/15,-27.879
2011/11/16,-12.593
2011/11/17,-13.669
2011/11/18,0
2011/11/19,-6.504
2011/11/20,-15.385
2011/11/21,-16.949
2011/11/22,-22.857
2011/11/23,-5.224
2011/11/24,14.159
2011/11/25,-13.333
2011/11/26,-16.667
2011/11/27,-7.895
2011/11/28,-11.024
2011/11/29,-19.565
2011/11/30,-19.136
2011/12/01,-17.582
2011/12/02,5.479
2011/12/03,-17.763
2011/12/04,8.088
2011/12/05,-7.595
2011/12/06,-15.789
2011/12/07,-4.348
2011/12/08,-9.146
2011/12/09,9.524
2011/12/10,-2.083
2011/12/11,-21.711
2011/12/12,12.598
2011/12/13,9.091
2011/12/14,-6.536
2011/12/15,47.321
2011/12/16,14.407
2011/12/17,-7.333
2011/12/18,-7.639
2011/12/19,-22.642
2011/12/20,6.716
2011/12/21,-20.805
2011/12/22,-5.405
2011/12/23,-5.634
2011/12/24,-22.069
2011/12/25,-22.414
2011/12/26,-32.203
2011/12/27,-21.379
2011/12/28,-18.065
2011/12/29,0
2011/12/30,14.085
2011/12/31,20.53
2012/01/01,-4.575
2012/01/02,0.662
2012/01/03,-14.465
2012/01/04,6.04
2012/01/05,16.327
2012/01/06,-19.298
2012/01/07,-10.87
2012/01/08,-9.816
2012/01/09,-12.195
2012/01/10,7.801
2012/01/11,-16.993
2012/01/12,-14.839
2012/01/13,9.286
2012/01/14,-25.333
2012/01/15,-15.108
2012/01/16,-14.286
2012/01/17,-8.28
2012/01/18,24.219
2012/01/19,-10.667
2012/01/20,2.759
2012/01/21,-9.756
2012/01/22,4.412
2012/01/23,-14.706
2012/01/24,25.18
2012/01/25,19.595
2012/01/26,5.072
2012/01/27,9.929
2012/01/28,-4.828
2012/01/29,-14.97
2012/01/30,-12.209
2012/01/31,2
2012/02/01,7.092
2012/02/02,0
2012/02/03,-5.696
2012/02/04,-6.369
2012/02/05,20.423
2012/02/06,26.027
2012/02/07,18.978
2012/02/08,13.103
2012/02/09,-2.759
2012/02/10,10.87
2012/02/11,3.333
