Date,mediantransactionvalue3rsiUSD
2011/05/02,66.868
2011/05/03,81.322
2011/05/04,89.888
2011/05/05,51.375
2011/05/06,47.991
2011/05/07,35.824
2011/05/08,23.056
2011/05/09,50.183
2011/05/10,76.005
2011/05/11,83.251
2011/05/12,41.887
2011/05/13,53.723
2011/05/14,61.259
2011/05/15,75.259
2011/05/16,78.893
2011/05/17,82.424
2011/05/18,31.579
2011/05/19,26.626
2011/05/20,78.278
2011/05/21,85.815
2011/05/22,47.534
2011/05/23,36.762
2011/05/24,58.944
2011/05/25,56.426
2011/05/26,62.336
2011/05/27,60.197
2011/05/28,65.838
2011/05/29,71.858
2011/05/30,79.35
2011/05/31,38.291
2011/06/01,66.895
2011/06/02,51.657
2011/06/03,86.969
2011/06/04,94.411
2011/06/05,96.987
2011/06/06,62.304
2011/06/07,79.886
2011/06/08,82.812
2011/06/09,90.355
2011/06/10,84.748
2011/06/11,90.589
2011/06/12,29.757
2011/06/13,48.638
2011/06/14,63.324
2011/06/15,41.915
2011/06/16,58.525
2011/06/17,28.043
2011/06/18,18.763
2011/06/19,48.599
2011/06/20,51.03
2011/06/21,34.026
2011/06/22,50.625
2011/06/23,37.464
2011/06/24,60.514
2011/06/25,32.962
2011/06/26,34.907
2011/06/27,23.206
2011/06/28,42.614
2011/06/29,61.001
2011/06/30,58.745
2011/07/01,22.972
2011/07/02,62.87
2011/07/03,42.771
2011/07/04,48.768
2011/07/05,45.57
2011/07/06,30.548
2011/07/07,42.897
2011/07/08,36.437
2011/07/09,57.264
2011/07/10,54.214
2011/07/11,24.776
2011/07/12,45.469
2011/07/13,56.746
2011/07/14,55.009
2011/07/15,79.214
2011/07/16,30.499
2011/07/17,39.925
2011/07/18,71.844
2011/07/19,54.897
2011/07/20,48.442
2011/07/21,45.505
2011/07/22,61.127
2011/07/23,62.941
2011/07/24,58.617
2011/07/25,56.37
2011/07/26,70.871
2011/07/27,95.713
2011/07/28,97.638
2011/07/29,35.82
2011/07/30,55.448
2011/07/31,37.519
2011/08/01,42.952
2011/08/02,27.976
2011/08/03,49.841
2011/08/04,22.942
2011/08/05,39.779
2011/08/06,32.108
2011/08/07,35.19
2011/08/08,49.279
2011/08/09,39.676
2011/08/10,52.429
2011/08/11,40.638
2011/08/12,40.55
2011/08/13,17.221
2011/08/14,52.096
2011/08/15,24.076
2011/08/16,22.717
2011/08/17,62.1
2011/08/18,73.441
2011/08/19,55.53
2011/08/20,69.523
2011/08/21,43.674
2011/08/22,71.464
2011/08/23,61.764
2011/08/24,50.105
2011/08/25,51.922
2011/08/26,58.062
2011/08/27,59.025
2011/08/28,32.925
2011/08/29,8.862
2011/08/30,43.138
2011/08/31,69.04
2011/09/01,59.465
2011/09/02,54.927
2011/09/03,71.848
2011/09/04,23.424
2011/09/05,57.703
2011/09/06,70.24
2011/09/07,35.611
2011/09/08,36.386
2011/09/09,43.262
2011/09/10,27.073
2011/09/11,24.965
2011/09/12,46.753
2011/09/13,58.686
2011/09/14,72.139
2011/09/15,46.485
2011/09/16,37.37
2011/09/17,48.418
2011/09/18,42.617
2011/09/19,14.924
2011/09/20,7.871
2011/09/21,36.79
2011/09/22,61.149
2011/09/23,79.434
2011/09/24,72.018
2011/09/25,37.581
2011/09/26,39.831
2011/09/27,59.51
2011/09/28,34.205
2011/09/29,59.982
2011/09/30,58.289
2011/10/01,55.888
2011/10/02,67.128
2011/10/03,25.71
2011/10/04,65.244
2011/10/05,66.024
2011/10/06,46.684
2011/10/07,63.864
2011/10/08,35.604
2011/10/09,32.461
2011/10/10,19.941
2011/10/11,14.127
2011/10/12,46.781
2011/10/13,35.375
2011/10/14,62.571
2011/10/15,52.976
2011/10/16,49.028
2011/10/17,25.485
2011/10/18,16.41
2011/10/19,11.808
2011/10/20,26.033
2011/10/21,46.281
2011/10/22,70.264
2011/10/23,63.056
2011/10/24,67.436
2011/10/25,33.306
2011/10/26,25.155
2011/10/27,51.803
2011/10/28,70.706
2011/10/29,78.995
2011/10/30,35.967
2011/10/31,27.211
2011/11/01,60.767
2011/11/02,66.637
2011/11/03,45.389
2011/11/04,57.654
2011/11/05,49.931
2011/11/06,50.472
2011/11/07,52.811
2011/11/08,66.029
2011/11/09,19.271
2011/11/10,12.381
2011/11/11,62.518
2011/11/12,73.139
2011/11/13,29.544
2011/11/14,47.909
2011/11/15,39.821
2011/11/16,47.792
2011/11/17,76.728
2011/11/18,35.097
2011/11/19,38.359
2011/11/20,37.254
2011/11/21,52.779
2011/11/22,45.765
2011/11/23,24.79
2011/11/24,40.579
2011/11/25,62.602
2011/11/26,76.404
2011/11/27,41.76
2011/11/28,32.165
2011/11/29,20.264
2011/11/30,59.214
2011/12/01,64.378
2011/12/02,73.419
2011/12/03,62.661
2011/12/04,30.025
2011/12/05,19.178
2011/12/06,10.103
2011/12/07,66.401
2011/12/08,70.577
2011/12/09,77.18
2011/12/10,87.347
2011/12/11,57.106
2011/12/12,58.45
2011/12/13,40.432
2011/12/14,64.959
