Date,confirmationtime30ema
2010/07/17,6.871
2010/07/18,6.968
2010/07/19,7.052
2010/07/20,7.11
2010/07/21,7.1
2010/07/22,7.17
2010/07/23,7.187
2010/07/24,7.214
2010/07/25,7.151
2010/07/26,7.072
2010/07/27,7.176
2010/07/28,7.297
2010/07/29,7.342
2010/07/30,7.379
2010/07/31,7.361
2010/08/01,7.274
2010/08/02,7.189
2010/08/03,7.134
2010/08/04,7.056
2010/08/05,7.027
2010/08/06,7.206
2010/08/07,7.34
2010/08/08,7.334
2010/08/09,7.35
2010/08/10,7.362
2010/08/11,7.286
2010/08/12,7.244
2010/08/13,7.208
2010/08/14,7.074
2010/08/15,7.066
2010/08/16,7.243
2010/08/17,7.495
2010/08/18,7.71
2010/08/19,7.901
2010/08/20,7.873
2010/08/21,7.902
2010/08/22,7.83
2010/08/23,7.761
2010/08/24,7.693
2010/08/25,7.626
2010/08/26,7.577
2010/08/27,7.631
2010/08/28,7.685
2010/08/29,7.763
2010/08/30,7.886
2010/08/31,7.882
2010/09/01,7.965
2010/09/02,8.047
2010/09/03,8.094
2010/09/04,8.085
2010/09/05,8.127
2010/09/06,8.19
2010/09/07,8.243
2010/09/08,8.274
2010/09/09,8.428
2010/09/10,8.409
2010/09/11,8.447
2010/09/12,8.427
2010/09/13,8.427
2010/09/14,8.341
2010/09/15,8.352
2010/09/16,8.238
2010/09/17,8.153
2010/09/18,8.019
2010/09/19,7.946
2010/09/20,7.891
2010/09/21,7.922
2010/09/22,7.945
2010/09/23,7.829
2010/09/24,7.732
2010/09/25,7.682
2010/09/26,7.639
2010/09/27,7.552
2010/09/28,7.503
2010/09/29,7.586
2010/09/30,7.733
2010/10/01,7.837
2010/10/02,8.26
2010/10/03,8.489
2010/10/04,8.548
2010/10/05,8.734
2010/10/06,8.714
2010/10/07,8.733
2010/10/08,8.772
2010/10/09,8.794
2010/10/10,8.749
2010/10/11,8.769
2010/10/12,8.802
2010/10/13,8.762
2010/10/14,8.65
2010/10/15,8.617
2010/10/16,8.421
2010/10/17,8.222
2010/10/18,8.065
2010/10/19,7.907
2010/10/20,7.749
2010/10/21,7.749
2010/10/22,7.852
2010/10/23,7.876
2010/10/24,7.821
2010/10/25,7.774
2010/10/26,7.658
2010/10/27,7.6
2010/10/28,7.534
2010/10/29,7.465
2010/10/30,7.352
2010/10/31,7.397
2010/11/01,7.444
2010/11/02,7.492
2010/11/03,7.497
2010/11/04,7.476
2010/11/05,7.418
2010/11/06,7.365
2010/11/07,7.276
2010/11/08,7.144
2010/11/09,7.111
2010/11/10,7.11
2010/11/11,7.076
2010/11/12,7.169
2010/11/13,7.123
2010/11/14,7.026
2010/11/15,7.038
2010/11/16,7.055
2010/11/17,6.976
2010/11/18,6.888
2010/11/19,7.063
2010/11/20,7.408
2010/11/21,7.593
2010/11/22,7.673
2010/11/23,7.842
2010/11/24,7.861
2010/11/25,7.867
2010/11/26,7.838
2010/11/27,7.849
2010/11/28,7.883
2010/11/29,7.819
2010/11/30,7.774
2010/12/01,7.767
2010/12/02,7.76
2010/12/03,7.751
2010/12/04,7.656
2010/12/05,7.551
2010/12/06,7.449
2010/12/07,7.358
2010/12/08,7.273
2010/12/09,7.221
2010/12/10,7.387
2010/12/11,7.441
2010/12/12,7.504
2010/12/13,7.679
2010/12/14,7.727
2010/12/15,7.702
2010/12/16,7.742
2010/12/17,7.803
2010/12/18,7.876
2010/12/19,7.873
2010/12/20,7.949
2010/12/21,7.913
2010/12/22,7.99
2010/12/23,8.116
2010/12/24,8.22
2010/12/25,8.242
2010/12/26,8.351
2010/12/27,8.372
2010/12/28,8.382
2010/12/29,8.404
2010/12/30,8.412
2010/12/31,8.442
2011/01/01,8.411
2011/01/02,8.399
