Date,sentbyaddress90mom
2010/07/17,-2898
2010/07/18,211
2010/07/19,372
2010/07/20,438
2010/07/21,295
2010/07/22,250
2010/07/23,255
2010/07/24,501
2010/07/25,1623
2010/07/26,236
2010/07/27,251
2010/07/28,215
2010/07/29,240
2010/07/30,159
2010/07/31,137
2010/08/01,191
2010/08/02,202
2010/08/03,463
2010/08/04,322
2010/08/05,418
2010/08/06,214
2010/08/07,86
2010/08/08,258
2010/08/09,333
2010/08/10,179
2010/08/11,238
2010/08/12,221
2010/08/13,436
2010/08/14,252
2010/08/15,78
2010/08/16,260
2010/08/17,131
2010/08/18,193
2010/08/19,114
2010/08/20,190
2010/08/21,49
2010/08/22,117
2010/08/23,137
2010/08/24,102
2010/08/25,132
2010/08/26,67
2010/08/27,45
2010/08/28,135
2010/08/29,63
2010/08/30,151
2010/08/31,215
2010/09/01,172
2010/09/02,102
2010/09/03,151
2010/09/04,69
2010/09/05,117
2010/09/06,62
2010/09/07,47
2010/09/08,110
2010/09/09,77
2010/09/10,123
2010/09/11,62
2010/09/12,147
2010/09/13,223
2010/09/14,217
2010/09/15,246
2010/09/16,193
2010/09/17,122
2010/09/18,141
2010/09/19,71
2010/09/20,241
2010/09/21,676
2010/09/22,579
2010/09/23,502
2010/09/24,361
2010/09/25,376
2010/09/26,223
2010/09/27,433
2010/09/28,195
2010/09/29,669
2010/09/30,182
2010/10/01,379
2010/10/02,381
2010/10/03,255
2010/10/04,288
2010/10/05,268
2010/10/06,246
2010/10/07,131
2010/10/08,203
2010/10/09,76
2010/10/10,-2174
2010/10/11,-1053
2010/10/12,-5684
2010/10/13,-801
2010/10/14,-713
2010/10/15,-18
2010/10/16,31
2010/10/17,-74
2010/10/18,12
2010/10/19,673
2010/10/20,430
2010/10/21,234
2010/10/22,65
2010/10/23,-1175
2010/10/24,218
2010/10/25,43
2010/10/26,277
2010/10/27,328
2010/10/28,300
2010/10/29,231
2010/10/30,86
2010/10/31,-35
2010/11/01,-242
2010/11/02,-189
2010/11/03,-190
2010/11/04,-33
2010/11/05,199
2010/11/06,22
2010/11/07,-4
2010/11/08,188
2010/11/09,31
2010/11/10,57
2010/11/11,-150
2010/11/12,-84
2010/11/13,108
2010/11/14,-49
2010/11/15,3801
2010/11/16,2619
2010/11/17,152
2010/11/18,27
2010/11/19,25
2010/11/20,286
2010/11/21,176
2010/11/22,34
2010/11/23,31
2010/11/24,230
2010/11/25,358
2010/11/26,559
