Date,size14trx
2010/07/17,4.853
2010/07/18,4.905
2010/07/19,4.821
2010/07/20,4.773
2010/07/21,4.491
2010/07/22,4.06
2010/07/23,3.543
2010/07/24,3.47
2010/07/25,4.407
2010/07/26,4.833
2010/07/27,4.811
2010/07/28,5.573
2010/07/29,6.277
2010/07/30,6.183
2010/07/31,5.602
2010/08/01,4.784
2010/08/02,3.889
2010/08/03,3.115
2010/08/04,2.355
2010/08/05,1.759
2010/08/06,1.242
2010/08/07,0.766
2010/08/08,0.306
2010/08/09,0.148
2010/08/10,-0.096
2010/08/11,-0.378
2010/08/12,-0.683
2010/08/13,-0.89
2010/08/14,-1.114
2010/08/15,-1.364
2010/08/16,-1.444
2010/08/17,-1.506
2010/08/18,-1.176
2010/08/19,-0.982
2010/08/20,-0.895
2010/08/21,-0.9
2010/08/22,-0.983
2010/08/23,-1.111
2010/08/24,-1.157
2010/08/25,-1.271
2010/08/26,-1.381
2010/08/27,-1.508
2010/08/28,-1.598
2010/08/29,-1.72
2010/08/30,-1.772
2010/08/31,-1.67
2010/09/01,-1.489
2010/09/02,-1.355
2010/09/03,-1.292
2010/09/04,-1.313
2010/09/05,-1.339
2010/09/06,-1.38
2010/09/07,-1.441
2010/09/08,-1.477
2010/09/09,-1.433
2010/09/10,-1.392
2010/09/11,-1.374
2010/09/12,-1.293
2010/09/13,-1.139
2010/09/14,-1.011
2010/09/15,-0.835
2010/09/16,-0.722
2010/09/17,-0.582
2010/09/18,-0.544
2010/09/19,-0.55
2010/09/20,-0.507
2010/09/21,-0.066
2010/09/22,0.483
2010/09/23,0.894
2010/09/24,1.096
2010/09/25,1.218
2010/09/26,1.201
2010/09/27,1.245
2010/09/28,1.426
2010/09/29,2.062
2010/09/30,2.363
2010/10/01,2.563
2010/10/02,2.94
2010/10/03,3.066
2010/10/04,3.014
2010/10/05,2.881
2010/10/06,2.605
2010/10/07,2.241
2010/10/08,1.903
2010/10/09,1.608
2010/10/10,1.267
2010/10/11,0.922
2010/10/12,0.602
2010/10/13,0.361
2010/10/14,0.094
2010/10/15,-0.189
2010/10/16,-0.459
2010/10/17,-0.733
2010/10/18,-0.925
2010/10/19,-0.924
2010/10/20,-0.882
2010/10/21,-0.779
2010/10/22,-0.549
2010/10/23,-0.356
2010/10/24,-0.229
2010/10/25,-0.194
2010/10/26,-0.227
2010/10/27,-0.217
2010/10/28,-0.235
2010/10/29,-0.27
2010/10/30,-0.394
2010/10/31,-0.549
2010/11/01,-0.704
2010/11/02,-0.894
2010/11/03,-1.076
2010/11/04,-1.245
2010/11/05,-1.335
2010/11/06,-1.424
2010/11/07,-1.507
2010/11/08,-1.472
2010/11/09,-1.458
2010/11/10,-1.455
2010/11/11,-1.472
2010/11/12,-1.514
2010/11/13,-1.578
2010/11/14,-1.609
2010/11/15,1.528
2010/11/16,7.313
2010/11/17,9.918
2010/11/18,10.598
2010/11/19,13.988
2010/11/20,18.753
2010/11/21,21.823
2010/11/22,20.125
2010/11/23,16.999
2010/11/24,14.396
2010/11/25,12.687
2010/11/26,10.711
2010/11/27,8.703
2010/11/28,6.849
2010/11/29,5.203
2010/11/30,3.761
2010/12/01,2.523
2010/12/02,1.446
2010/12/03,0.507
2010/12/04,-0.318
2010/12/05,-1.051
2010/12/06,-1.701
2010/12/07,-2.261
2010/12/08,-2.754
2010/12/09,-3.185
2010/12/10,-3.559
2010/12/11,-3.862
2010/12/12,-4.098
2010/12/13,-4.219
2010/12/14,-4.308
2010/12/15,-4.379
2010/12/16,-4.434
2010/12/17,-4.462
2010/12/18,-4.478
2010/12/19,-4.463
2010/12/20,-4.345
2010/12/21,-4.236
2010/12/22,-4.095
2010/12/23,-3.942
2010/12/24,-3.796
2010/12/25,-3.654
2010/12/26,-3.494
2010/12/27,-3.326
2010/12/28,-3.152
2010/12/29,-2.994
2010/12/30,-2.838
2010/12/31,-2.702
2011/01/01,-2.551
2011/01/02,-2.408
2011/01/03,-2.002
2011/01/04,-1.553
2011/01/05,-0.96
2011/01/06,-0.471
2011/01/07,-0.053
2011/01/08,0.412
2011/01/09,0.853
2011/01/10,1.276
2011/01/11,1.659
2011/01/12,1.913
2011/01/13,2.082
2011/01/14,2.185
2011/01/15,2.211
2011/01/16,2.143
2011/01/17,1.956
2011/01/18,1.787
2011/01/19,1.61
2011/01/20,1.39
2011/01/21,1.273
2011/01/22,1.37
2011/01/23,1.447
2011/01/24,1.517
2011/01/25,1.476
2011/01/26,1.37
2011/01/27,1.251
2011/01/28,1.161
2011/01/29,1.219
2011/01/30,1.837
2011/01/31,2.286
2011/02/01,2.53
2011/02/02,2.533
2011/02/03,2.339
2011/02/04,2.032
2011/02/05,1.677
2011/02/06,1.33
2011/02/07,0.953
2011/02/08,0.603
2011/02/09,0.329
2011/02/10,0.315
2011/02/11,0.488
2011/02/12,0.679
2011/02/13,0.834
2011/02/14,1.07
2011/02/15,1.249
2011/02/16,1.336
2011/02/17,1.393
2011/02/18,1.465
2011/02/19,1.514
2011/02/20,1.519
2011/02/21,1.492
2011/02/22,1.477
2011/02/23,1.429
2011/02/24,1.394
2011/02/25,1.325
2011/02/26,1.182
2011/02/27,1.065
