Date,sentbyaddress30rsi
2010/07/17,49.394
2010/07/18,49.526
2010/07/19,50.039
2010/07/20,50.358
2010/07/21,49.562
2010/07/22,49.444
2010/07/23,49.413
2010/07/24,50.494
2010/07/25,55.224
2010/07/26,49.34
2010/07/27,49.384
2010/07/28,49.077
2010/07/29,49.181
2010/07/30,48.865
2010/07/31,48.734
2010/08/01,49.054
2010/08/02,49.074
2010/08/03,50.349
2010/08/04,49.703
2010/08/05,50.102
2010/08/06,49.207
2010/08/07,48.57
2010/08/08,49.346
2010/08/09,49.651
2010/08/10,48.861
2010/08/11,49.229
2010/08/12,49.177
2010/08/13,50.246
2010/08/14,49.188
2010/08/15,48.405
2010/08/16,49.832
2010/08/17,49.021
2010/08/18,49.463
2010/08/19,48.9
2010/08/20,49.481
2010/08/21,49.116
2010/08/22,49.06
2010/08/23,49.271
2010/08/24,49.151
2010/08/25,49.167
2010/08/26,48.975
2010/08/27,48.477
2010/08/28,48.987
2010/08/29,48.389
2010/08/30,49.078
2010/08/31,49.735
2010/09/01,49.53
2010/09/02,48.534
2010/09/03,49.093
2010/09/04,48.384
2010/09/05,48.948
2010/09/06,48.582
2010/09/07,48.426
2010/09/08,49.114
2010/09/09,49.195
2010/09/10,49.183
2010/09/11,48.806
2010/09/12,49.961
2010/09/13,50.995
2010/09/14,50.115
2010/09/15,50.651
2010/09/16,49.769
2010/09/17,49.186
2010/09/18,49.451
2010/09/19,49.076
2010/09/20,51.162
2010/09/21,56.671
2010/09/22,54.969
2010/09/23,53.286
2010/09/24,51.463
2010/09/25,51.886
2010/09/26,49.508
2010/09/27,52.836
2010/09/28,49.975
2010/09/29,55.453
2010/09/30,49.302
2010/10/01,51.728
2010/10/02,51.162
2010/10/03,50.01
2010/10/04,50.021
2010/10/05,49.998
2010/10/06,49.776
2010/10/07,48.738
2010/10/08,49.297
2010/10/09,49.901
2010/10/10,49.344
2010/10/11,49.035
2010/10/12,49.363
2010/10/13,49.531
2010/10/14,49.249
2010/10/15,49.018
2010/10/16,50.268
2010/10/17,50.63
2010/10/18,53.06
2010/10/19,58.994
2010/10/20,54.849
2010/10/21,52.017
2010/10/22,52.897
2010/10/23,51.628
2010/10/24,51.732
2010/10/25,49.473
2010/10/26,51.58
2010/10/27,52.552
2010/10/28,51.109
2010/10/29,49.737
2010/10/30,48.686
2010/10/31,47.121
2010/11/01,47.92
2010/11/02,46.861
2010/11/03,48.049
2010/11/04,47.794
2010/11/05,49.458
2010/11/06,48.935
2010/11/07,49.394
2010/11/08,50.176
2010/11/09,48.683
2010/11/10,48.967
2010/11/11,48.461
2010/11/12,46.72
2010/11/13,47.85
2010/11/14,49.023
2010/11/15,77.942
2010/11/16,66.285
2010/11/17,48.947
2010/11/18,48.735
2010/11/19,48.444
2010/11/20,49.868
2010/11/21,49.41
2010/11/22,48.523
2010/11/23,48.517
2010/11/24,49.59
2010/11/25,50.003
2010/11/26,51.588
2010/11/27,49.125
2010/11/28,49.163
2010/11/29,49.093
2010/11/30,49.289
2010/12/01,49.915
2010/12/02,49.143
2010/12/03,48.677
2010/12/04,49.042
2010/12/05,49.006
2010/12/06,49.313
2010/12/07,50.507
