Date,confirmationtime90var
2010/07/17,4.705
2010/07/18,4.639
2010/07/19,4.61
2010/07/20,4.566
2010/07/21,4.598
2010/07/22,4.591
2010/07/23,4.609
2010/07/24,4.618
2010/07/25,4.682
2010/07/26,4.757
2010/07/27,4.753
2010/07/28,4.74
2010/07/29,4.721
2010/07/30,4.72
2010/07/31,4.738
2010/08/01,4.805
2010/08/02,4.827
2010/08/03,4.828
2010/08/04,4.878
2010/08/05,4.839
2010/08/06,4.851
2010/08/07,4.828
2010/08/08,4.743
2010/08/09,4.5
2010/08/10,4.395
2010/08/11,4.331
2010/08/12,4.209
2010/08/13,3.55
2010/08/14,3.378
2010/08/15,3.333
2010/08/16,3.369
2010/08/17,3.48
2010/08/18,3.568
2010/08/19,3.65
2010/08/20,3.649
2010/08/21,3.637
2010/08/22,3.651
2010/08/23,3.653
2010/08/24,3.646
2010/08/25,3.662
2010/08/26,3.651
2010/08/27,3.653
2010/08/28,3.623
2010/08/29,3.579
2010/08/30,3.53
2010/08/31,3.49
2010/09/01,3.481
2010/09/02,3.354
2010/09/03,3.316
2010/09/04,3.277
2010/09/05,3.266
2010/09/06,3.269
2010/09/07,3.278
2010/09/08,3.272
2010/09/09,3.354
2010/09/10,3.267
2010/09/11,3.279
2010/09/12,3.266
2010/09/13,3.27
2010/09/14,3.216
2010/09/15,3.174
2010/09/16,3.153
2010/09/17,3.122
2010/09/18,3.152
2010/09/19,3.128
2010/09/20,3.105
2010/09/21,3.111
2010/09/22,3.107
2010/09/23,3.089
2010/09/24,3.084
2010/09/25,3.085
2010/09/26,3.048
2010/09/27,3.055
2010/09/28,3.059
2010/09/29,3.071
2010/09/30,3.118
2010/10/01,3.147
2010/10/02,3.646
2010/10/03,3.835
2010/10/04,3.86
2010/10/05,3.989
2010/10/06,3.957
2010/10/07,3.973
2010/10/08,3.999
2010/10/09,4.019
2010/10/10,3.671
2010/10/11,3.315
2010/10/12,3.005
2010/10/13,2.644
2010/10/14,2.354
2010/10/15,2.353
2010/10/16,2.421
2010/10/17,2.502
2010/10/18,2.557
2010/10/19,2.607
2010/10/20,2.677
2010/10/21,2.675
2010/10/22,2.694
2010/10/23,2.661
2010/10/24,2.623
2010/10/25,2.628
2010/10/26,2.659
2010/10/27,2.675
2010/10/28,2.696
